Annotation Cluster 1	Enrichment Score: 13.329835399177954
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	olfaction	16	44.44444444444444	4.883213775457087E-23	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	19	409	19235	39.60365461330588	1.1719713061097008E-21	1.1719713061097008E-21	3.917247363639616E-20
GOTERM_BP_FAT	GO:0007608~sensory perception of smell	17	47.22222222222222	1.2329745171499592E-22	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	19	431	13528	28.083526682134572	3.575626099734882E-21	3.575626099734882E-21	1.0410544636641968E-19
GOTERM_MF_FAT	GO:0004984~olfactory receptor activity	17	47.22222222222222	2.3751711625233063E-22	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	19	431	12983	26.95213090731469	2.3751711625233062E-21	2.3751711625233062E-21	1.4262190681197835E-19
GOTERM_BP_FAT	GO:0007606~sensory perception of chemical stimulus	17	47.22222222222222	6.594910539129917E-22	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	19	478	13528	25.322175732217573	1.912524056347676E-20	9.56262028173838E-21	5.568372224024015E-19
INTERPRO	IPR000725:Olfactory receptor	16	44.44444444444444	8.333806781880727E-22	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	19	428	16659	32.77717658632562	2.0001136276513745E-20	2.0001136276513745E-20	6.685265922511959E-19
SP_PIR_KEYWORDS	sensory transduction	16	44.44444444444444	1.423108826920963E-20	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	19	595	19235	27.223352498894293	3.415461184610311E-19	1.7077305923051556E-19	1.1415984547812672E-17
PIR_SUPERFAMILY	PIRSF003152:G protein-coupled olfactory receptor, class II	16	44.44444444444444	1.7402518860749333E-19	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	17	353	7396	19.719380103316112	5.2207556582248E-19	5.2207556582248E-19	5.478170990242066E-17
SP_PIR_KEYWORDS	g-protein coupled receptor	16	44.44444444444444	1.6456921166282306E-18	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	19	816	19235	19.850361197110423	3.9496610799077536E-17	1.3165536933025845E-17	1.3201517282787833E-15
INTERPRO	IPR017452:GPCR, rhodopsin-like superfamily	16	44.44444444444444	2.4189458000234333E-18	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	19	726	16659	19.323183993040452	5.80546992005624E-17	2.90273496002812E-17	1.9404452669168605E-15
INTERPRO	IPR000276:7TM GPCR, rhodopsin-like	16	44.44444444444444	2.4694416819829773E-18	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	19	727	16659	19.296604647795554	5.926660036759145E-17	1.975553345586382E-17	1.9809523734201312E-15
GOTERM_BP_FAT	GO:0007600~sensory perception	17	47.22222222222222	3.2152161021242275E-18	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	19	810	13528	14.94320987654321	9.32412669616026E-17	3.1080422320534195E-17	2.714747975893751E-15
SP_PIR_KEYWORDS	transducer	16	44.44444444444444	4.605850802471624E-18	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	19	874	19235	18.533060339636275	1.1054041925931898E-16	2.7635104814829744E-17	3.6947505767573236E-15
GOTERM_BP_FAT	GO:0050890~cognition	17	47.22222222222222	2.0359962666120607E-17	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	19	909	13528	13.315731573157317	5.904389173174976E-16	1.476097293293744E-16	1.719080947641624E-14
KEGG_PATHWAY	hsa04740:Olfactory transduction	17	47.22222222222222	8.882886179318796E-17	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	19	379	5085	12.004582696847661	3.3306690738754696E-16	3.3306690738754696E-16	3.3306690738754696E-14
SP_PIR_KEYWORDS	receptor	17	47.22222222222222	5.329856841073252E-16	PTPRJ, OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16	19	1583	19235	10.871928716294844	1.3322676295501878E-14	2.6645352591003757E-15	4.440892098500626E-13
GOTERM_BP_FAT	GO:0007186~G-protein coupled receptor protein signaling pathway	17	47.22222222222222	5.94310017603366E-16	OR5R1, OR5D14, OR5J2, OR5L1, OR5L2, OR4B1, OR5D18, OR4S1, OR4C3, OR8K1, OR4X1, OR4X2, OR8K5, OR8K3, OR4A15, OR4A16, OR4C45	19	1123	13528	10.778272484416743	1.609823385706477E-14	3.219646771412954E-15	4.662936703425657E-13
