,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
1,499366,615829,207908,1015325,879729,1447502,277527,484911,553256,2087608,502002,434740,497337,629957,985836,866527,651466,795839,533456,3174397,2563048,19703566
2,1019383,1233637,420027,1995786,1752908,2927263,587973,987100,1062015,4056245,1049068,921479,1005196,1280616,1995064,1881294,1217224,1607873,1113719,5742261,4646359,19251245
3,1350740,1608811,548142,2572119,2278839,3843754,806654,1285368,1331733,5100052,1385920,1237673,1306248,1686480,2644181,2697097,1482396,2116798,1526107,6886373,5551432,16415639
4,1486864,1745009,594430,2761825,2467548,4179040,912752,1380747,1389119,5324853,1501496,1367027,1409511,1845568,2952851,3228795,1513574,2331795,1768114,6954504,5580810,13174058
5,1501171,1736273,592446,2728034,2447244,4138501,944707,1355782,1340192,5078931,1479937,1374659,1399289,1843808,3046001,3487125,1437893,2365836,1908710,6477574,5197567,10376336
6,1452878,1660354,567895,2585432,2325736,3897493,928368,1279697,1243202,4636651,1397376,1325770,1336296,1759860,3004880,3517990,1331370,2299438,1988114,5770059,4660093,8161492
7,1371280,1549973,532115,2392776,2157804,3545049,893505,1185123,1135386,4115635,1290430,1247688,1250386,1640032,2865043,3365178,1223826,2179117,2000709,4989558,4082096,6430387
8,1269888,1422811,492613,2164309,1961785,3126153,836096,1083973,1023243,3555145,1166969,1154176,1147941,1496791,2638746,3071862,1116191,2014062,1947817,4196533,3494448,5047694
9,1152740,1277450,447847,1909737,1740195,2671728,765153,971734,908726,2990082,1034497,1043881,1033225,1330430,2345268,2686654,1002931,1812989,1818955,3430997,2921017,3921804
10,1024641,1124270,399669,1645105,1507183,2218409,683222,857080,793354,2449738,898116,923688,904156,1159722,2012701,2262944,886586,1591415,1632097,2732398,2382706,3008920
11,896400,976472,353119,1388023,1281143,1802051,600503,746589,684764,1967738,767496,805827,779130,992028,1681929,1855405,774488,1372400,1419668,2140293,1911739,2290655
12,776452,837553,309957,1155619,1073826,1442889,517346,642533,583503,1558222,647150,695652,658578,837413,1380861,1491219,676878,1162987,1206551,1655856,1514991,1735503
13,674528,719082,272826,961547,900729,1153170,444906,555089,499287,1232409,543863,600196,557318,708340,1128573,1193643,595318,983189,1016649,1284314,1201766,1325134
14,591611,624415,243169,804264,760629,928442,386577,485758,433556,981109,463462,524630,473064,604915,923518,959393,532318,834414,854281,1006832,961461,1026987
15,531882,555935,226516,691484,660264,767442,345412,437166,387259,801569,406568,473639,415398,534314,772330,790396,491310,718921,732122,813289,790179,822893
16,484794,502428,216795,601257,579791,645448,318852,400899,355454,665170,368721,435951,375178,482371,651764,659727,460358,622936,629309,670055,658998,674141
17,452352,464419,217526,534905,521144,557829,308788,381712,340590,568350,348229,415554,353956,449253,562713,565962,439161,549046,552045,570074,565224,571696
18,423241,430627,225290,475214,467885,485349,307146,367272,332532,490112,336275,398062,340765,420106,488174,489127,417102,482554,483737,490522,488816,491106
19,384826,388691,237470,412079,408970,415568,306217,349479,323388,417164,323616,371560,326559,383523,416675,416916,383541,414942,415353,417267,416777,417399
20,324928,326219,244869,334194,333318,334849,289410,310837,297762,335160,295240,320754,295742,325007,335096,335135,325406,334782,334856,335177,335099,335192
21,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783,220783
allCp,17890748,20021041,7571412,29349817,26727453,40748712,11681897,15769632,15239104,48632726,16427214,16293389,16086056,20631317,33052987,36043172,17180120,26812116,24103152,59959116,50145409,115402630
