#Name (cmd = mergePeaks /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.7/bg.clean.pos /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.7/target.clean..pos -d given -cobound 1 -prefix /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.7/0.215173857127414.2.tmp)	chr	start	end	strand	stat	stat2	/t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.7/target.clean..pos
BG3417-chopped1	chr10	21320002	21360000	+	0.000	0.000	6745
BG14194-chopped1	chr2	34320002	34360000	+	0.000	0.000	2033
BG22162-chopped1	chr18	38040002	38080000	+	0.000	0.000	2224
BG9818-chopped1	chr7	15360002	15400000	+	0.000	0.000	3127
BG24438-chopped1	chr7	92240002	92280000	+	0.000	0.000	4752
BG28563-chopped1	chr8	128000002	128040000	+	0.000	0.000	388
BG32406-chopped1	chr1	187080002	187120000	+	0.000	0.000	3424
BG43289-chopped1	chr10	65840002	65880000	+	0.000	0.000	8083
BG38371-chopped1	chr4	172320002	172360000	+	0.000	0.000	6519
BG39691-chopped1	chr6	101440002	101480000	+	0.000	0.000	4484
BG18555-chopped1	chr3	56400002	56440000	+	0.000	0.000	5201
BG8216-chopped1	chr12	127880002	127920000	+	0.000	0.000	121
BG19320-chopped1	chr3	5240002	5280000	+	0.000	0.000	7803
BG46248-chopped1	chr2	154240002	154280000	+	0.000	0.000	6988
BG39045-chopped1	chr7	21320002	21360000	+	0.000	0.000	5605
BG23282-chopped1	chr4	137560002	137600000	+	0.000	0.000	3635
BG47013-chopped1	chr5	68200002	68240000	+	0.000	0.000	7673
BG7260-chopped1	chr11	21960002	22000000	+	0.000	0.000	8137
BG42569-chopped1	chr1	80560002	80600000	+	0.000	0.000	5647
BG795-chopped1	chr5	39760002	39800000	+	0.000	0.000	2361
BG18800-chopped1	chr13	73320002	73360000	+	0.000	0.000	1500
BG41167-chopped1	chr3	27040002	27080000	+	0.000	0.000	2045
BG28281-chopped1	chr9	83560002	83600000	+	0.000	0.000	1528
BG55-chopped1	chr6	105160002	105200000	+	0.000	0.000	676
BG22762-chopped1	chr11	23480002	23520000	+	0.000	0.000	5127
BG6295-chopped1	chr9	104720002	104760000	+	0.000	0.000	6230
BG42814-chopped1	chr2	79680002	79720000	+	0.000	0.000	8788
BG25476-chopped1	chr7	95120002	95160000	+	0.000	0.000	7502
