bin,gene,accession,uniqueID,partner,Nij
2150,DDAH1,NM_001134445,100,NA,1
2734,STXBP3;AKNAD1,NM_007269;NR_049760, 740;2810,NA,1
2751,CYB561D1;SYPL2;ATXN7L2,NM_001134402;NM_001040709;NM_153340,2836;2837;2840,NA,1
2753,GNAI3;GPR61,NM_006496;NM_031936, 114;2838,NA,1
2800,WDR77;OVGP1;ATP5F1,NM_024102;NM_002557;NM_001688,2915;2917;2918,NA,1
2804,LINC01160,NR_034126,2920,NA,1
2811,KCND3,NM_172198,757,NA,1
2862,AP4B1-AS1;AP4B1;HIPK1;DCLRE1B,NR_037864;NM_006594;NM_198268;NM_022836, 770;2952;2954;2958,NA,1
2879,DENND2C;BCAS2,NM_001256404;NM_005872, 769;2960,NA,1
2894,NA,NA,NA,NA,1
2925,ATP1A1OS,NR_027646,2984,NA,1
2926,NA,NA,NA,NA,1
2929,IGSF3,NM_001007237,783,NA,1
2931,IGSF3;MIR320B1;C1orf137,NM_001007237;NR_031564;NM_001013643, 783;2992;2993,NA,1
2934,NA,NA,NA,NA,1
2942,TRIM45;TTF2,NM_025188;NM_003594,2995;2998,NA,1
2952,MAN1A2,NM_006699,791,NA,1
2953,NA,NA,NA,NA,1
2954,FAM46C,NM_017709,2999,NA,1
2958,NA,NA,NA,NA,1
2961,GDAP2,NM_017686,3001,NA,1
2962,WDR3;GDAP2,NM_006784;NM_017686, 122;3001,NA,1
2963,WDR3;SPAG17,NM_006784;NM_206996,122;798,NA,1
2967,SPAG17,NM_206996,798,NA,1
2971,NA,NA,NA,NA,1
2972,NA,NA,NA,NA,1
2977,NA,NA,NA,NA,1
2984,NA,NA,NA,NA,1
2986,TBX15,NM_152380,3002,NA,1
2989,TBX15,NM_152380,3002,NA,1
2992,WARS2,NM_015836,799,NA,1
2994,NA,NA,NA,NA,1
2995,NA,NA,NA,NA,1
2997,NA,NA,NA,NA,1
2999,HAO2;HSD3B2,NM_016527;NM_001166120, 800;3004,NA,1
3000,HSD3B2,NM_001166120,3004,NA,1
3002,HSD3B1,NM_000862,3006,NA,1
3003,HSD3BP4,NR_033781,3007,NA,1
3004,LINC00622,NR_036540,3008,NA,1
3005,ZNF697,NM_001080470,3009,NA,1
3006,NA,NA,NA,NA,1
3007,PHGDH,NM_006623,3011,NA,1
3008,HMGCS2;PHGDH,NM_005518;NM_006623,3010;3011,NA,1
3009,REG4,NM_032044,3015,NA,1
3010,NBPF7,NM_001047980,3014,NA,1
3011,ADAM30,NM_021794,3013,NA,1
3012,NOTCH2,NM_024408,121,NA,1
3013,NOTCH2,NM_024408,121,NA,1
3014,NOTCH2,NM_024408,121,NA,1
3015,NOTCH2,NM_024408,121,NA,1
3016,NOTCH2,NM_024408,121,NA,1
3017,NA,NA,NA,NA,1
3030,NA,NA,NA,NA,1
3032,EMBP1,NR_003955,3023,NA,1
3033,EMBP1,NR_003955,3023,NA,1
3034,NA,NA,NA,NA,1
3626,NBPF9;NBPF20;PDE4DIP,NM_001277444;NM_001278267;NM_001198832,134;137;814,NA,82
3677,BCL9,NM_004326,833,NA,1
3678,BCL9;ACP6,NM_004326;NM_016361, 833;3086,NA,1
3680,NA,NA,NA,NA,1
3681,GJA5,NM_005266,3088,NA,1
3682,GJA5,NM_005266,3088,NA,1
3684,NA,NA,NA,NA,1
3685,GJA8,NM_005267,3089,NA,1
3693,NBPF8,NM_001037501,133,NA,1
3694,NBPF8,NM_001037501,133,NA,1
3695,NBPF8,NM_001037501,133,NA,1
3696,NBPF8;MIR5087,NM_001037501;NR_049810, 133;3091,NA,1
3742,LINC00869,NR_046139,3115,NA,1
3744,HIST2H2BF;FCGR1A,NM_001161334;NM_000566,3123;3127,NA,1
3755,ANP32E,NM_001280560,3148,NA,1
3766,ENSA;GOLPH3L,NM_207042;NM_018178, 853;3185,NA,1
3774,ANXA9;SETDB1;CERS2,NM_003568;NM_001145415;NM_022075,3192;3193;3194,NA,1
3783,PI4KB;RFX5,NM_001198774;NM_001025603,3233;3236,NA,1
3787,NA,NA,NA,NA,1
3793,RIIAD1;CELF3,NM_001144956;NM_007185,3244;3252,NA,1
3796,RORC;C2CD4D;LOC100132111;THEM5,NM_005060;NM_001136003;NR_024237;NM_182578, 866;3253;3255;3256,NA,1
3831,LOR,NM_000427,3310,NA,1
4001,KCNJ10;PIGM,NM_002241;NM_145167, 910;3699,NA,1
4003,ATP1A2,NM_000702,3706,NA,1
4049,ATF6;OLFML2B,NM_007348;NM_015441, 922;3851,NA,1
4055,NOS1AP,NM_014697,921,NA,1
4552,NA,NA,NA,NA,1
