bin,gene,accession,uniqueID,partner,Nij
1255,KLHDC1,NM_172193,32802,NA,1
1257,KLHDC2;NEMF,NM_014315;NM_004713,33516;33517,NA,1
1258,NEMF,NM_004713,33517,NA,1
1268,L2HGDH;SOS2,NM_024884;NM_006939,32805;32807,NA,1
1278,SAV1;ATL1,NM_021818;NM_001127713,32814;33531,NA,1
1288,TRIM9,NM_015163,32820,NA,1
1380,SAMD4A,NM_015589,32835,NA,1
1390,LGALS3,NM_002306,33562,NA,1
1391,LGALS3;DLGAP5,NM_002306;NM_001146015,33562;33564,NA,1
1392,DLGAP5,NM_001146015,33564,NA,1
1394,FBXO34,NM_017943,33567,NA,1
1398,TBPL2,NM_199047,33569,NA,1
1399,NA,NA,NA,NA,1
1401,NA,NA,NA,NA,1
1403,KTN1,NM_001271014,32844,NA,1
1404,KTN1,NM_001271014,32844,NA,1
1406,RPL13AP3,NR_004844,33573,NA,1
1407,LINC00520,NR_026797,33571,NA,1
1410,NA,NA,NA,NA,1
1416,PELI2,NM_021255,32670,NA,1
1418,PELI2,NM_021255,32670,NA,1
1469,PSMA3;FLJ31306,NM_152132;NR_029434,32645;33596,NA,26
1520,PPM1A,NM_177952,33612,NA,1
1537,SLC38A6;TRMT5,NM_001172702;NM_020810,32867;33617,NA,1
1543,NA,NA,NA,NA,1
1549,PRKCH,NM_006255,32683,NA,1
1556,SNAPC1;HIF1A;HIF1A-AS2,NM_003082;NM_001530;NR_045406,32873;33622;33625,NA,1
