bin,gene,accession,uniqueID,partner,Nij
2150,DDAH1,NM_001134445,100,NA,1
2552,NA,NA,NA,NA,1
2742,KIAA1324;SCARNA2;C1orf194,NM_001267048;NR_003023;NM_001122961, 738;2817;2819,NA,1
2748,SORT1,NM_002959,2831,NA,1
2773,RBM15;RP5-1074L1.1;SLC16A4,NM_001201545;NR_036595;NM_004696, 749;2876;2879,NA,1
2776,CYMP;LOC440602,NR_003599;NR_108042,2885;2886,NA,1
2778,NA,NA,NA,NA,1
2795,CHI3L2,NM_004000,2898,NA,1
2801,ADORA3;ATP5F1;C1orf162,NM_001081976;NM_001688;NM_174896, 756;2918;2919,NA,1
2809,KCND3,NM_172198,757,NA,1
2823,NA,NA,NA,NA,1
2868,SYT6,NM_001270805,775,NA,1
2899,NA,NA,NA,NA,1
2905,VANGL1,NM_138959,2976,NA,1
2906,VANGL1,NM_138959,2976,NA,1
2908,CASQ2,NM_001232,781,NA,1
2909,NA,NA,NA,NA,1
2916,SLC22A15,NM_018420,786,NA,1
2922,NA,NA,NA,NA,1
2924,ATP1A1;ATP1A1OS,NM_000701;NR_027646, 787;2984,NA,1
2926,NA,NA,NA,NA,1
2927,CD58,NM_001779,2990,NA,1
2932,C1orf137,NM_001013643,2993,NA,1
2934,NA,NA,NA,NA,1
2936,NA,NA,NA,NA,1
2944,VTCN1,NM_024626,788,NA,1
2946,NA,NA,NA,NA,1
2953,NA,NA,NA,NA,1
2954,FAM46C,NM_017709,2999,NA,1
2956,NA,NA,NA,NA,1
2958,NA,NA,NA,NA,1
2959,NA,NA,NA,NA,1
2962,WDR3;GDAP2,NM_006784;NM_017686, 122;3001,NA,1
2963,WDR3;SPAG17,NM_006784;NM_206996,122;798,NA,1
2964,SPAG17,NM_206996,798,NA,1
2967,SPAG17,NM_206996,798,NA,1
2979,NA,NA,NA,NA,1
2981,NA,NA,NA,NA,1
2983,NA,NA,NA,NA,1
2987,TBX15,NM_152380,3002,NA,1
2988,TBX15,NM_152380,3002,NA,1
2989,TBX15,NM_152380,3002,NA,1
2990,WARS2,NM_015836,799,NA,1
2995,NA,NA,NA,NA,1
2996,NA,NA,NA,NA,1
2997,NA,NA,NA,NA,1
2998,HAO2;HAO2-IT1,NM_016527;NR_046780, 800;3003,NA,1
2999,HAO2;HSD3B2,NM_016527;NM_001166120, 800;3004,NA,1
3001,NA,NA,NA,NA,1
3002,HSD3B1,NM_000862,3006,NA,1
3003,HSD3BP4,NR_033781,3007,NA,1
3004,LINC00622,NR_036540,3008,NA,1
3005,ZNF697,NM_001080470,3009,NA,1
3006,NA,NA,NA,NA,1
3007,PHGDH,NM_006623,3011,NA,1
3008,HMGCS2;PHGDH,NM_005518;NM_006623,3010;3011,NA,1
3009,REG4,NM_032044,3015,NA,1
3010,NBPF7,NM_001047980,3014,NA,1
3011,ADAM30,NM_021794,3013,NA,1
3012,NOTCH2,NM_024408,121,NA,1
3013,NOTCH2,NM_024408,121,NA,1
3014,NOTCH2,NM_024408,121,NA,1
3015,NOTCH2,NM_024408,121,NA,1
3016,NOTCH2,NM_024408,121,NA,1
3031,NA,NA,NA,NA,1
