ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0007158,neuron cell-cell adhesion,1/3,15/18588,0.00241909367575865,0.0297988176012673,0.0119933321615008,NCAM2,1
GO_BP,GO:0007413,axonal fasciculation,1/3,23/18588,0.00370768026548152,0.0297988176012673,0.0119933321615008,NCAM2,1
GO_BP,GO:0106030,neuron projection fasciculation,1/3,23/18588,0.00370768026548152,0.0297988176012673,0.0119933321615008,NCAM2,1
GO_BP,GO:0050869,negative regulation of B cell activation,1/3,28/18588,0.00451248311443853,0.0297988176012673,0.0119933321615008,SAMSN1,1
GO_BP,GO:0008038,neuron recognition,1/3,36/18588,0.00579926598149116,0.0297988176012673,0.0119933321615008,NCAM2,1
GO_MF,GO:0001784,phosphotyrosine residue binding,1/3,37/18588,0.00596003582851867,0.0297988176012673,0.0119933321615008,SAMSN1,1
GO_MF,GO:0045309,protein phosphorylated amino acid binding,1/3,44/18588,0.00708493949326527,0.0297988176012673,0.0119933321615008,SAMSN1,1
GO_BP,GO:0002820,negative regulation of adaptive immune response,1/3,45/18588,0.00724557070452048,0.0297988176012673,0.0119933321615008,SAMSN1,1
GO_BP,GO:0050732,negative regulation of peptidyl-tyrosine phosphorylation,1/3,49/18588,0.00788792230621782,0.0297988176012673,0.0119933321615008,SAMSN1,1
GO_MF,GO:0051219,phosphoprotein binding,1/3,76/18588,0.0122165495556218,0.0415362684891141,0.0167173836024298,SAMSN1,1
KEGG,hsa05020,Prion diseases,1/1,35/7715,0.00453661697990904,0.00907323395981807,NA,NCAM2,1
KEGG,hsa04514,Cell adhesion molecules (CAMs),1/1,140/7715,0.0181464679196368,0.0181464679196368,NA,NCAM2,1
