ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0005882,intermediate filament,8/13,194/18588,1.49924730432049e-13,1.2143903164996e-11,9.31111483735886e-12,KRTAP19-4/KRTAP19-2/KRTAP19-1/KRTAP19-5/KRTAP19-3/KRTAP20-3/KRTAP20-2/KRTAP7-1,8
GO_CC,GO:0045111,intermediate filament cytoskeleton,8/13,230/18588,5.93686822691606e-13,2.40443163190101e-11,1.84355381783183e-11,KRTAP19-4/KRTAP19-2/KRTAP19-1/KRTAP19-5/KRTAP19-3/KRTAP20-3/KRTAP20-2/KRTAP7-1,8
GO_BP,GO:0031424,keratinization,6/13,223/18588,4.45940557532271e-09,1.20403950533713e-07,9.23175189277333e-08,KRTAP19-4/KRTAP19-2/KRTAP19-1/KRTAP19-5/KRTAP19-3/KRTAP20-2,6
GO_BP,GO:0030216,keratinocyte differentiation,6/13,296/18588,2.42194480170679e-08,4.90443822345625e-07,3.76038798159739e-07,KRTAP19-4/KRTAP19-2/KRTAP19-1/KRTAP19-5/KRTAP19-3/KRTAP20-2,6
GO_BP,GO:0009913,epidermal cell differentiation,6/13,343/18588,5.81505292380188e-08,9.42038573655904e-07,7.22290784219602e-07,KRTAP19-4/KRTAP19-2/KRTAP19-1/KRTAP19-5/KRTAP19-3/KRTAP20-2,6
GO_BP,GO:0043588,skin development,6/13,410/18588,1.67142798699821e-07,2.25642778244759e-06,1.73007458303324e-06,KRTAP19-4/KRTAP19-2/KRTAP19-1/KRTAP19-5/KRTAP19-3/KRTAP20-2,6
GO_BP,GO:0008544,epidermis development,6/13,448/18588,2.81832005201036e-07,3.26119891732627e-06,2.50046440704678e-06,KRTAP19-4/KRTAP19-2/KRTAP19-1/KRTAP19-5/KRTAP19-3/KRTAP20-2,6
KEGG,hsa05020,Prion diseases,1/2,35/7715,0.00905323849996398,0.0362129539998559,0.00952972473680419,NCAM2,1
KEGG,hsa04724,Glutamatergic synapse,1/2,112/7715,0.0288254549261169,0.047954601680638,0.0126196320212205,GRIK1,1
KEGG,hsa04514,Cell adhesion molecules (CAMs),1/2,140/7715,0.0359659512604785,0.047954601680638,0.0126196320212205,NCAM2,1
