ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0004629,phospholipase C activity,2/7,24/18588,3.34196865056303e-05,0.0109950768603524,0.00594518633626476,PLCB1/PLCB4,2
GO_CC,GO:0098978,glutamatergic synapse,3/7,345/18588,0.00020989484594507,0.0169253024386504,0.00915173928053723,PLCB1/PLCB4/SNAP25,3
GO_BP,GO:0043647,inositol phosphate metabolic process,2/7,68/18588,0.000273663521128027,0.0169253024386504,0.00915173928053723,PLCB1/PLCB4,2
GO_BP,GO:0050804,modulation of chemical synaptic transmission,3/7,387/18588,0.00029451663290749,0.0169253024386504,0.00915173928053723,PLCB1/PLCB4/SNAP25,3
GO_BP,GO:0099177,regulation of trans-synaptic signaling,3/7,388/18588,0.000296763058287405,0.0169253024386504,0.00915173928053723,PLCB1/PLCB4/SNAP25,3
GO_MF,GO:0004620,phospholipase activity,2/7,78/18588,0.000360112817843625,0.0169253024386504,0.00915173928053723,PLCB1/PLCB4,2
GO_MF,GO:0008081,phosphoric diester hydrolase activity,2/7,78/18588,0.000360112817843625,0.0169253024386504,0.00915173928053723,PLCB1/PLCB4,2
GO_MF,GO:0016298,lipase activity,2/7,94/18588,0.000522655899423572,0.0214942238637944,0.0116222167108663,PLCB1/PLCB4,2
GO_BP,GO:0019751,polyol metabolic process,2/7,114/18588,0.000767410265410933,0.028053108591133,0.0151686941350231,PLCB1/PLCB4,2
GO_CC,GO:0008021,synaptic vesicle,2/7,152/18588,0.00135799417446894,0.0389842967307559,0.0210793349783962,LAMP5/SNAP25,2
GO_CC,GO:0030426,growth cone,2/7,159/18588,0.00148451580156811,0.0389842967307559,0.0210793349783962,LAMP5/SNAP25,2
GO_CC,GO:0030427,site of polarized growth,2/7,162/18588,0.00154041294072896,0.0389842967307559,0.0210793349783962,LAMP5/SNAP25,2
GO_CC,GO:0070382,exocytic vesicle,2/7,162/18588,0.00154041294072896,0.0389842967307559,0.0210793349783962,LAMP5/SNAP25,2
GO_BP,GO:0007611,learning or memory,2/7,240/18588,0.00334047396118192,0.0451387871477578,0.0244071509453562,PLCB1/SNAP25,2
GO_CC,GO:0150034,distal axon,2/7,253/18588,0.00370427295835937,0.0451387871477578,0.0244071509453562,LAMP5/SNAP25,2
GO_CC,GO:0005786,signal recognition particle  endoplasmic reticulum targeting,1/7,10/18588,0.0037604039674255,0.0451387871477578,0.0244071509453562,SNAP25-AS1,1
GO_BP,GO:0046520,sphingoid biosynthetic process,1/7,11/18588,0.00413577683706845,0.0451387871477578,0.0244071509453562,SPTLC3,1
