,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
1,68697,69160,63650,69875,69714,70526,66040,68205,68508,70684,67806,67832,67590,69073,69997,70250,68188,69660,68455,70767,70713,70917
2,70264,70348,68637,70551,70506,70634,69575,70078,70172,70676,69990,70048,69991,70343,70577,70637,70107,70482,70304,70676,70680,70781
3,70292,70318,69650,70461,70436,70510,70029,70220,70265,70532,70200,70220,70202,70376,70461,70513,70285,70442,70404,70539,70529,70615
4,70200,70197,69711,70306,70306,70365,70005,70135,70195,70404,70047,70135,70065,70239,70329,70377,70170,70293,70282,70425,70392,70490
5,70012,70042,69604,70173,70174,70233,69844,69999,70029,70253,69914,69946,69921,70058,70201,70240,69968,70143,70118,70266,70262,70352
6,69835,69867,69413,70005,69994,70066,69627,69809,69890,70125,69713,69787,69707,69887,70072,70093,69827,70008,69956,70139,70124,70212
7,69673,69702,69124,69823,69808,69886,69379,69632,69677,69944,69465,69531,69452,69682,69875,69889,69564,69823,69778,69962,69949,70034
8,69418,69451,68671,69617,69570,69693,69057,69399,69434,69753,69173,69270,69148,69427,69683,69727,69326,69620,69578,69786,69768,69849
9,69163,69195,68195,69409,69330,69472,68650,69099,69175,69543,68821,68917,68764,69208,69453,69506,69049,69375,69324,69572,69576,69639
10,68821,68825,67512,69049,69022,69172,68188,68749,68780,69281,68375,68495,68238,68830,69198,69219,68584,69082,69042,69290,69304,69365
11,68346,68376,66774,68672,68601,68812,67547,68265,68250,68906,67781,67972,67583,68298,68833,68830,67982,68733,68657,68938,68926,69011
12,67669,67778,65591,68106,67990,68280,66721,67614,67595,68414,67034,67304,66784,67718,68264,68313,67300,68173,68072,68432,68435,68507
13,66827,66959,64338,67334,67244,67586,65572,66692,66654,67706,65986,66411,65868,66811,67561,67596,66336,67446,67305,67747,67737,67816
14,65616,65743,62365,66145,66038,66458,64053,65369,65175,66596,64618,65133,64347,65534,66427,66484,64906,66272,66165,66617,66615,66694
15,63918,64019,60054,64527,64397,64841,62015,63523,63216,65006,62695,63300,62419,63767,64864,64910,63075,64684,64548,65068,65048,65121
16,61144,61254,56770,61951,61794,62285,58976,60624,60256,62462,59829,60523,59576,61070,62299,62377,60287,62125,62001,62519,62466,62571
17,57082,57322,52103,57993,57812,58370,54763,56478,55912,58521,55509,56479,55335,57067,58367,58473,56263,58237,58135,58559,58526,58609
18,50850,51004,45760,51696,51557,52021,48563,50182,49451,52170,49165,50260,49224,50797,52043,52106,50020,51893,51833,52187,52142,52223
19,41414,41502,37079,42087,41986,42296,39560,40727,40042,42401,40199,40936,40097,41379,42345,42357,40877,42229,42245,42410,42373,42423
20,28511,28551,26120,28866,28793,28943,27532,28131,27743,28973,27787,28326,27914,28506,28958,28972,28246,28914,28918,28978,28960,28980
21,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049
allCp,70751,70761,70655,70805,70794,70832,70708,70729,70770,70854,70725,70736,70733,70776,70787,70807,70756,70774,70756,70832,70824,70917
