bin,gene,accession,uniqueID,partner,Nij
2150,DDAH1,NM_001134445,100,NA,1
2552,NA,NA,NA,NA,1
2742,KIAA1324;KIAA1324;KIAA1324;SCARNA2;C1orf194,NM_001267048;NM_020775;NM_001284352;NR_003023;NM_001122961, 738; 739; 747;2817;2819,NA,1
2748,SORT1;SORT1,NM_001205228;NM_002959,2827;2831,NA,1
2773,RBM15;RBM15;RP5-1074L1.1;SLC16A4;SLC16A4;SLC16A4;SLC16A4;SLC16A4,NM_001201545;NM_022768;NR_036595;NM_004696;NM_001201549;NM_001201547;NM_001201546;NM_001201548, 749; 750;2876;2879;2880;2881;2882;2883,NA,1
2776,CYMP;LOC440602,NR_003599;NR_108042,2885;2886,NA,1
2778,NA,NA,NA,NA,1
2795,CHI3L2;CHI3L2;CHI3L2,NM_001025199;NM_004000;NM_001025197,2897;2898;2901,NA,1
2801,ADORA3;ADORA3;ATP5F1;C1orf162,NM_001081976;NM_020683;NM_001688;NM_174896, 756;2914;2918;2919,NA,1
2809,KCND3;KCND3,NM_172198;NM_004980,757;763,NA,1
2823,NA,NA,NA,NA,1
2868,SYT6;SYT6,NM_205848;NM_001270805,773;775,NA,1
2899,NA,NA,NA,NA,1
2905,VANGL1;VANGL1;VANGL1,NM_138959;NM_001172412;NM_001172411,2976;2977;2978,NA,1
2906,VANGL1;VANGL1;VANGL1,NM_138959;NM_001172412;NM_001172411,2976;2977;2978,NA,1
2908,CASQ2,NM_001232,781,NA,1
2909,NA,NA,NA,NA,1
2916,SLC22A15,NM_018420,786,NA,1
2922,NA,NA,NA,NA,1
2924,ATP1A1;ATP1A1;ATP1A1;ATP1A1OS;ATP1A1OS;ATP1A1OS;ATP1A1OS;ATP1A1OS,NM_000701;NM_001160234;NM_001160233;NR_027646;NR_027645;NR_024124;NR_024125;NR_024126, 787;2982;2983;2984;2985;2986;2987;2988,NA,1
2926,NA,NA,NA,NA,1
2927,CD58;CD58;CD58,NM_001144822;NM_001779;NR_026665,2989;2990;2991,NA,1
2932,C1orf137,NM_001013643,2993,NA,1
2934,NA,NA,NA,NA,1
2936,NA,NA,NA,NA,1
2944,VTCN1;VTCN1;VTCN1;VTCN1;VTCN1,NM_024626;NR_045604;NR_045603;NM_001253850;NM_001253849,788;789;790;795;796,NA,1
2946,NA,NA,NA,NA,1
2953,NA,NA,NA,NA,1
2954,FAM46C,NM_017709,2999,NA,1
2956,NA,NA,NA,NA,1
2958,NA,NA,NA,NA,1
2959,NA,NA,NA,NA,1
2962,WDR3;GDAP2;GDAP2,NM_006784;NM_001135589;NM_017686, 122;3000;3001,NA,1
2963,WDR3;SPAG17,NM_006784;NM_206996,122;798,NA,1
2964,SPAG17,NM_206996,798,NA,1
2967,SPAG17,NM_206996,798,NA,1
2979,NA,NA,NA,NA,1
2981,NA,NA,NA,NA,1
2983,NA,NA,NA,NA,1
2987,TBX15,NM_152380,3002,NA,1
2988,TBX15,NM_152380,3002,NA,1
2989,TBX15,NM_152380,3002,NA,1
2990,WARS2;WARS2,NM_015836;NM_201263,799;801,NA,1
2995,NA,NA,NA,NA,1
2996,NA,NA,NA,NA,1
2997,NA,NA,NA,NA,1
