bin,gene,accession,uniqueID,partner,Nij
440,LINC00478;LINC00478,NR_027791;NR_027790,45203;45204,NA,1
490,CHODL;CHODL;CHODL;CHODL,NM_001204177;NM_001204175;NM_001204178;NM_001204176,45254;45255;45257;45258,NA,1
495,TMPRSS15,NM_002772,45256,NA,1
501,AL109763.2,NR_109925,45259,NA,1
520,NA,NA,NA,NA,1
522,NA,NA,NA,NA,1
525,NA,NA,NA,NA,1
527,NA,NA,NA,NA,1
551,NA,NA,NA,NA,1
552,NA,NA,NA,NA,1
554,LINC00320;LINC00320;LINC00320;LINC00320,NR_024090;NR_109787;NR_109788;NR_109786,45261;45262;45263;45264,NA,1
555,LINC00320;LINC00320;LINC00320;LINC00320,NR_024090;NR_109787;NR_109788;NR_109786,45261;45262;45263;45264,NA,1
558,NA,NA,NA,NA,1
560,NCAM2,NM_004540,45260,NA,1
561,NCAM2,NM_004540,45260,NA,1
567,NCAM2;RNU6-67P,NM_004540;NR_046937,45260;45438,NA,1
569,NCAM2,NM_004540,45260,NA,1
574,NA,NA,NA,NA,1
575,NA,NA,NA,NA,1
578,LINC00317;AP000475.2,NR_038872;NR_109958,45439;45440,NA,1
579,AP000475.2,NR_109958,45440,NA,1
581,NA,NA,NA,NA,1
586,AP000472.2,NR_109959,45265,NA,1
587,AP000472.2;LINC00308,NR_109959;NR_038400,45265;45441,NA,1
588,LINC00308,NR_038400,45441,NA,1
589,NA,NA,NA,NA,1
592,NA,NA,NA,NA,1
595,NA,NA,NA,NA,1
596,NA,NA,NA,NA,1
602,NA,NA,NA,NA,1
604,NA,NA,NA,NA,1
606,NA,NA,NA,NA,1
607,NA,NA,NA,NA,1
610,NA,NA,NA,NA,1
613,NA,NA,NA,NA,1
614,NA,NA,NA,NA,1
615,NA,NA,NA,NA,1
616,NA,NA,NA,NA,1
617,NA,NA,NA,NA,1
618,NA,NA,NA,NA,1
619,D21S2088E,NR_040254,45442,NA,1
670,LINC00158,NR_024027,45443,NA,64
725,MIR5009,NR_049807,45270,NA,1
729,MIR5009;LINC00113,NR_049807;NR_024357,45270;45271,NA,1
730,MIR5009,NR_049807,45270,NA,1
737,NA,NA,NA,NA,1
739,NA,NA,NA,NA,1
741,NA,NA,NA,NA,1
746,NA,NA,NA,NA,1
747,NA,NA,NA,NA,1
751,NA,NA,NA,NA,1
754,NA,NA,NA,NA,1
755,NA,NA,NA,NA,1
769,BACH1;BACH1-IT2,NR_027655;NR_046564,45474;45477,NA,1
771,NA,NA,NA,NA,1
775,GRIK1;GRIK1;GRIK1-AS2,NM_000830;NM_175611;NR_033368,45273;45275;45478,NA,1
777,GRIK1;GRIK1,NM_000830;NM_175611,45273;45275,NA,1
780,GRIK1;GRIK1,NM_000830;NM_175611,45273;45275,NA,1
781,GRIK1;GRIK1,NM_000830;NM_175611,45273;45275,NA,1
783,GRIK1;GRIK1,NM_000830;NM_175611,45273;45275,NA,1
787,NA,NA,NA,NA,1
788,NA,NA,NA,NA,1
797,KRTAP19-4;KRTAP19-2;KRTAP19-1;KRTAP19-5;KRTAP19-3,NM_181610;NM_181608;NM_181607;NM_181611;NM_181609,45495;45496;45497;45501;45502,NA,1
801,KRTAP20-3;KRTAP20-2,NM_001128077;NM_181616,45505;45508,NA,1
806,KRTAP7-1,NM_181606,45510,NA,1
