Gene Cluster 1
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment
UP_SEQ_FEATURE	transmembrane region	6	100.0	0.0010148765523199548	LINGO2, TRPM3, TMEM252, FAM189A2, C9ORF135, EQTN	6	5056	20063	3.30679720464135
UP_KEYWORDS	Transmembrane helix	6	100.0	0.0015352949856390046	LINGO2, TRPM3, TMEM252, FAM189A2, C9ORF135, EQTN	6	5634	20581	3.044166370843687
UP_KEYWORDS	Transmembrane	6	100.0	0.00155860647068775	LINGO2, TRPM3, TMEM252, FAM189A2, C9ORF135, EQTN	6	5651	20581	3.035008553058456
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	6	100.0	0.0018225901079946037	LINGO2, TRPM3, TMEM252, FAM189A2, C9ORF135, EQTN	6	5163	18224	2.9414423139001875
UP_KEYWORDS	Membrane	6	100.0	0.006395396488152167	LINGO2, TRPM3, TMEM252, FAM189A2, C9ORF135, EQTN	6	7494	20581	2.288608664709545
UP_SEQ_FEATURE	topological domain:Cytoplasmic	4	66.66666666666666	0.03879637475485764	LINGO2, TRPM3, C9ORF135, EQTN	6	3456	20063	2.9026331018518516
UP_SEQ_FEATURE	topological domain:Extracellular	3	50.0	0.14471456472157174	LINGO2, TRPM3, C9ORF135	6	2787	20063	2.399593350077742
UP_SEQ_FEATURE	signal peptide	3	50.0	0.19643719084024994	LINGO2, FAM189A2, EQTN	6	3346	20063	1.9987049212990635
UP_KEYWORDS	Signal	3	50.0	0.2670746555247408	LINGO2, FAM189A2, EQTN	6	4160	20581	1.6491185897435896
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	3	50.0	0.28545525126441346	LINGO2, C9ORF135, EQTN	6	4234	20063	1.579515037002047
UP_KEYWORDS	Glycoprotein	3	50.0	0.3064637038594471	LINGO2, C9ORF135, EQTN	6	4551	20581	1.5074342635318245
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	2	33.33333333333333	0.7224959363756228	TRPM3, EQTN	6	4121	18224	0.737037935776106
GOTERM_CC_DIRECT	GO:0005634~nucleus	1	16.666666666666664	1.0	EQTN	6	5415	18224	0.0
UP_KEYWORDS	Ion transport	1	16.666666666666664	1.0	TRPM3	6	642	20581	0.0
UP_KEYWORDS	Ion channel	1	16.666666666666664	1.0	TRPM3	6	359	20581	0.0
UP_SEQ_FEATURE	chain:Acrosome formation-associated factor	1	16.666666666666664	1.0	EQTN	6	1	20063	0.0
INTERPRO	IPR005821:Ion transport domain	1	16.666666666666664	1.0	TRPM3	6	106	18559	0.0
INTERPRO	IPR007110:Immunoglobulin-like domain	1	16.666666666666664	1.0	LINGO2	6	771	18559	0.0
GOTERM_BP_DIRECT	GO:0071482~cellular response to light stimulus	1	16.666666666666664	1.0	TRPM3	6	12	16792	0.0
GOTERM_BP_DIRECT	GO:0007216~G-protein coupled glutamate receptor signaling pathway	1	16.666666666666664	1.0	TRPM3	6	8	16792	0.0
GOTERM_BP_DIRECT	GO:0060478~acrosomal vesicle exocytosis	1	16.666666666666664	1.0	EQTN	6	3	16792	0.0
UP_SEQ_FEATURE	disulfide bond	1	16.666666666666664	1.0	LINGO2	6	2917	20063	0.0
SMART	SM00013:LRRNT	1	16.666666666666664	1.0	LINGO2	6	54	10057	0.0
GOTERM_CC_DIRECT	GO:0002081~outer acrosomal membrane	1	16.666666666666664	1.0	EQTN	6	4	18224	0.0
