Gene Cluster 1
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	54	100.0	1.3132193975982747E-76	HKR1, ZNF17, ZNF583, ZNF534, ZNF781, ZNF347, ZNF345, ZNF829, ZNF350, ZNF578, ZNF540, ZNF577, ZNF790, ZNF649, ZNF792, ZNF793, ZNF549, ZFP82, ZNF749, ZNF383, ZNF550, ZNF551, ZNF432, ZNF613, ZNF808, ZNF614, ZNF274, ZNF615, ZNF616, ZNF850, ZNF71, ZNF471, ZNF607, ZNF420, ZNF606, ZNF527, ZNF528, ZNF529, ZNF566, ZNF568, ZNF567, ZNF260, ZNF569, ZNF667, ZNF221, ZSCAN4, ZNF836, ZNF585A, ZNF665, ZNF585B, ZNF461, ZNF570, ZNF571, ZNF573	54	712	18559	25.58330732417811
INTERPRO	IPR015880:Zinc finger, C2H2-like	54	100.0	5.475642292925486E-75	HKR1, ZNF17, ZNF583, ZNF534, ZNF781, ZNF347, ZNF345, ZNF829, ZNF350, ZNF578, ZNF540, ZNF577, ZNF790, ZNF649, ZNF792, ZNF793, ZNF549, ZFP82, ZNF749, ZNF383, ZNF550, ZNF551, ZNF432, ZNF613, ZNF808, ZNF614, ZNF274, ZNF615, ZNF616, ZNF850, ZNF71, ZNF471, ZNF607, ZNF420, ZNF606, ZNF527, ZNF528, ZNF529, ZNF566, ZNF568, ZNF567, ZNF260, ZNF569, ZNF667, ZNF221, ZSCAN4, ZNF836, ZNF585A, ZNF665, ZNF585B, ZNF461, ZNF570, ZNF571, ZNF573	54	762	18559	23.904612617867212
UP_SEQ_FEATURE	zinc finger region:C2H2-type 3	51	94.44444444444444	8.225878142434249E-75	ZNF17, HKR1, ZNF534, ZNF583, ZNF781, ZNF347, ZNF345, ZNF829, ZNF350, ZNF578, ZNF540, ZNF577, ZNF790, ZNF649, ZNF792, ZNF793, ZNF549, ZFP82, ZNF383, ZNF550, ZNF432, ZNF551, ZNF808, ZNF613, ZNF614, ZNF274, ZNF615, ZNF616, ZNF471, ZNF71, ZNF607, ZNF420, ZNF527, ZNF528, ZNF566, ZNF529, ZNF568, ZNF567, ZNF260, ZNF569, ZNF667, ZSCAN4, ZNF221, ZNF836, ZNF585A, ZNF585B, ZNF665, ZNF461, ZNF570, ZNF571, ZNF573	54	636	20063	30.33230527334301
INTERPRO	IPR007087:Zinc finger, C2H2	54	100.0	7.377156058178577E-74	HKR1, ZNF17, ZNF583, ZNF534, ZNF781, ZNF347, ZNF345, ZNF829, ZNF350, ZNF578, ZNF540, ZNF577, ZNF790, ZNF649, ZNF792, ZNF793, ZNF549, ZFP82, ZNF749, ZNF383, ZNF550, ZNF551, ZNF432, ZNF613, ZNF808, ZNF614, ZNF274, ZNF615, ZNF616, ZNF850, ZNF71, ZNF471, ZNF607, ZNF420, ZNF606, ZNF527, ZNF528, ZNF529, ZNF566, ZNF568, ZNF567, ZNF260, ZNF569, ZNF667, ZNF221, ZSCAN4, ZNF836, ZNF585A, ZNF665, ZNF585B, ZNF461, ZNF570, ZNF571, ZNF573	54	799	18559	22.797640569230055
UP_SEQ_FEATURE	zinc finger region:C2H2-type 4	50	92.5925925925926	1.2469762325388012E-73	ZNF613, ZNF808, ZNF614, HKR1, ZNF17, ZNF274, ZNF583, ZNF534, ZNF347, ZNF345, ZNF615, ZNF829, ZNF616, ZNF350, ZNF578, ZNF540, ZNF71, ZNF471, ZNF420, ZNF607, ZNF606, ZNF577, ZNF527, ZNF528, ZNF529, ZNF566, ZNF568, ZNF567, ZNF569, ZNF260, ZNF667, ZNF790, ZNF649, ZNF792, ZNF793, ZSCAN4, ZNF836, ZNF585A, ZNF549, ZNF585B, ZNF665, ZFP82, ZNF461, ZNF383, ZNF550, ZNF551, ZNF432, ZNF570, ZNF571, ZNF573	54	588	20063	32.15224358974359
INTERPRO	IPR001909:Krueppel-associated box	48	88.88888888888889	7.882584235278503E-73	ZNF613, ZNF808, ZNF614, HKR1, ZNF17, ZNF274, ZNF583, ZNF534, ZNF347, ZNF615, ZNF829, ZNF616, ZNF350, ZNF850, ZNF578, ZNF540, ZNF471, ZNF420, ZNF607, ZNF606, ZNF577, ZNF527, ZNF528, ZNF529, ZNF566, ZNF568, ZNF567, ZNF569, ZNF667, ZNF790, ZNF649, ZNF792, ZNF221, ZNF793, ZNF836, ZNF585A, ZNF549, ZNF585B, ZFP82, ZNF749, ZNF461, ZNF383, ZNF550, ZNF551, ZNF432, ZNF570, ZNF571, ZNF573	54	402	18559	40.1820987654321
UP_SEQ_FEATURE	zinc finger region:C2H2-type 8	47	87.03703703703704	2.2328162279587312E-72	ZNF613, ZNF808, ZNF614, HKR1, ZNF17, ZNF583, ZNF534, ZNF347, ZNF345, ZNF615, ZNF829, ZNF616, ZNF350, ZNF578, ZNF540, ZNF71, ZNF471, ZNF420, ZNF606, ZNF577, ZNF527, ZNF528, ZNF529, ZNF566, ZNF568, ZNF567, ZNF569, ZNF260, ZNF667, ZNF790, ZNF649, ZNF792, ZNF221, ZNF836, ZNF585A, ZNF549, ZNF585B, ZNF665, ZFP82, ZNF461, ZNF383, ZNF550, ZNF551, ZNF432, ZNF570, ZNF571, ZNF573	54	427	20063	41.56449288416501
UP_SEQ_FEATURE	zinc finger region:C2H2-type 7	47	87.03703703703704	1.1215469430976969E-70	ZNF613, ZNF808, ZNF614, HKR1, ZNF17, ZNF583, ZNF534, ZNF347, ZNF345, ZNF615, ZNF829, ZNF616, ZNF350, ZNF578, ZNF540, ZNF71, ZNF471, ZNF420, ZNF607, ZNF606, ZNF577, ZNF527, ZNF528, ZNF529, ZNF566, ZNF568, ZNF567, ZNF569, ZNF260, ZNF667, ZNF790, ZNF649, ZNF792, ZNF221, ZNF836, ZNF549, ZNF585B, ZNF665, ZFP82, ZNF461, ZNF383, ZNF550, ZNF551, ZNF432, ZNF570, ZNF571, ZNF573	54	463	20063	38.33269646120618
UP_SEQ_FEATURE	zinc finger region:C2H2-type 5	48	88.88888888888889	1.209748715015637E-69	ZNF613, ZNF808, ZNF614, HKR1, ZNF17, ZNF274, ZNF583, ZNF534, ZNF347, ZNF345, ZNF615, ZNF829, ZNF616, ZNF350, ZNF578, ZNF540, ZNF71, ZNF471, ZNF420, ZNF607, ZNF606, ZNF577, ZNF527, ZNF528, ZNF529, ZNF566, ZNF568, ZNF567, ZNF569, ZNF260, ZNF790, ZNF649, ZNF792, ZNF221, ZNF793, ZNF836, ZNF585A, ZNF549, ZNF585B, ZNF665, ZNF461, ZNF383, ZNF550, ZNF551, ZNF432, ZNF570, ZNF571, ZNF573	54	550	20063	32.97066433566433
UP_SEQ_FEATURE	zinc finger region:C2H2-type 10	44	81.48148148148148	2.9908138434913176E-69	ZNF613, ZNF808, ZNF614, HKR1, ZNF17, ZNF583, ZNF534, ZNF347, ZNF345, ZNF615, ZNF829, ZNF616, ZNF578, ZNF540, ZNF71, ZNF471, ZNF420, ZNF607, ZNF606, ZNF527, ZNF528, ZNF529, ZNF568, ZNF567, ZNF569, ZNF260, ZNF667, ZNF790, ZNF649, ZNF792, ZNF221, ZNF836, ZNF585A, ZNF549, ZNF585B, ZNF665, ZFP82, ZNF461, ZNF383, ZNF432, ZNF551, ZNF570, ZNF571, ZNF573	54	341	20063	48.652661854274754
