#Name (cmd = mergePeaks /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.6/bg.clean.pos /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.6/target.clean..pos -d given -cobound 1 -prefix /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.6/0.267048593684198.2.tmp)	chr	start	end	strand	stat	stat2	/t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.6/target.clean..pos
BG3417-chopped1	chr10	21320002	21360000	+	0.000	0.000	4134
BG22162-chopped1	chr18	38040002	38080000	+	0.000	0.000	1326
BG9818-chopped1	chr7	15360002	15400000	+	0.000	0.000	7127
BG24438-chopped1	chr7	92240002	92280000	+	0.000	0.000	2783
BG1696-chopped1	chr6	56560002	56600000	+	0.000	0.000	4007
BG32406-chopped1	chr1	187080002	187120000	+	0.000	0.000	6151
BG39691-chopped1	chr6	101440002	101480000	+	0.000	0.000	1760
BG18555-chopped1	chr3	56400002	56440000	+	0.000	0.000	1293
BG28363-chopped1	chr3	56240002	56280000	+	0.000	0.000	3673
BG36331-chopped1	chr10	6800002	6840000	+	0.000	0.000	5481
BG8216-chopped1	chr12	127880002	127920000	+	0.000	0.000	3247
BG39045-chopped1	chr7	21320002	21360000	+	0.000	0.000	6178
BG3135-chopped1	chr4	143960002	144000000	+	0.000	0.000	786
BG795-chopped1	chr5	39760002	39800000	+	0.000	0.000	5091
BG18800-chopped1	chr13	73320002	73360000	+	0.000	0.000	5977
BG28281-chopped1	chr9	83560002	83600000	+	0.000	0.000	1586
BG55-chopped1	chr6	105160002	105200000	+	0.000	0.000	6883
BG32570-chopped1	chr6	100600002	100640000	+	0.000	0.000	3702
BG6295-chopped1	chr9	104720002	104760000	+	0.000	0.000	4350
BG26241-chopped1	chr2	50600002	50640000	+	0.000	0.000	1000
BG27561-chopped1	chr9	85640002	85680000	+	0.000	0.000	748
BG42287-chopped1	chr13	52400002	52440000	+	0.000	0.000	3022
BG2861-chopped1	chr8	2720002	2760000	+	0.000	0.000	1001
BG5129-chopped1	chr4	190160002	190200000	+	0.000	0.000	7433
BG35084-chopped1	chr6	93040002	93080000	+	0.000	0.000	7425
BG41767-chopped1	chr2	156920002	156960000	+	0.000	0.000	5498
BG6340-chopped1	chr20	9560002	9600000	+	0.000	0.000	3922
BG30439-chopped1	chr15	81640002	81680000	+	0.000	0.000	1117
BG12472-chopped1	chr12	44440002	44480000	+	0.000	0.000	5864
BG18873-chopped1	chr2	76040002	76080000	+	0.000	0.000	2588
BG37523-chopped1	chr1	222600002	222640000	+	0.000	0.000	6572
BG35238-chopped1	chr13	66720002	66760000	+	0.000	0.000	6750
BG549-chopped1	chr5	81680002	81720000	+	0.000	0.000	5252
BG28035-chopped1	chr10	97320002	97360000	+	0.000	0.000	6769
BG20240-chopped1	chr8	60880002	60920000	+	0.000	0.000	4534
BG16833-chopped1	chr1	186400002	186440000	+	0.000	0.000	1138
BG37323-chopped1	chr4	53560002	53600000	+	0.000	0.000	7557
BG12626-chopped1	chr7	14440002	14480000	+	0.000	0.000	1771
BG9654-chopped1	chr3	26760002	26800000	+	0.000	0.000	6174
BG30402-chopped1	chr10	119720002	119760000	+	0.000	0.000	26
BG91-chopped1	chr1	210560002	210600000	+	0.000	0.000	1630
BG40010-chopped1	chr3	178080002	178120000	+	0.000	0.000	1407
BG40119-chopped1	chr13	36280002	36320000	+	0.000	0.000	3054
BG29073-chopped1	chr11	29640002	29680000	+	0.000	0.000	4122
BG40565-chopped1	chr11	42320002	42360000	+	0.000	0.000	7660
BG39317-chopped1	chr11	114800002	114840000	+	0.000	0.000	7015
BG37596-chopped1	chr1	102240002	102280000	+	0.000	0.000	2971
BG28553-chopped1	chr1	172520002	172560000	+	0.000	0.000	3554
BG6012-chopped1	chr2	17480002	17520000	+	0.000	0.000	5846
BG34236-chopped1	chr12	90960002	91000000	+	0.000	0.000	604
BG312-chopped1	chr9	97200002	97240000	+	0.000	0.000	1391
BG11379-chopped1	chr9	23480002	23520000	+	0.000	0.000	3627
BG7887-chopped1	chr3	105240002	105280000	+	0.000	0.000	5942
BG38161-chopped1	chr12	88920002	88960000	+	0.000	0.000	2404
BG6812-chopped1	chr14	44800002	44840000	+	0.000	0.000	7630
BG11179-chopped1	chr8	47120002	47160000	+	0.000	0.000	7209
BG23272-chopped1	chr6	84360002	84400000	+	0.000	0.000	4877
BG16505-chopped1	chr5	4320002	4360000	+	0.000	0.000	2043
BG21987-chopped1	chr5	89520002	89560000	+	0.000	0.000	2806
BG26313-chopped1	chr6	139440002	139480000	+	0.000	0.000	3003
