"","seqnames","start","end","width","strand","axis","ct"
"2","chr7",1453,1526,74,"*","x","AG"
"18","chr7",1453,1526,74,"*","y","AG"
"34","chr7",1453,1526,74,"*","x","Ao"
"48","chr7",1453,1526,74,"*","y","Ao"
"62","chr7",1453,1526,74,"*","x","Bl"
"78","chr7",1453,1526,74,"*","y","Bl"
"94","chr7",1453,1526,74,"*","x","Co"
"109","chr7",1453,1526,74,"*","y","Co"
"124","chr7",1453,1526,74,"*","x","ESC"
"140","chr7",1453,1526,74,"*","y","ESC"
"156","chr7",1453,1526,74,"*","x","FC"
"170","chr7",1453,1526,74,"*","y","FC"
"184","chr7",1453,1526,74,"*","x","Hi"
"200","chr7",1453,1526,74,"*","y","Hi"
"216","chr7",1453,1526,74,"*","x","LC"
"232","chr7",1453,1526,74,"*","y","LC"
"248","chr7",1453,1526,74,"*","x","Li"
"261","chr7",1453,1526,74,"*","y","Li"
"274","chr7",1453,1526,74,"*","x","Lu"
"293","chr7",1453,1526,74,"*","y","Lu"
"312","chr7",1453,1526,74,"*","x","LV"
"326","chr7",1453,1526,74,"*","y","LV"
"340","chr7",1453,1526,74,"*","x","MesC"
"355","chr7",1453,1526,74,"*","y","MesC"
"370","chr7",1453,1526,74,"*","x","MSC"
"383","chr7",1453,1526,74,"*","y","MSC"
"396","chr7",1453,1526,74,"*","x","NPC"
"412","chr7",1453,1526,74,"*","y","NPC"
"428","chr7",1453,1526,74,"*","x","Ov"
"443","chr7",1453,1526,74,"*","y","Ov"
"458","chr7",1453,1526,74,"*","x","Pa"
"474","chr7",1453,1526,74,"*","y","Pa"
"490","chr7",1453,1526,74,"*","x","PM"
"508","chr7",1453,1526,74,"*","y","PM"
"526","chr7",1453,1526,74,"*","x","RV"
"542","chr7",1453,1526,74,"*","y","RV"
"558","chr7",1453,1526,74,"*","x","SB"
"575","chr7",1453,1526,74,"*","y","SB"
"592","chr7",1453,1526,74,"*","x","Sp"
"607","chr7",1453,1526,74,"*","y","Sp"
"622","chr7",1453,1526,74,"*","x","TLC"
"637","chr7",1453,1526,74,"*","y","TLC"
"8","chr7",1869,1871,3,"*","x","AG"
"24","chr7",1869,1871,3,"*","y","AG"
"99","chr7",1869,1871,3,"*","x","Co"
"114","chr7",1869,1871,3,"*","y","Co"
"160","chr7",1869,1871,3,"*","x","FC"
"174","chr7",1869,1871,3,"*","y","FC"
"4","chr7",1543,1544,2,"*","x","AG"
"12","chr7",3255,3256,2,"*","x","AG"
"16","chr7",3858,3859,2,"*","x","AG"
"20","chr7",1543,1544,2,"*","y","AG"
"28","chr7",3255,3256,2,"*","y","AG"
"32","chr7",3858,3859,2,"*","y","AG"
"36","chr7",1543,1544,2,"*","x","Ao"
"42","chr7",3255,3256,2,"*","x","Ao"
"46","chr7",3858,3859,2,"*","x","Ao"
"50","chr7",1543,1544,2,"*","y","Ao"
"56","chr7",3255,3256,2,"*","y","Ao"
"60","chr7",3858,3859,2,"*","y","Ao"
"64","chr7",1543,1544,2,"*","x","Bl"
"69","chr7",1874,1875,2,"*","x","Bl"
"72","chr7",3255,3256,2,"*","x","Bl"
"76","chr7",3858,3859,2,"*","x","Bl"
"80","chr7",1543,1544,2,"*","y","Bl"
"85","chr7",1874,1875,2,"*","y","Bl"
"88","chr7",3255,3256,2,"*","y","Bl"
"92","chr7",3858,3859,2,"*","y","Bl"
"96","chr7",1543,1544,2,"*","x","Co"
"103","chr7",3255,3256,2,"*","x","Co"
"107","chr7",3858,3859,2,"*","x","Co"
"111","chr7",1543,1544,2,"*","y","Co"
"118","chr7",3255,3256,2,"*","y","Co"
"122","chr7",3858,3859,2,"*","y","Co"
"134","chr7",3255,3256,2,"*","x","ESC"
"138","chr7",3858,3859,2,"*","x","ESC"
"150","chr7",3255,3256,2,"*","y","ESC"
"154","chr7",3858,3859,2,"*","y","ESC"
"158","chr7",1543,1544,2,"*","x","FC"
"164","chr7",3255,3256,2,"*","x","FC"
"168","chr7",3858,3859,2,"*","x","FC"
"172","chr7",1543,1544,2,"*","y","FC"
"178","chr7",3255,3256,2,"*","y","FC"
"182","chr7",3858,3859,2,"*","y","FC"
"186","chr7",1543,1544,2,"*","x","Hi"
"194","chr7",3255,3256,2,"*","x","Hi"
"198","chr7",3858,3859,2,"*","x","Hi"
"202","chr7",1543,1544,2,"*","y","Hi"
"210","chr7",3255,3256,2,"*","y","Hi"
"214","chr7",3858,3859,2,"*","y","Hi"
"219","chr7",1543,1544,2,"*","x","LC"
"226","chr7",3255,3256,2,"*","x","LC"
"230","chr7",3858,3859,2,"*","x","LC"
"235","chr7",1543,1544,2,"*","y","LC"
"242","chr7",3255,3256,2,"*","y","LC"
"246","chr7",3858,3859,2,"*","y","LC"
"250","chr7",1543,1544,2,"*","x","Li"
"255","chr7",3255,3256,2,"*","x","Li"
"259","chr7",3858,3859,2,"*","x","Li"
"263","chr7",1543,1544,2,"*","y","Li"
"268","chr7",3255,3256,2,"*","y","Li"
"272","chr7",3858,3859,2,"*","y","Li"
"275","chr7",1533,1534,2,"*","x","Lu"
"277","chr7",1543,1544,2,"*","x","Lu"
"281","chr7",1866,1867,2,"*","x","Lu"
"287","chr7",3255,3256,2,"*","x","Lu"
"291","chr7",3858,3859,2,"*","x","Lu"
"294","chr7",1533,1534,2,"*","y","Lu"
"296","chr7",1543,1544,2,"*","y","Lu"
"300","chr7",1866,1867,2,"*","y","Lu"
"306","chr7",3255,3256,2,"*","y","Lu"
"310","chr7",3858,3859,2,"*","y","Lu"
"314","chr7",1543,1544,2,"*","x","LV"
"316","chr7",1869,1870,2,"*","x","LV"
"320","chr7",3255,3256,2,"*","x","LV"
"324","chr7",3858,3859,2,"*","x","LV"
"328","chr7",1543,1544,2,"*","y","LV"
"330","chr7",1869,1870,2,"*","y","LV"
"334","chr7",3255,3256,2,"*","y","LV"
"338","chr7",3858,3859,2,"*","y","LV"
"342","chr7",1543,1544,2,"*","x","MesC"
"349","chr7",3255,3256,2,"*","x","MesC"
"353","chr7",3858,3859,2,"*","x","MesC"
"357","chr7",1543,1544,2,"*","y","MesC"
"364","chr7",3255,3256,2,"*","y","MesC"
"368","chr7",3858,3859,2,"*","y","MesC"
"377","chr7",3255,3256,2,"*","x","MSC"
"381","chr7",3858,3859,2,"*","x","MSC"
"390","chr7",3255,3256,2,"*","y","MSC"
"394","chr7",3858,3859,2,"*","y","MSC"
"401","chr7",1866,1867,2,"*","x","NPC"
"406","chr7",3255,3256,2,"*","x","NPC"
"410","chr7",3858,3859,2,"*","x","NPC"
"417","chr7",1866,1867,2,"*","y","NPC"
"422","chr7",3255,3256,2,"*","y","NPC"
"426","chr7",3858,3859,2,"*","y","NPC"
"430","chr7",1543,1544,2,"*","x","Ov"
"433","chr7",1869,1870,2,"*","x","Ov"
"437","chr7",3255,3256,2,"*","x","Ov"
"441","chr7",3858,3859,2,"*","x","Ov"
"445","chr7",1543,1544,2,"*","y","Ov"
"448","chr7",1869,1870,2,"*","y","Ov"
"452","chr7",3255,3256,2,"*","y","Ov"
"456","chr7",3858,3859,2,"*","y","Ov"
"460","chr7",1543,1544,2,"*","x","Pa"
"468","chr7",3255,3256,2,"*","x","Pa"
"472","chr7",3858,3859,2,"*","x","Pa"
"476","chr7",1543,1544,2,"*","y","Pa"
"484","chr7",3255,3256,2,"*","y","Pa"
"488","chr7",3858,3859,2,"*","y","Pa"
"492","chr7",1543,1544,2,"*","x","PM"
"499","chr7",1874,1875,2,"*","x","PM"
"502","chr7",3255,3256,2,"*","x","PM"
"506","chr7",3858,3859,2,"*","x","PM"
"510","chr7",1543,1544,2,"*","y","PM"
"517","chr7",1874,1875,2,"*","y","PM"
"520","chr7",3255,3256,2,"*","y","PM"
"524","chr7",3858,3859,2,"*","y","PM"
"528","chr7",1543,1544,2,"*","x","RV"
"532","chr7",1869,1870,2,"*","x","RV"
"533","chr7",1874,1875,2,"*","x","RV"
"536","chr7",3255,3256,2,"*","x","RV"
"540","chr7",3858,3859,2,"*","x","RV"
"544","chr7",1543,1544,2,"*","y","RV"
"548","chr7",1869,1870,2,"*","y","RV"
"549","chr7",1874,1875,2,"*","y","RV"
"552","chr7",3255,3256,2,"*","y","RV"
"556","chr7",3858,3859,2,"*","y","RV"
"560","chr7",1543,1544,2,"*","x","SB"
"569","chr7",3255,3256,2,"*","x","SB"
"573","chr7",3858,3859,2,"*","x","SB"
"577","chr7",1543,1544,2,"*","y","SB"
"586","chr7",3255,3256,2,"*","y","SB"
"590","chr7",3858,3859,2,"*","y","SB"
"594","chr7",1543,1544,2,"*","x","Sp"
"601","chr7",3255,3256,2,"*","x","Sp"
"605","chr7",3858,3859,2,"*","x","Sp"
"609","chr7",1543,1544,2,"*","y","Sp"
"616","chr7",3255,3256,2,"*","y","Sp"
"620","chr7",3858,3859,2,"*","y","Sp"
"624","chr7",1543,1544,2,"*","x","TLC"
"631","chr7",3255,3256,2,"*","x","TLC"
"635","chr7",3858,3859,2,"*","x","TLC"
"639","chr7",1543,1544,2,"*","y","TLC"
"646","chr7",3255,3256,2,"*","y","TLC"
"650","chr7",3858,3859,2,"*","y","TLC"
"1","chr7",7,7,1,"*","x","AG"
"3","chr7",1534,1534,1,"*","x","AG"
"5","chr7",1549,1549,1,"*","x","AG"
"6","chr7",1814,1814,1,"*","x","AG"
"7","chr7",1867,1867,1,"*","x","AG"
"9","chr7",1874,1874,1,"*","x","AG"
"10","chr7",1901,1901,1,"*","x","AG"
"11","chr7",2515,2515,1,"*","x","AG"
"13","chr7",3552,3552,1,"*","x","AG"
"14","chr7",3558,3558,1,"*","x","AG"
"15","chr7",3585,3585,1,"*","x","AG"
"17","chr7",7,7,1,"*","y","AG"
"19","chr7",1534,1534,1,"*","y","AG"
"21","chr7",1549,1549,1,"*","y","AG"
"22","chr7",1814,1814,1,"*","y","AG"
"23","chr7",1867,1867,1,"*","y","AG"
"25","chr7",1874,1874,1,"*","y","AG"
"26","chr7",1901,1901,1,"*","y","AG"
"27","chr7",2515,2515,1,"*","y","AG"
"29","chr7",3552,3552,1,"*","y","AG"
"30","chr7",3558,3558,1,"*","y","AG"
"31","chr7",3585,3585,1,"*","y","AG"
"33","chr7",7,7,1,"*","x","Ao"
"35","chr7",1534,1534,1,"*","x","Ao"
"37","chr7",1549,1549,1,"*","x","Ao"
"38","chr7",1869,1869,1,"*","x","Ao"
"39","chr7",1874,1874,1,"*","x","Ao"
"40","chr7",1901,1901,1,"*","x","Ao"
"41","chr7",2515,2515,1,"*","x","Ao"
"43","chr7",3552,3552,1,"*","x","Ao"
"44","chr7",3558,3558,1,"*","x","Ao"
"45","chr7",3585,3585,1,"*","x","Ao"
"47","chr7",7,7,1,"*","y","Ao"
"49","chr7",1534,1534,1,"*","y","Ao"
"51","chr7",1549,1549,1,"*","y","Ao"
"52","chr7",1869,1869,1,"*","y","Ao"
"53","chr7",1874,1874,1,"*","y","Ao"
"54","chr7",1901,1901,1,"*","y","Ao"
"55","chr7",2515,2515,1,"*","y","Ao"
"57","chr7",3552,3552,1,"*","y","Ao"
"58","chr7",3558,3558,1,"*","y","Ao"
"59","chr7",3585,3585,1,"*","y","Ao"
"61","chr7",7,7,1,"*","x","Bl"
"63","chr7",1534,1534,1,"*","x","Bl"
"65","chr7",1549,1549,1,"*","x","Bl"
"66","chr7",1814,1814,1,"*","x","Bl"
"67","chr7",1867,1867,1,"*","x","Bl"
"68","chr7",1869,1869,1,"*","x","Bl"
"70","chr7",1901,1901,1,"*","x","Bl"
"71","chr7",2515,2515,1,"*","x","Bl"
"73","chr7",3552,3552,1,"*","x","Bl"
"74","chr7",3558,3558,1,"*","x","Bl"
"75","chr7",3585,3585,1,"*","x","Bl"
"77","chr7",7,7,1,"*","y","Bl"
"79","chr7",1534,1534,1,"*","y","Bl"
"81","chr7",1549,1549,1,"*","y","Bl"
"82","chr7",1814,1814,1,"*","y","Bl"
"83","chr7",1867,1867,1,"*","y","Bl"
"84","chr7",1869,1869,1,"*","y","Bl"
"86","chr7",1901,1901,1,"*","y","Bl"
"87","chr7",2515,2515,1,"*","y","Bl"
"89","chr7",3552,3552,1,"*","y","Bl"
"90","chr7",3558,3558,1,"*","y","Bl"
"91","chr7",3585,3585,1,"*","y","Bl"
"93","chr7",7,7,1,"*","x","Co"
"95","chr7",1534,1534,1,"*","x","Co"
"97","chr7",1549,1549,1,"*","x","Co"
"98","chr7",1867,1867,1,"*","x","Co"
"100","chr7",1874,1874,1,"*","x","Co"
"101","chr7",1901,1901,1,"*","x","Co"
"102","chr7",2515,2515,1,"*","x","Co"
"104","chr7",3552,3552,1,"*","x","Co"
"105","chr7",3558,3558,1,"*","x","Co"
"106","chr7",3585,3585,1,"*","x","Co"
"108","chr7",7,7,1,"*","y","Co"
"110","chr7",1534,1534,1,"*","y","Co"
"112","chr7",1549,1549,1,"*","y","Co"
"113","chr7",1867,1867,1,"*","y","Co"
"115","chr7",1874,1874,1,"*","y","Co"
"116","chr7",1901,1901,1,"*","y","Co"
"117","chr7",2515,2515,1,"*","y","Co"
"119","chr7",3552,3552,1,"*","y","Co"
"120","chr7",3558,3558,1,"*","y","Co"
"121","chr7",3585,3585,1,"*","y","Co"
"123","chr7",7,7,1,"*","x","ESC"
"125","chr7",1534,1534,1,"*","x","ESC"
"126","chr7",1543,1543,1,"*","x","ESC"
"127","chr7",1549,1549,1,"*","x","ESC"
"128","chr7",1814,1814,1,"*","x","ESC"
"129","chr7",1867,1867,1,"*","x","ESC"
"130","chr7",1869,1869,1,"*","x","ESC"
"131","chr7",1874,1874,1,"*","x","ESC"
"132","chr7",1901,1901,1,"*","x","ESC"
"133","chr7",2515,2515,1,"*","x","ESC"
"135","chr7",3552,3552,1,"*","x","ESC"
"136","chr7",3558,3558,1,"*","x","ESC"
"137","chr7",3585,3585,1,"*","x","ESC"
"139","chr7",7,7,1,"*","y","ESC"
"141","chr7",1534,1534,1,"*","y","ESC"
"142","chr7",1543,1543,1,"*","y","ESC"
"143","chr7",1549,1549,1,"*","y","ESC"
"144","chr7",1814,1814,1,"*","y","ESC"
"145","chr7",1867,1867,1,"*","y","ESC"
"146","chr7",1869,1869,1,"*","y","ESC"
"147","chr7",1874,1874,1,"*","y","ESC"
"148","chr7",1901,1901,1,"*","y","ESC"
"149","chr7",2515,2515,1,"*","y","ESC"
"151","chr7",3552,3552,1,"*","y","ESC"
"152","chr7",3558,3558,1,"*","y","ESC"
"153","chr7",3585,3585,1,"*","y","ESC"
"155","chr7",7,7,1,"*","x","FC"
"157","chr7",1534,1534,1,"*","x","FC"
"159","chr7",1549,1549,1,"*","x","FC"
"161","chr7",1874,1874,1,"*","x","FC"
"162","chr7",1901,1901,1,"*","x","FC"
"163","chr7",2515,2515,1,"*","x","FC"
"165","chr7",3552,3552,1,"*","x","FC"
"166","chr7",3558,3558,1,"*","x","FC"
"167","chr7",3585,3585,1,"*","x","FC"
"169","chr7",7,7,1,"*","y","FC"
"171","chr7",1534,1534,1,"*","y","FC"
"173","chr7",1549,1549,1,"*","y","FC"
"175","chr7",1874,1874,1,"*","y","FC"
"176","chr7",1901,1901,1,"*","y","FC"
"177","chr7",2515,2515,1,"*","y","FC"
"179","chr7",3552,3552,1,"*","y","FC"
"180","chr7",3558,3558,1,"*","y","FC"
"181","chr7",3585,3585,1,"*","y","FC"
"183","chr7",7,7,1,"*","x","Hi"
"185","chr7",1534,1534,1,"*","x","Hi"
"187","chr7",1549,1549,1,"*","x","Hi"
"188","chr7",1814,1814,1,"*","x","Hi"
"189","chr7",1867,1867,1,"*","x","Hi"
"190","chr7",1869,1869,1,"*","x","Hi"
"191","chr7",1871,1871,1,"*","x","Hi"
"192","chr7",1874,1874,1,"*","x","Hi"
"193","chr7",2515,2515,1,"*","x","Hi"
"195","chr7",3552,3552,1,"*","x","Hi"
"196","chr7",3558,3558,1,"*","x","Hi"
"197","chr7",3585,3585,1,"*","x","Hi"
"199","chr7",7,7,1,"*","y","Hi"
"201","chr7",1534,1534,1,"*","y","Hi"
"203","chr7",1549,1549,1,"*","y","Hi"
"204","chr7",1814,1814,1,"*","y","Hi"
"205","chr7",1867,1867,1,"*","y","Hi"
"206","chr7",1869,1869,1,"*","y","Hi"
"207","chr7",1871,1871,1,"*","y","Hi"
"208","chr7",1874,1874,1,"*","y","Hi"
"209","chr7",2515,2515,1,"*","y","Hi"
"211","chr7",3552,3552,1,"*","y","Hi"
"212","chr7",3558,3558,1,"*","y","Hi"
"213","chr7",3585,3585,1,"*","y","Hi"
"215","chr7",7,7,1,"*","x","LC"
"217","chr7",1529,1529,1,"*","x","LC"
"218","chr7",1534,1534,1,"*","x","LC"
"220","chr7",1549,1549,1,"*","x","LC"
"221","chr7",1626,1626,1,"*","x","LC"
"222","chr7",1869,1869,1,"*","x","LC"
"223","chr7",1874,1874,1,"*","x","LC"
"224","chr7",1901,1901,1,"*","x","LC"
"225","chr7",2515,2515,1,"*","x","LC"
"227","chr7",3552,3552,1,"*","x","LC"
"228","chr7",3558,3558,1,"*","x","LC"
"229","chr7",3585,3585,1,"*","x","LC"
"231","chr7",7,7,1,"*","y","LC"
"233","chr7",1529,1529,1,"*","y","LC"
"234","chr7",1534,1534,1,"*","y","LC"
"236","chr7",1549,1549,1,"*","y","LC"
"237","chr7",1626,1626,1,"*","y","LC"
"238","chr7",1869,1869,1,"*","y","LC"
"239","chr7",1874,1874,1,"*","y","LC"
"240","chr7",1901,1901,1,"*","y","LC"
"241","chr7",2515,2515,1,"*","y","LC"
"243","chr7",3552,3552,1,"*","y","LC"
"244","chr7",3558,3558,1,"*","y","LC"
"245","chr7",3585,3585,1,"*","y","LC"
"247","chr7",7,7,1,"*","x","Li"
"249","chr7",1534,1534,1,"*","x","Li"
"251","chr7",1549,1549,1,"*","x","Li"
"252","chr7",1867,1867,1,"*","x","Li"
"253","chr7",1869,1869,1,"*","x","Li"
"254","chr7",2515,2515,1,"*","x","Li"
"256","chr7",3552,3552,1,"*","x","Li"
"257","chr7",3558,3558,1,"*","x","Li"
"258","chr7",3585,3585,1,"*","x","Li"
"260","chr7",7,7,1,"*","y","Li"
"262","chr7",1534,1534,1,"*","y","Li"
"264","chr7",1549,1549,1,"*","y","Li"
"265","chr7",1867,1867,1,"*","y","Li"
"266","chr7",1869,1869,1,"*","y","Li"
"267","chr7",2515,2515,1,"*","y","Li"
"269","chr7",3552,3552,1,"*","y","Li"
"270","chr7",3558,3558,1,"*","y","Li"
"271","chr7",3585,3585,1,"*","y","Li"
"273","chr7",7,7,1,"*","x","Lu"
"276","chr7",1541,1541,1,"*","x","Lu"
"278","chr7",1549,1549,1,"*","x","Lu"
"279","chr7",1626,1626,1,"*","x","Lu"
"280","chr7",1814,1814,1,"*","x","Lu"
"282","chr7",1869,1869,1,"*","x","Lu"
"283","chr7",1871,1871,1,"*","x","Lu"
"284","chr7",1874,1874,1,"*","x","Lu"
"285","chr7",1901,1901,1,"*","x","Lu"
"286","chr7",2515,2515,1,"*","x","Lu"
"288","chr7",3552,3552,1,"*","x","Lu"
"289","chr7",3558,3558,1,"*","x","Lu"
"290","chr7",3585,3585,1,"*","x","Lu"
"292","chr7",7,7,1,"*","y","Lu"
