"","seqnames","start","end","width","strand","axis","ct"
"1","chr14",1,475,475,"*","x","AG"
"3","chr14",1,475,475,"*","y","AG"
"5","chr14",1,475,475,"*","x","Ao"
"7","chr14",1,475,475,"*","y","Ao"
"9","chr14",1,475,475,"*","x","Bl"
"11","chr14",1,475,475,"*","y","Bl"
"13","chr14",1,475,475,"*","x","Co"
"15","chr14",1,475,475,"*","y","Co"
"17","chr14",1,475,475,"*","x","ESC"
"19","chr14",1,475,475,"*","y","ESC"
"21","chr14",1,475,475,"*","x","FC"
"23","chr14",1,475,475,"*","y","FC"
"25","chr14",1,475,475,"*","x","Hi"
"27","chr14",1,475,475,"*","y","Hi"
"29","chr14",1,475,475,"*","x","LC"
"31","chr14",1,475,475,"*","y","LC"
"33","chr14",1,475,475,"*","x","Li"
"35","chr14",1,475,475,"*","y","Li"
"37","chr14",1,475,475,"*","x","Lu"
"40","chr14",1,475,475,"*","y","Lu"
"43","chr14",1,475,475,"*","x","LV"
"45","chr14",1,475,475,"*","y","LV"
"47","chr14",1,475,475,"*","x","MesC"
"49","chr14",1,475,475,"*","y","MesC"
"51","chr14",1,475,475,"*","x","MSC"
"53","chr14",1,475,475,"*","y","MSC"
"55","chr14",1,475,475,"*","x","NPC"
"57","chr14",1,475,475,"*","y","NPC"
"59","chr14",1,475,475,"*","x","Ov"
"61","chr14",1,475,475,"*","y","Ov"
"63","chr14",1,475,475,"*","x","Pa"
"65","chr14",1,475,475,"*","y","Pa"
"67","chr14",1,475,475,"*","x","PM"
"69","chr14",1,475,475,"*","y","PM"
"71","chr14",1,475,475,"*","x","RV"
"73","chr14",1,475,475,"*","y","RV"
"75","chr14",1,475,475,"*","x","SB"
"77","chr14",1,475,475,"*","y","SB"
"79","chr14",1,475,475,"*","x","Sp"
"81","chr14",1,475,475,"*","y","Sp"
"83","chr14",1,475,475,"*","x","TLC"
"85","chr14",1,475,475,"*","y","TLC"
"2","chr14",2684,2684,1,"*","x","AG"
"4","chr14",2684,2684,1,"*","y","AG"
"6","chr14",2684,2684,1,"*","x","Ao"
"8","chr14",2684,2684,1,"*","y","Ao"
"10","chr14",2684,2684,1,"*","x","Bl"
"12","chr14",2684,2684,1,"*","y","Bl"
"14","chr14",2684,2684,1,"*","x","Co"
"16","chr14",2684,2684,1,"*","y","Co"
"18","chr14",2684,2684,1,"*","x","ESC"
"20","chr14",2684,2684,1,"*","y","ESC"
"22","chr14",2684,2684,1,"*","x","FC"
"24","chr14",2684,2684,1,"*","y","FC"
"26","chr14",2684,2684,1,"*","x","Hi"
"28","chr14",2684,2684,1,"*","y","Hi"
"30","chr14",2684,2684,1,"*","x","LC"
"32","chr14",2684,2684,1,"*","y","LC"
"34","chr14",2684,2684,1,"*","x","Li"
"36","chr14",2684,2684,1,"*","y","Li"
"38","chr14",483,483,1,"*","x","Lu"
"39","chr14",2684,2684,1,"*","x","Lu"
"41","chr14",483,483,1,"*","y","Lu"
"42","chr14",2684,2684,1,"*","y","Lu"
"44","chr14",2684,2684,1,"*","x","LV"
"46","chr14",2684,2684,1,"*","y","LV"
"48","chr14",2684,2684,1,"*","x","MesC"
"50","chr14",2684,2684,1,"*","y","MesC"
"52","chr14",2684,2684,1,"*","x","MSC"
"54","chr14",2684,2684,1,"*","y","MSC"
"56","chr14",2684,2684,1,"*","x","NPC"
"58","chr14",2684,2684,1,"*","y","NPC"
"60","chr14",2684,2684,1,"*","x","Ov"
"62","chr14",2684,2684,1,"*","y","Ov"
"64","chr14",2684,2684,1,"*","x","Pa"
"66","chr14",2684,2684,1,"*","y","Pa"
"68","chr14",2684,2684,1,"*","x","PM"
"70","chr14",2684,2684,1,"*","y","PM"
"72","chr14",2684,2684,1,"*","x","RV"
"74","chr14",2684,2684,1,"*","y","RV"
"76","chr14",2684,2684,1,"*","x","SB"
"78","chr14",2684,2684,1,"*","y","SB"
"80","chr14",2684,2684,1,"*","x","Sp"
"82","chr14",2684,2684,1,"*","y","Sp"
"84","chr14",2684,2684,1,"*","x","TLC"
"86","chr14",2684,2684,1,"*","y","TLC"
