"","seqnames","start","end","width","strand","axis","ct"
"1","chr18",387,462,76,"*","x","AG"
"4","chr18",387,462,76,"*","y","AG"
"7","chr18",387,462,76,"*","x","Ao"
"10","chr18",387,462,76,"*","y","Ao"
"13","chr18",387,462,76,"*","x","Bl"
"16","chr18",387,462,76,"*","y","Bl"
"19","chr18",387,462,76,"*","x","Co"
"22","chr18",387,462,76,"*","y","Co"
"25","chr18",387,462,76,"*","x","ESC"
"28","chr18",387,462,76,"*","y","ESC"
"31","chr18",387,462,76,"*","x","FC"
"34","chr18",387,462,76,"*","y","FC"
"37","chr18",387,462,76,"*","x","Hi"
"40","chr18",387,462,76,"*","y","Hi"
"43","chr18",387,462,76,"*","x","LC"
"46","chr18",387,462,76,"*","y","LC"
"49","chr18",387,462,76,"*","x","Li"
"52","chr18",387,462,76,"*","y","Li"
"55","chr18",387,462,76,"*","x","Lu"
"58","chr18",387,462,76,"*","y","Lu"
"61","chr18",387,462,76,"*","x","LV"
"64","chr18",387,462,76,"*","y","LV"
"67","chr18",387,462,76,"*","x","MesC"
"70","chr18",387,462,76,"*","y","MesC"
"73","chr18",387,462,76,"*","x","MSC"
"76","chr18",387,462,76,"*","y","MSC"
"79","chr18",387,462,76,"*","x","NPC"
"82","chr18",387,462,76,"*","y","NPC"
"85","chr18",387,462,76,"*","x","Ov"
"88","chr18",387,462,76,"*","y","Ov"
"91","chr18",387,462,76,"*","x","Pa"
"94","chr18",387,462,76,"*","y","Pa"
"97","chr18",387,462,76,"*","x","PM"
"100","chr18",387,462,76,"*","y","PM"
"103","chr18",387,462,76,"*","x","RV"
"106","chr18",387,462,76,"*","y","RV"
"109","chr18",387,462,76,"*","x","SB"
"112","chr18",387,462,76,"*","y","SB"
"115","chr18",387,462,76,"*","x","Sp"
"118","chr18",387,462,76,"*","y","Sp"
"121","chr18",387,462,76,"*","x","TLC"
"124","chr18",387,462,76,"*","y","TLC"
"2","chr18",1303,1305,3,"*","x","AG"
"5","chr18",1303,1305,3,"*","y","AG"
"8","chr18",1303,1305,3,"*","x","Ao"
"11","chr18",1303,1305,3,"*","y","Ao"
"14","chr18",1303,1305,3,"*","x","Bl"
"17","chr18",1303,1305,3,"*","y","Bl"
"20","chr18",1303,1305,3,"*","x","Co"
"23","chr18",1303,1305,3,"*","y","Co"
"26","chr18",1303,1305,3,"*","x","ESC"
"29","chr18",1303,1305,3,"*","y","ESC"
"32","chr18",1303,1305,3,"*","x","FC"
"35","chr18",1303,1305,3,"*","y","FC"
"38","chr18",1303,1305,3,"*","x","Hi"
"41","chr18",1303,1305,3,"*","y","Hi"
"44","chr18",1303,1305,3,"*","x","LC"
"47","chr18",1303,1305,3,"*","y","LC"
"50","chr18",1303,1305,3,"*","x","Li"
"53","chr18",1303,1305,3,"*","y","Li"
"56","chr18",1303,1305,3,"*","x","Lu"
"59","chr18",1303,1305,3,"*","y","Lu"
"62","chr18",1303,1305,3,"*","x","LV"
"65","chr18",1303,1305,3,"*","y","LV"
"68","chr18",1303,1305,3,"*","x","MesC"
"71","chr18",1303,1305,3,"*","y","MesC"
"74","chr18",1303,1305,3,"*","x","MSC"
"77","chr18",1303,1305,3,"*","y","MSC"
"80","chr18",1303,1305,3,"*","x","NPC"
"83","chr18",1303,1305,3,"*","y","NPC"
"86","chr18",1303,1305,3,"*","x","Ov"
"89","chr18",1303,1305,3,"*","y","Ov"
"92","chr18",1303,1305,3,"*","x","Pa"
"95","chr18",1303,1305,3,"*","y","Pa"
"98","chr18",1303,1305,3,"*","x","PM"
"101","chr18",1303,1305,3,"*","y","PM"
"104","chr18",1303,1305,3,"*","x","RV"
"107","chr18",1303,1305,3,"*","y","RV"
