"","seqnames","start","end","width","strand","axis","ct"
"2","chr5",1162,1236,75,"*","x","AG"
"13","chr5",1162,1236,75,"*","y","AG"
"24","chr5",1162,1236,75,"*","x","Ao"
"32","chr5",1162,1236,75,"*","y","Ao"
"40","chr5",1162,1236,75,"*","x","Bl"
"50","chr5",1162,1236,75,"*","y","Bl"
"60","chr5",1162,1236,75,"*","x","Co"
"68","chr5",1162,1236,75,"*","y","Co"
"76","chr5",1162,1236,75,"*","x","ESC"
"85","chr5",1162,1236,75,"*","y","ESC"
"94","chr5",1162,1236,75,"*","x","FC"
"101","chr5",1162,1236,75,"*","y","FC"
"108","chr5",1162,1236,75,"*","x","Hi"
"116","chr5",1162,1236,75,"*","y","Hi"
"124","chr5",1162,1236,75,"*","x","LC"
"131","chr5",1162,1236,75,"*","y","LC"
"138","chr5",1162,1236,75,"*","x","Li"
"145","chr5",1162,1236,75,"*","y","Li"
"152","chr5",1162,1236,75,"*","x","Lu"
"166","chr5",1162,1236,75,"*","y","Lu"
"180","chr5",1162,1236,75,"*","x","LV"
"190","chr5",1162,1236,75,"*","y","LV"
"200","chr5",1162,1236,75,"*","x","MesC"
"210","chr5",1162,1236,75,"*","y","MesC"
"220","chr5",1162,1236,75,"*","x","MSC"
"229","chr5",1162,1236,75,"*","y","MSC"
"238","chr5",1162,1236,75,"*","x","NPC"
"246","chr5",1162,1236,75,"*","y","NPC"
"254","chr5",1162,1236,75,"*","x","Ov"
"264","chr5",1162,1236,75,"*","y","Ov"
"274","chr5",1162,1236,75,"*","x","Pa"
"286","chr5",1162,1236,75,"*","y","Pa"
"298","chr5",1162,1236,75,"*","x","PM"
"311","chr5",1162,1236,75,"*","y","PM"
"324","chr5",1162,1236,75,"*","x","RV"
"333","chr5",1162,1236,75,"*","y","RV"
"342","chr5",1162,1236,75,"*","x","SB"
"354","chr5",1162,1236,75,"*","y","SB"
"366","chr5",1162,1236,75,"*","x","Sp"
"375","chr5",1162,1236,75,"*","y","Sp"
"384","chr5",1162,1236,75,"*","x","TLC"
"395","chr5",1162,1236,75,"*","y","TLC"
"11","chr5",4520,4523,4,"*","x","AG"
"22","chr5",4520,4523,4,"*","y","AG"
"30","chr5",4520,4523,4,"*","x","Ao"
"38","chr5",4520,4523,4,"*","y","Ao"
"164","chr5",4520,4523,4,"*","x","Lu"
"178","chr5",4520,4523,4,"*","y","Lu"
"259","chr5",1745,1748,4,"*","x","Ov"
"262","chr5",4520,4523,4,"*","x","Ov"
"269","chr5",1745,1748,4,"*","y","Ov"
"272","chr5",4520,4523,4,"*","y","Ov"
"280","chr5",1745,1748,4,"*","x","Pa"
"284","chr5",4520,4523,4,"*","x","Pa"
"292","chr5",1745,1748,4,"*","y","Pa"
"296","chr5",4520,4523,4,"*","y","Pa"
"309","chr5",4520,4523,4,"*","x","PM"
"322","chr5",4520,4523,4,"*","y","PM"
"346","chr5",1737,1740,4,"*","x","SB"
"348","chr5",1745,1748,4,"*","x","SB"
"358","chr5",1737,1740,4,"*","y","SB"
"360","chr5",1745,1748,4,"*","y","SB"
"3","chr5",1725,1727,3,"*","x","AG"
"14","chr5",1725,1727,3,"*","y","AG"
"48","chr5",4521,4523,3,"*","x","Bl"
"58","chr5",4521,4523,3,"*","y","Bl"
"63","chr5",1738,1740,3,"*","x","Co"
"66","chr5",4521,4523,3,"*","x","Co"
"71","chr5",1738,1740,3,"*","y","Co"
"74","chr5",4521,4523,3,"*","y","Co"
"80","chr5",1746,1748,3,"*","x","ESC"
"83","chr5",4521,4523,3,"*","x","ESC"
"89","chr5",1746,1748,3,"*","y","ESC"
"92","chr5",4521,4523,3,"*","y","ESC"
"99","chr5",4521,4523,3,"*","x","FC"
"106","chr5",4521,4523,3,"*","y","FC"
"114","chr5",4521,4523,3,"*","x","Hi"
"122","chr5",4521,4523,3,"*","y","Hi"
"188","chr5",4521,4523,3,"*","x","LV"
"198","chr5",4521,4523,3,"*","y","LV"
"201","chr5",1725,1727,3,"*","x","MesC"
"205","chr5",1746,1748,3,"*","x","MesC"
"208","chr5",4521,4523,3,"*","x","MesC"
"211","chr5",1725,1727,3,"*","y","MesC"
"215","chr5",1746,1748,3,"*","y","MesC"
"218","chr5",4521,4523,3,"*","y","MesC"
"221","chr5",1725,1727,3,"*","x","MSC"
"227","chr5",4521,4523,3,"*","x","MSC"
"230","chr5",1725,1727,3,"*","y","MSC"
"236","chr5",4521,4523,3,"*","y","MSC"
"239","chr5",1725,1727,3,"*","x","NPC"
"241","chr5",1738,1740,3,"*","x","NPC"
"242","chr5",1746,1748,3,"*","x","NPC"
"244","chr5",4521,4523,3,"*","x","NPC"
"247","chr5",1725,1727,3,"*","y","NPC"
"249","chr5",1738,1740,3,"*","y","NPC"
"250","chr5",1746,1748,3,"*","y","NPC"
"252","chr5",4521,4523,3,"*","y","NPC"
"255","chr5",1725,1727,3,"*","x","Ov"
"265","chr5",1725,1727,3,"*","y","Ov"
"275","chr5",1725,1727,3,"*","x","Pa"
"278","chr5",1737,1739,3,"*","x","Pa"
"287","chr5",1725,1727,3,"*","y","Pa"
"290","chr5",1737,1739,3,"*","y","Pa"
"303","chr5",1738,1740,3,"*","x","PM"
"316","chr5",1738,1740,3,"*","y","PM"
"329","chr5",1746,1748,3,"*","x","RV"
"338","chr5",1746,1748,3,"*","y","RV"
"343","chr5",1725,1727,3,"*","x","SB"
"352","chr5",4521,4523,3,"*","x","SB"
"355","chr5",1725,1727,3,"*","y","SB"
"364","chr5",4521,4523,3,"*","y","SB"
"373","chr5",4521,4523,3,"*","x","Sp"
"382","chr5",4521,4523,3,"*","y","Sp"
"385","chr5",1725,1727,3,"*","x","TLC"
"389","chr5",1746,1748,3,"*","x","TLC"
"393","chr5",4521,4523,3,"*","x","TLC"
"396","chr5",1725,1727,3,"*","y","TLC"
"400","chr5",1746,1748,3,"*","y","TLC"
"404","chr5",4521,4523,3,"*","y","TLC"
"1","chr5",439,440,2,"*","x","AG"
"7","chr5",1745,1746,2,"*","x","AG"
"12","chr5",439,440,2,"*","y","AG"
"18","chr5",1745,1746,2,"*","y","AG"
"23","chr5",439,440,2,"*","x","Ao"
"25","chr5",1729,1730,2,"*","x","Ao"
"26","chr5",1738,1739,2,"*","x","Ao"
"31","chr5",439,440,2,"*","y","Ao"
"33","chr5",1729,1730,2,"*","y","Ao"
"34","chr5",1738,1739,2,"*","y","Ao"
"39","chr5",439,440,2,"*","x","Bl"
"41","chr5",1725,1726,2,"*","x","Bl"
"44","chr5",1739,1740,2,"*","x","Bl"
"49","chr5",439,440,2,"*","y","Bl"
"51","chr5",1725,1726,2,"*","y","Bl"
"54","chr5",1739,1740,2,"*","y","Bl"
"59","chr5",439,440,2,"*","x","Co"
"67","chr5",439,440,2,"*","y","Co"
"75","chr5",439,440,2,"*","x","ESC"
"77","chr5",1725,1726,2,"*","x","ESC"
"78","chr5",1729,1730,2,"*","x","ESC"
"79","chr5",1739,1740,2,"*","x","ESC"
"84","chr5",439,440,2,"*","y","ESC"
"86","chr5",1725,1726,2,"*","y","ESC"
"87","chr5",1729,1730,2,"*","y","ESC"
"88","chr5",1739,1740,2,"*","y","ESC"
"93","chr5",439,440,2,"*","x","FC"
"100","chr5",439,440,2,"*","y","FC"
"107","chr5",439,440,2,"*","x","Hi"
"111","chr5",1738,1739,2,"*","x","Hi"
"112","chr5",1745,1746,2,"*","x","Hi"
"115","chr5",439,440,2,"*","y","Hi"
"119","chr5",1738,1739,2,"*","y","Hi"
"120","chr5",1745,1746,2,"*","y","Hi"
"123","chr5",439,440,2,"*","x","LC"
"129","chr5",4522,4523,2,"*","x","LC"
"130","chr5",439,440,2,"*","y","LC"
"136","chr5",4522,4523,2,"*","y","LC"
"137","chr5",439,440,2,"*","x","Li"
"140","chr5",1738,1739,2,"*","x","Li"
"143","chr5",4521,4522,2,"*","x","Li"
"144","chr5",439,440,2,"*","y","Li"
"147","chr5",1738,1739,2,"*","y","Li"
"150","chr5",4521,4522,2,"*","y","Li"
"151","chr5",439,440,2,"*","x","Lu"
"153","chr5",1725,1726,2,"*","x","Lu"
"154","chr5",1729,1730,2,"*","x","Lu"
"159","chr5",1745,1746,2,"*","x","Lu"
"161","chr5",1751,1752,2,"*","x","Lu"
"165","chr5",439,440,2,"*","y","Lu"
"167","chr5",1725,1726,2,"*","y","Lu"
"168","chr5",1729,1730,2,"*","y","Lu"
"173","chr5",1745,1746,2,"*","y","Lu"
"175","chr5",1751,1752,2,"*","y","Lu"
"179","chr5",439,440,2,"*","x","LV"
"183","chr5",1738,1739,2,"*","x","LV"
"189","chr5",439,440,2,"*","y","LV"
"193","chr5",1738,1739,2,"*","y","LV"
"199","chr5",439,440,2,"*","x","MesC"
"202","chr5",1729,1730,2,"*","x","MesC"
"209","chr5",439,440,2,"*","y","MesC"
"212","chr5",1729,1730,2,"*","y","MesC"
"219","chr5",439,440,2,"*","x","MSC"
"224","chr5",1746,1747,2,"*","x","MSC"
"228","chr5",439,440,2,"*","y","MSC"
"233","chr5",1746,1747,2,"*","y","MSC"
"237","chr5",439,440,2,"*","x","NPC"
"245","chr5",439,440,2,"*","y","NPC"
"253","chr5",439,440,2,"*","x","Ov"
"256","chr5",1729,1730,2,"*","x","Ov"
"263","chr5",439,440,2,"*","y","Ov"
"266","chr5",1729,1730,2,"*","y","Ov"
"273","chr5",439,440,2,"*","x","Pa"
"276","chr5",1729,1730,2,"*","x","Pa"
"279","chr5",1742,1743,2,"*","x","Pa"
"285","chr5",439,440,2,"*","y","Pa"
"288","chr5",1729,1730,2,"*","y","Pa"
"291","chr5",1742,1743,2,"*","y","Pa"
"297","chr5",439,440,2,"*","x","PM"
"310","chr5",439,440,2,"*","y","PM"
"323","chr5",439,440,2,"*","x","RV"
"332","chr5",439,440,2,"*","y","RV"
"341","chr5",439,440,2,"*","x","SB"
"349","chr5",1750,1751,2,"*","x","SB"
"353","chr5",439,440,2,"*","y","SB"
"361","chr5",1750,1751,2,"*","y","SB"
"365","chr5",439,440,2,"*","x","Sp"
"367","chr5",1725,1726,2,"*","x","Sp"
"369","chr5",1738,1739,2,"*","x","Sp"
"370","chr5",1742,1743,2,"*","x","Sp"
"374","chr5",439,440,2,"*","y","Sp"
"376","chr5",1725,1726,2,"*","y","Sp"
"378","chr5",1738,1739,2,"*","y","Sp"
"379","chr5",1742,1743,2,"*","y","Sp"
"383","chr5",439,440,2,"*","x","TLC"
"386","chr5",1729,1730,2,"*","x","TLC"
"394","chr5",439,440,2,"*","y","TLC"
"397","chr5",1729,1730,2,"*","y","TLC"
"4","chr5",1730,1730,1,"*","x","AG"
"5","chr5",1739,1739,1,"*","x","AG"
"6","chr5",1742,1742,1,"*","x","AG"
"8","chr5",1748,1748,1,"*","x","AG"
"9","chr5",1764,1764,1,"*","x","AG"
"10","chr5",2292,2292,1,"*","x","AG"
"15","chr5",1730,1730,1,"*","y","AG"
"16","chr5",1739,1739,1,"*","y","AG"
"17","chr5",1742,1742,1,"*","y","AG"
"19","chr5",1748,1748,1,"*","y","AG"
"20","chr5",1764,1764,1,"*","y","AG"
"21","chr5",2292,2292,1,"*","y","AG"
"27","chr5",1746,1746,1,"*","x","Ao"
"28","chr5",1748,1748,1,"*","x","Ao"
"29","chr5",2292,2292,1,"*","x","Ao"
"35","chr5",1746,1746,1,"*","y","Ao"
"36","chr5",1748,1748,1,"*","y","Ao"
"37","chr5",2292,2292,1,"*","y","Ao"
"42","chr5",1730,1730,1,"*","x","Bl"
"43","chr5",1732,1732,1,"*","x","Bl"
"45","chr5",1748,1748,1,"*","x","Bl"
"46","chr5",1764,1764,1,"*","x","Bl"
"47","chr5",2292,2292,1,"*","x","Bl"
"52","chr5",1730,1730,1,"*","y","Bl"
"53","chr5",1732,1732,1,"*","y","Bl"
"55","chr5",1748,1748,1,"*","y","Bl"
"56","chr5",1764,1764,1,"*","y","Bl"
"57","chr5",2292,2292,1,"*","y","Bl"
"61","chr5",1725,1725,1,"*","x","Co"
"62","chr5",1730,1730,1,"*","x","Co"
"64","chr5",1745,1745,1,"*","x","Co"
"65","chr5",2292,2292,1,"*","x","Co"
"69","chr5",1725,1725,1,"*","y","Co"
"70","chr5",1730,1730,1,"*","y","Co"
"72","chr5",1745,1745,1,"*","y","Co"
"73","chr5",2292,2292,1,"*","y","Co"
"81","chr5",1764,1764,1,"*","x","ESC"
"82","chr5",2292,2292,1,"*","x","ESC"
"90","chr5",1764,1764,1,"*","y","ESC"
"91","chr5",2292,2292,1,"*","y","ESC"
"95","chr5",1725,1725,1,"*","x","FC"
"96","chr5",1730,1730,1,"*","x","FC"
"97","chr5",1739,1739,1,"*","x","FC"
"98","chr5",2292,2292,1,"*","x","FC"
"102","chr5",1725,1725,1,"*","y","FC"
"103","chr5",1730,1730,1,"*","y","FC"
"104","chr5",1739,1739,1,"*","y","FC"
"105","chr5",2292,2292,1,"*","y","FC"
"109","chr5",1725,1725,1,"*","x","Hi"
"110","chr5",1730,1730,1,"*","x","Hi"
"113","chr5",2292,2292,1,"*","x","Hi"
"117","chr5",1725,1725,1,"*","y","Hi"
"118","chr5",1730,1730,1,"*","y","Hi"
"121","chr5",2292,2292,1,"*","y","Hi"
"125","chr5",1730,1730,1,"*","x","LC"
"126","chr5",1732,1732,1,"*","x","LC"
"127","chr5",1739,1739,1,"*","x","LC"
"128","chr5",2292,2292,1,"*","x","LC"
"132","chr5",1730,1730,1,"*","y","LC"
"133","chr5",1732,1732,1,"*","y","LC"
"134","chr5",1739,1739,1,"*","y","LC"
"135","chr5",2292,2292,1,"*","y","LC"
"139","chr5",1730,1730,1,"*","x","Li"
"141","chr5",1748,1748,1,"*","x","Li"
"142","chr5",2292,2292,1,"*","x","Li"
"146","chr5",1730,1730,1,"*","y","Li"
"148","chr5",1748,1748,1,"*","y","Li"
"149","chr5",2292,2292,1,"*","y","Li"
"155","chr5",1732,1732,1,"*","x","Lu"
"156","chr5",1736,1736,1,"*","x","Lu"
"157","chr5",1739,1739,1,"*","x","Lu"
"158","chr5",1742,1742,1,"*","x","Lu"
"160","chr5",1748,1748,1,"*","x","Lu"
"162","chr5",1764,1764,1,"*","x","Lu"
"163","chr5",2292,2292,1,"*","x","Lu"
"169","chr5",1732,1732,1,"*","y","Lu"
"170","chr5",1736,1736,1,"*","y","Lu"
"171","chr5",1739,1739,1,"*","y","Lu"
"172","chr5",1742,1742,1,"*","y","Lu"
"174","chr5",1748,1748,1,"*","y","Lu"
"176","chr5",1764,1764,1,"*","y","Lu"
"177","chr5",2292,2292,1,"*","y","Lu"
"181","chr5",1726,1726,1,"*","x","LV"
"182","chr5",1730,1730,1,"*","x","LV"
"184","chr5",1743,1743,1,"*","x","LV"
"185","chr5",1746,1746,1,"*","x","LV"
"186","chr5",1748,1748,1,"*","x","LV"
"187","chr5",2292,2292,1,"*","x","LV"
"191","chr5",1726,1726,1,"*","y","LV"
"192","chr5",1730,1730,1,"*","y","LV"
"194","chr5",1743,1743,1,"*","y","LV"
"195","chr5",1746,1746,1,"*","y","LV"
"196","chr5",1748,1748,1,"*","y","LV"
"197","chr5",2292,2292,1,"*","y","LV"
"203","chr5",1739,1739,1,"*","x","MesC"
"204","chr5",1742,1742,1,"*","x","MesC"
"206","chr5",1764,1764,1,"*","x","MesC"
"207","chr5",2292,2292,1,"*","x","MesC"
"213","chr5",1739,1739,1,"*","y","MesC"
"214","chr5",1742,1742,1,"*","y","MesC"
"216","chr5",1764,1764,1,"*","y","MesC"
"217","chr5",2292,2292,1,"*","y","MesC"
"222","chr5",1730,1730,1,"*","x","MSC"
"223","chr5",1739,1739,1,"*","x","MSC"
"225","chr5",1764,1764,1,"*","x","MSC"
"226","chr5",2292,2292,1,"*","x","MSC"
"231","chr5",1730,1730,1,"*","y","MSC"
"232","chr5",1739,1739,1,"*","y","MSC"
"234","chr5",1764,1764,1,"*","y","MSC"
"235","chr5",2292,2292,1,"*","y","MSC"
"240","chr5",1730,1730,1,"*","x","NPC"
"243","chr5",2292,2292,1,"*","x","NPC"
"248","chr5",1730,1730,1,"*","y","NPC"
"251","chr5",2292,2292,1,"*","y","NPC"
"257","chr5",1739,1739,1,"*","x","Ov"
"258","chr5",1742,1742,1,"*","x","Ov"
"260","chr5",1764,1764,1,"*","x","Ov"
"261","chr5",2292,2292,1,"*","x","Ov"
"267","chr5",1739,1739,1,"*","y","Ov"
"268","chr5",1742,1742,1,"*","y","Ov"
"270","chr5",1764,1764,1,"*","y","Ov"
"271","chr5",2292,2292,1,"*","y","Ov"
"277","chr5",1732,1732,1,"*","x","Pa"
"281","chr5",1751,1751,1,"*","x","Pa"
"282","chr5",1764,1764,1,"*","x","Pa"
"283","chr5",2292,2292,1,"*","x","Pa"
"289","chr5",1732,1732,1,"*","y","Pa"
"293","chr5",1751,1751,1,"*","y","Pa"
"294","chr5",1764,1764,1,"*","y","Pa"
"295","chr5",2292,2292,1,"*","y","Pa"
"299","chr5",1725,1725,1,"*","x","PM"
"300","chr5",1727,1727,1,"*","x","PM"
"301","chr5",1730,1730,1,"*","x","PM"
"302","chr5",1732,1732,1,"*","x","PM"
"304","chr5",1742,1742,1,"*","x","PM"
"305","chr5",1746,1746,1,"*","x","PM"
"306","chr5",1748,1748,1,"*","x","PM"
"307","chr5",1764,1764,1,"*","x","PM"
"308","chr5",2292,2292,1,"*","x","PM"
"312","chr5",1725,1725,1,"*","y","PM"
"313","chr5",1727,1727,1,"*","y","PM"
"314","chr5",1730,1730,1,"*","y","PM"
"315","chr5",1732,1732,1,"*","y","PM"
"317","chr5",1742,1742,1,"*","y","PM"
"318","chr5",1746,1746,1,"*","y","PM"
"319","chr5",1748,1748,1,"*","y","PM"
"320","chr5",1764,1764,1,"*","y","PM"
"321","chr5",2292,2292,1,"*","y","PM"
"325","chr5",1726,1726,1,"*","x","RV"
"326","chr5",1730,1730,1,"*","x","RV"
"327","chr5",1732,1732,1,"*","x","RV"
"328","chr5",1739,1739,1,"*","x","RV"
"330","chr5",2292,2292,1,"*","x","RV"
"331","chr5",4522,4522,1,"*","x","RV"
"334","chr5",1726,1726,1,"*","y","RV"
"335","chr5",1730,1730,1,"*","y","RV"
"336","chr5",1732,1732,1,"*","y","RV"
"337","chr5",1739,1739,1,"*","y","RV"
"339","chr5",2292,2292,1,"*","y","RV"
"340","chr5",4522,4522,1,"*","y","RV"
"344","chr5",1730,1730,1,"*","x","SB"
"345","chr5",1732,1732,1,"*","x","SB"
"347","chr5",1742,1742,1,"*","x","SB"
"350","chr5",1764,1764,1,"*","x","SB"
"351","chr5",2292,2292,1,"*","x","SB"
"356","chr5",1730,1730,1,"*","y","SB"
"357","chr5",1732,1732,1,"*","y","SB"
"359","chr5",1742,1742,1,"*","y","SB"
"362","chr5",1764,1764,1,"*","y","SB"
"363","chr5",2292,2292,1,"*","y","SB"
"368","chr5",1730,1730,1,"*","x","Sp"
"371","chr5",1748,1748,1,"*","x","Sp"
"372","chr5",2292,2292,1,"*","x","Sp"
"377","chr5",1730,1730,1,"*","y","Sp"
"380","chr5",1748,1748,1,"*","y","Sp"
"381","chr5",2292,2292,1,"*","y","Sp"
"387","chr5",1739,1739,1,"*","x","TLC"
"388","chr5",1743,1743,1,"*","x","TLC"
"390","chr5",1753,1753,1,"*","x","TLC"
"391","chr5",1764,1764,1,"*","x","TLC"
"392","chr5",2292,2292,1,"*","x","TLC"
"398","chr5",1739,1739,1,"*","y","TLC"
"399","chr5",1743,1743,1,"*","y","TLC"
"401","chr5",1753,1753,1,"*","y","TLC"
"402","chr5",1764,1764,1,"*","y","TLC"
"403","chr5",2292,2292,1,"*","y","TLC"
