"","seqnames","start","end","width","strand","axis","ct"
"10","chr16",884,1161,278,"*","x","AG"
"22","chr16",884,1161,278,"*","y","AG"
"33","chr16",884,1161,278,"*","x","Ao"
"44","chr16",884,1161,278,"*","y","Ao"
"56","chr16",884,1161,278,"*","x","Bl"
"68","chr16",884,1161,278,"*","y","Bl"
"82","chr16",884,1161,278,"*","x","Co"
"96","chr16",884,1161,278,"*","y","Co"
"108","chr16",884,1161,278,"*","x","ESC"
"120","chr16",884,1161,278,"*","y","ESC"
"131","chr16",884,1161,278,"*","x","FC"
"142","chr16",884,1161,278,"*","y","FC"
"153","chr16",884,1161,278,"*","x","Hi"
"164","chr16",884,1161,278,"*","y","Hi"
"176","chr16",884,1161,278,"*","x","LC"
"188","chr16",884,1161,278,"*","y","LC"
"197","chr16",884,1161,278,"*","x","Li"
"206","chr16",884,1161,278,"*","y","Li"
"222","chr16",884,1161,278,"*","x","Lu"
"239","chr16",884,1161,278,"*","y","Lu"
"250","chr16",884,1161,278,"*","x","LV"
"260","chr16",884,1161,278,"*","y","LV"
"271","chr16",884,1161,278,"*","x","MesC"
"282","chr16",884,1161,278,"*","y","MesC"
"292","chr16",884,1161,278,"*","x","MSC"
"302","chr16",884,1161,278,"*","y","MSC"
"312","chr16",884,1161,278,"*","x","NPC"
"322","chr16",884,1161,278,"*","y","NPC"
"338","chr16",884,1161,278,"*","x","Ov"
"354","chr16",884,1161,278,"*","y","Ov"
"367","chr16",884,1161,278,"*","x","Pa"
"380","chr16",884,1161,278,"*","y","Pa"
"393","chr16",884,1161,278,"*","x","PM"
"406","chr16",884,1161,278,"*","y","PM"
"416","chr16",884,1161,278,"*","x","RV"
"426","chr16",884,1161,278,"*","y","RV"
"439","chr16",884,1161,278,"*","x","SB"
"452","chr16",884,1161,278,"*","y","SB"
"463","chr16",884,1161,278,"*","x","Sp"
"474","chr16",884,1161,278,"*","y","Sp"
"484","chr16",884,1161,278,"*","x","TLC"
"494","chr16",884,1161,278,"*","y","TLC"
"220","chr16",828,832,5,"*","x","Lu"
"237","chr16",828,832,5,"*","y","Lu"
"106","chr16",829,832,4,"*","x","ESC"
"118","chr16",829,832,4,"*","y","ESC"
"310","chr16",829,832,4,"*","x","NPC"
"320","chr16",829,832,4,"*","y","NPC"
"391","chr16",829,832,4,"*","x","PM"
"404","chr16",829,832,4,"*","y","PM"
"437","chr16",828,831,4,"*","x","SB"
"450","chr16",828,831,4,"*","y","SB"
"8","chr16",829,831,3,"*","x","AG"
"9","chr16",852,854,3,"*","x","AG"
"20","chr16",829,831,3,"*","y","AG"
"21","chr16",852,854,3,"*","y","AG"
"31","chr16",829,831,3,"*","x","Ao"
"32","chr16",852,854,3,"*","x","Ao"
"42","chr16",829,831,3,"*","y","Ao"
"43","chr16",852,854,3,"*","y","Ao"
"55","chr16",852,854,3,"*","x","Bl"
"67","chr16",852,854,3,"*","y","Bl"
"81","chr16",852,854,3,"*","x","Co"
"95","chr16",852,854,3,"*","y","Co"
"107","chr16",852,854,3,"*","x","ESC"
"119","chr16",852,854,3,"*","y","ESC"
"130","chr16",852,854,3,"*","x","FC"
"141","chr16",852,854,3,"*","y","FC"
"151","chr16",829,831,3,"*","x","Hi"
"152","chr16",852,854,3,"*","x","Hi"
"162","chr16",829,831,3,"*","y","Hi"
"163","chr16",852,854,3,"*","y","Hi"
"175","chr16",852,854,3,"*","x","LC"
"187","chr16",852,854,3,"*","y","LC"
"196","chr16",852,854,3,"*","x","Li"
"205","chr16",852,854,3,"*","y","Li"
"213","chr16",461,463,3,"*","x","Lu"
"221","chr16",852,854,3,"*","x","Lu"
"230","chr16",461,463,3,"*","y","Lu"
"238","chr16",852,854,3,"*","y","Lu"
"248","chr16",829,831,3,"*","x","LV"
"249","chr16",852,854,3,"*","x","LV"
"258","chr16",829,831,3,"*","y","LV"
"259","chr16",852,854,3,"*","y","LV"
"270","chr16",852,854,3,"*","x","MesC"
"281","chr16",852,854,3,"*","y","MesC"
"291","chr16",852,854,3,"*","x","MSC"
"301","chr16",852,854,3,"*","y","MSC"
"311","chr16",852,854,3,"*","x","NPC"
"321","chr16",852,854,3,"*","y","NPC"
"336","chr16",829,831,3,"*","x","Ov"
"337","chr16",852,854,3,"*","x","Ov"
"352","chr16",829,831,3,"*","y","Ov"
"353","chr16",852,854,3,"*","y","Ov"
"365","chr16",829,831,3,"*","x","Pa"
"366","chr16",852,854,3,"*","x","Pa"
"378","chr16",829,831,3,"*","y","Pa"
"379","chr16",852,854,3,"*","y","Pa"
"392","chr16",852,854,3,"*","x","PM"
"405","chr16",852,854,3,"*","y","PM"
"415","chr16",852,854,3,"*","x","RV"
"425","chr16",852,854,3,"*","y","RV"
"438","chr16",852,854,3,"*","x","SB"
"451","chr16",852,854,3,"*","y","SB"
"461","chr16",829,831,3,"*","x","Sp"
"462","chr16",852,854,3,"*","x","Sp"
"472","chr16",829,831,3,"*","y","Sp"
"473","chr16",852,854,3,"*","y","Sp"
"482","chr16",830,832,3,"*","x","TLC"
"483","chr16",852,854,3,"*","x","TLC"
"492","chr16",830,832,3,"*","y","TLC"
"493","chr16",852,854,3,"*","y","TLC"
"5","chr16",462,463,2,"*","x","AG"
"7","chr16",818,819,2,"*","x","AG"
"17","chr16",462,463,2,"*","y","AG"
"19","chr16",818,819,2,"*","y","AG"
"28","chr16",411,412,2,"*","x","Ao"
"29","chr16",462,463,2,"*","x","Ao"
"39","chr16",411,412,2,"*","y","Ao"
"40","chr16",462,463,2,"*","y","Ao"
"50","chr16",411,412,2,"*","x","Bl"
"51","chr16",462,463,2,"*","x","Bl"
"52","chr16",818,819,2,"*","x","Bl"
"62","chr16",411,412,2,"*","y","Bl"
"63","chr16",462,463,2,"*","y","Bl"
"64","chr16",818,819,2,"*","y","Bl"
"75","chr16",462,463,2,"*","x","Co"
"84","chr16",2258,2259,2,"*","x","Co"
"89","chr16",462,463,2,"*","y","Co"
"98","chr16",2258,2259,2,"*","y","Co"
"103","chr16",462,463,2,"*","x","ESC"
