ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0050907,detection of chemical stimulus involved in sensory perception,21/23,164/1226,2.79286183976711e-17,1.08376539878636e-15,9.29545371278747e-16,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,21/23,164/1226,2.79286183976711e-17,1.08376539878636e-15,9.29545371278747e-16,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0009593,detection of chemical stimulus,21/23,165/1226,3.19443820679781e-17,1.08376539878636e-15,9.29545371278747e-16,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0007608,sensory perception of smell,21/23,168/1226,4.7550680898435e-17,1.08376539878636e-15,9.29545371278747e-16,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0050906,detection of stimulus involved in sensory perception,21/23,169/1226,5.42004058120901e-17,1.08376539878636e-15,9.29545371278747e-16,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0007606,sensory perception of chemical stimulus,21/23,170/1226,6.17284400960276e-17,1.08376539878636e-15,9.29545371278747e-16,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_MF,GO:0004930,G protein-coupled receptor activity,21/23,171/1226,7.02440536250417e-17,1.08376539878636e-15,9.29545371278747e-16,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0051606,detection of stimulus,21/23,182/1226,2.76395637111102e-16,3.73134110099988e-15,3.20037053497066e-15,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_MF,GO:0004888,transmembrane signaling receptor activity,21/23,194/1226,1.11636529670075e-15,1.33963835604091e-14,1.1490075568382e-14,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0007600,sensory perception,21/23,197/1226,1.55979612670501e-15,1.68457981684141e-14,1.44486378052674e-14,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_MF,GO:0038023,signaling receptor activity,21/23,208/1226,5.08206813753997e-15,4.57386132378597e-14,3.92299996582033e-14,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_MF,GO:0060089,molecular transducer activity,21/23,208/1226,5.08206813753997e-15,4.57386132378597e-14,3.92299996582033e-14,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0050877,nervous system process,21/23,224/1226,2.52554465937337e-14,2.09814479394095e-13,1.79957838076807e-13,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_BP,GO:0003008,system process,21/23,271/1226,1.49589525828936e-12,1.15397634210894e-11,9.89765283680179e-12,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,21
GO_MF,GO:0004984,olfactory receptor activity,12/23,54/1226,1.42138741322051e-11,1.02339893751877e-10,8.77769069216879e-11,OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5F1,12
GO_CC,GO:0016021,integral component of membrane,22/23,452/1226,3.1857941602175e-09,2.15041105814681e-08,1.84440714538908e-08,LRRC4C/OR4B1/OR4X2/OR4S1/OR4C3/OR4C45/OR4A47/OR4A16/OR4A15/OR4P4/OR4C6/OR4S2/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5F1/OR5AS1/OR8U8/OR8U1/OR8J1,22
