ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0000981,DNA-binding transcription factor activity  RNA polymerase II-specific,48/57,300/1390,6.67200007381819e-25,1.44405230121919e-22,1.32326221211345e-22,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF383/ZNF570/ZNF569/ZNF793/ZNF540/ZNF607/ZNF781/LEUTX/ZNF221/ZNF577/ZNF649/ZNF613/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF71/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZSCAN4/ZNF606/ZNF274,48
GO_MF,GO:0003700,DNA-binding transcription factor activity,48/57,304/1390,1.28933241180285e-24,1.44405230121919e-22,1.32326221211345e-22,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF383/ZNF570/ZNF569/ZNF793/ZNF540/ZNF607/ZNF781/LEUTX/ZNF221/ZNF577/ZNF649/ZNF613/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF71/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZSCAN4/ZNF606/ZNF274,48
GO_MF,GO:0046872,metal ion binding,53/57,434/1390,1.70279148253303e-23,1.27141764029133e-21,1.16506785646997e-21,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF850/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF585B/ZNF383/ZNF527/ZNF570/ZNF569/ZNF793/ZNF540/ZNF571/ZNF607/ZNF781/ZNF573/ZNF221/ZNF577/ZNF649/ZNF613/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF578/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF71/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZSCAN4/ZNF606/ZNF274,53
GO_MF,GO:0043169,cation binding,53/57,437/1390,2.4814235029994e-23,1.38959716167966e-21,1.27336206074969e-21,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF850/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF585B/ZNF383/ZNF527/ZNF570/ZNF569/ZNF793/ZNF540/ZNF571/ZNF607/ZNF781/ZNF573/ZNF221/ZNF577/ZNF649/ZNF613/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF578/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF71/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZSCAN4/ZNF606/ZNF274,53
GO_MF,GO:0140110,transcription regulator activity,48/57,326/1390,4.07209821305917e-23,1.82429999945051e-21,1.67170347694008e-21,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF383/ZNF570/ZNF569/ZNF793/ZNF540/ZNF607/ZNF781/LEUTX/ZNF221/ZNF577/ZNF649/ZNF613/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF71/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZSCAN4/ZNF606/ZNF274,48
GO_BP,GO:0006355,regulation of transcription  DNA-templated,50/57,401/1390,3.36510454630158e-21,1.25630569728592e-19,1.15121997636633e-19,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF850/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF585B/ZNF383/ZNF527/ZNF570/ZNF569/ZNF793/ZNF540/ZNF571/ZNF607/ZNF781/ZNF573/LEUTX/ZNF221/ZNF577/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF578/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZNF606/ZNF274,50
GO_BP,GO:1903506,regulation of nucleic acid-templated transcription,50/57,404/1390,4.90436275053021e-21,1.55581792348864e-19,1.42567901823442e-19,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF850/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF585B/ZNF383/ZNF527/ZNF570/ZNF569/ZNF793/ZNF540/ZNF571/ZNF607/ZNF781/ZNF573/LEUTX/ZNF221/ZNF577/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF578/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZNF606/ZNF274,50
GO_BP,GO:2001141,regulation of RNA biosynthetic process,50/57,405/1390,5.55649258388799e-21,1.55581792348864e-19,1.42567901823442e-19,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF850/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF585B/ZNF383/ZNF527/ZNF570/ZNF569/ZNF793/ZNF540/ZNF571/ZNF607/ZNF781/ZNF573/LEUTX/ZNF221/ZNF577/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF578/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZNF606/ZNF274,50
GO_BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,51/57,437/1390,1.40442504493917e-20,3.33679574476636e-19,3.05768407062707e-19,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF850/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF585B/ZNF383/ZNF527/ZNF570/ZNF569/ZNF793/ZNF540/ZNF571/ZNF607/ZNF781/ZNF573/LEUTX/ZNF221/ZNF577/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF578/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZSCAN4/ZNF606/ZNF274,51
GO_BP,GO:0006351,transcription  DNA-templated,50/57,413/1390,1.48964095748498e-20,3.33679574476636e-19,3.05768407062707e-19,ZNF792/ZFP82/ZNF566/ZNF529/ZNF260/ZNF461/ZNF567/ZNF850/ZNF790/ZNF345/ZNF829/ZNF568/ZNF420/ZNF585A/ZNF585B/ZNF383/ZNF527/ZNF570/ZNF569/ZNF793/ZNF540/ZNF571/ZNF607/ZNF781/ZNF573/LEUTX/ZNF221/ZNF577/ZNF350/ZNF614/ZNF615/ZNF432/ZNF616/ZNF836/ZNF528/ZNF534/ZNF578/ZNF808/ZNF665/ZNF347/ZNF667/ZNF583/ZNF471/ZNF17/ZNF749/ZNF550/ZNF549/ZNF551/ZNF606/ZNF274,50
