Loading required package: iterators
Loading required package: parallel
[1] Running with 3 cores.
[1] 38 hubs.
[1] 66 adipose.tissue done!
[1] 74 adrenal.gland done!
[1] 74 animal.ovary done!
[1] 74 appendix done!
[1] 71 bladder done!
[1] 62 bone.marrow done!
[1] 71 cerebral.cortex done!
[1] 73 colon done!
[1] 71 duodenum done!
[1] 70 endometrium done!
[1] 71 esophagus done!
[1] 70 gall.bladder done!
[1] 65 heart done!
[1] 74 kidney done!
[1] 67 liver done!
[1] 71 lung done!
[1] 66 lymph.node done!
[1] 71 pancreas done!
[1] 71 placenta done!
[1] 73 prostate done!
[1] 65 salivary.gland done!
[1] 79 skin done!
[1] 78 small.intestine done!
[1] 69 spleen done!
[1] 74 stomach done!
[1] 80 testis done!
[1] 70 thyroid done!
[1] min2Mb_chr1_All_topCP3_gapBin50_hub1 done!
[1] 57 adipose.tissue done!
[1] 64 adrenal.gland done!
[1] 66 animal.ovary done!
[1] 62 appendix done!
[1] 60 bladder done!
[1] 55 bone.marrow done!
[1] 62 cerebral.cortex done!
[1] 65 colon done!
[1] 60 duodenum done!
[1] 61 endometrium done!
[1] 61 esophagus done!
[1] 59 gall.bladder done!
[1] 57 heart done!
[1] 63 kidney done!
[1] 56 liver done!
[1] 61 lung done!
[1] 58 lymph.node done!
[1] 60 pancreas done!
[1] 62 placenta done!
[1] 63 prostate done!
[1] 56 salivary.gland done!
[1] 65 skin done!
[1] 65 small.intestine done!
[1] 62 spleen done!
[1] 61 stomach done!
[1] 67 testis done!
[1] 60 thyroid done!
[1] min2Mb_chr1_All_topCP3_gapBin50_hub2 done!
[1] 6 adipose.tissue done!
[1] 9 adrenal.gland done!
[1] 10 animal.ovary done!
[1] 9 appendix done!
[1] 9 bladder done!
[1] 9 bone.marrow done!
[1] 8 cerebral.cortex done!
[1] 9 colon done!
[1] 9 duodenum done!
[1] 8 endometrium done!
[1] 7 esophagus done!
[1] 10 gall.bladder done!
[1] 7 heart done!
[1] 11 kidney done!
[1] 8 liver done!
[1] 9 lung done!
[1] 9 lymph.node done!
[1] 10 pancreas done!
[1] 10 placenta done!
[1] 10 prostate done!
[1] 7 salivary.gland done!
[1] 10 skin done!
[1] 9 small.intestine done!
[1] 9 spleen done!
[1] 10 stomach done!
[1] 9 testis done!
[1] 10 thyroid done!
[1] min2Mb_chr1_All_topCP3_gapBin50_hub3 done!
[1] 2 adipose.tissue done!
[1] 2 adrenal.gland done!
[1] 2 animal.ovary done!
[1] 2 appendix done!
[1] 2 bladder done!
[1] 2 bone.marrow done!
[1] 2 cerebral.cortex done!
[1] 2 colon done!
[1] 2 duodenum done!
[1] 2 endometrium done!
[1] 2 esophagus done!
[1] 2 gall.bladder done!
[1] 2 heart done!
[1] 2 kidney done!
[1] 2 liver done!
[1] 2 lung done!
[1] 2 lymph.node done!
[1] 2 pancreas done!
[1] 2 placenta done!
[1] 2 prostate done!
[1] 2 salivary.gland done!
[1] 2 skin done!
[1] 2 small.intestine done!
[1] 2 spleen done!
[1] 2 stomach done!
[1] 2 testis done!
[1] 2 thyroid done!
[1] min2Mb_chr1_All_topCP3_gapBin50_hub4 done!
[1] 28 adipose.tissue done!
[1] 31 adrenal.gland done!
[1] 31 animal.ovary done!
[1] 35 appendix done!
[1] 30 bladder done!
[1] 25 bone.marrow done!
[1] 33 cerebral.cortex done!
[1] 36 colon done!
[1] 34 duodenum done!
[1] 30 endometrium done!
[1] 30 esophagus done!
[1] 32 gall.bladder done!
[1] 33 heart done!
[1] 32 kidney done!
[1] 25 liver done!
[1] 33 lung done!
[1] 29 lymph.node done!
[1] 30 pancreas done!
[1] 32 placenta done!
[1] 34 prostate done!
[1] 31 salivary.gland done!
[1] 32 skin done!
[1] 35 small.intestine done!
[1] 31 spleen done!
[1] 33 stomach done!
[1] 38 testis done!
[1] 31 thyroid done!
[1] min2Mb_chr10_All_topCP3_gapBin50_hub1 done!
[1] 2 adipose.tissue done!
[1] 2 adrenal.gland done!
[1] 2 animal.ovary done!
[1] 2 appendix done!
[1] 2 bladder done!
[1] 1 bone.marrow done!
[1] 2 cerebral.cortex done!
[1] 2 colon done!
[1] 2 duodenum done!
[1] 2 endometrium done!
[1] 2 esophagus done!
[1] 2 gall.bladder done!
[1] 2 heart done!
[1] 2 kidney done!
[1] 2 liver done!
[1] 2 lung done!
[1] 2 lymph.node done!
[1] 2 pancreas done!
[1] 1 placenta done!
[1] 2 prostate done!
[1] 2 salivary.gland done!
[1] 3 skin done!
[1] 2 small.intestine done!
[1] 2 spleen done!
[1] 2 stomach done!
[1] 4 testis done!
[1] 2 thyroid done!
[1] min2Mb_chr11_All_topCP3_gapBin50_hub1 done!
[1] 2 adipose.tissue done!
[1] 2 adrenal.gland done!
[1] 2 animal.ovary done!
[1] 2 appendix done!
[1] 2 bladder done!
[1] 2 bone.marrow done!
[1] 2 cerebral.cortex done!
[1] 2 colon done!
[1] 2 duodenum done!
[1] 2 endometrium done!
[1] 2 esophagus done!
[1] 2 gall.bladder done!
[1] 2 heart done!
[1] 2 kidney done!
[1] 2 liver done!
[1] 2 lung done!
[1] 2 lymph.node done!
[1] 2 pancreas done!
[1] 2 placenta done!
[1] 2 prostate done!
[1] 2 salivary.gland done!
[1] 2 skin done!
[1] 2 small.intestine done!
[1] 3 spleen done!
[1] 2 stomach done!
[1] 4 testis done!
[1] 2 thyroid done!
[1] min2Mb_chr11_All_topCP3_gapBin50_hub2 done!
[1] 1 adipose.tissue done!
[1] 1 adrenal.gland done!
[1] 1 animal.ovary done!
[1] 1 appendix done!
[1] 1 bladder done!
[1] 0 bone.marrow skipped!
[1] 1 cerebral.cortex done!
[1] 1 colon done!
[1] 1 duodenum done!
[1] 1 endometrium done!
[1] 1 esophagus done!
[1] 1 gall.bladder done!
[1] 1 heart done!
[1] 1 kidney done!
[1] 1 liver done!
[1] 1 lung done!
[1] 1 lymph.node done!
[1] 1 pancreas done!
[1] 0 placenta skipped!
[1] 1 prostate done!
[1] 1 salivary.gland done!
[1] 2 skin done!
[1] 1 small.intestine done!
[1] 2 spleen done!
[1] 1 stomach done!
[1] 2 testis done!
[1] 1 thyroid done!
[1] min2Mb_chr11_All_topCP3_gapBin50_hub3 done!
[1] 15 adipose.tissue done!
[1] 17 adrenal.gland done!
[1] 18 animal.ovary done!
[1] 17 appendix done!
[1] 16 bladder done!
[1] 15 bone.marrow done!
[1] 16 cerebral.cortex done!
[1] 16 colon done!
[1] 17 duodenum done!
[1] 16 endometrium done!
[1] 15 esophagus done!
[1] 17 gall.bladder done!
[1] 15 heart done!
[1] 17 kidney done!
[1] 15 liver done!
[1] 16 lung done!
[1] 17 lymph.node done!
[1] 16 pancreas done!
[1] 17 placenta done!
[1] 17 prostate done!
[1] 15 salivary.gland done!
[1] 17 skin done!
[1] 18 small.intestine done!
[1] 18 spleen done!
[1] 16 stomach done!
[1] 19 testis done!
[1] 16 thyroid done!
[1] min2Mb_chr12_All_topCP3_gapBin50_hub1 done!
[1] 5 adipose.tissue done!
[1] 5 adrenal.gland done!
[1] 5 animal.ovary done!
[1] 5 appendix done!
[1] 4 bladder done!
[1] 2 bone.marrow done!
[1] 5 cerebral.cortex done!
[1] 5 colon done!
[1] 5 duodenum done!
[1] 4 endometrium done!
[1] 5 esophagus done!
[1] 5 gall.bladder done!
[1] 5 heart done!
[1] 5 kidney done!
[1] 3 liver done!
[1] 4 lung done!
[1] 4 lymph.node done!
[1] 5 pancreas done!
[1] 5 placenta done!
[1] 5 prostate done!
[1] 4 salivary.gland done!
[1] 3 skin done!
[1] 5 small.intestine done!
[1] 4 spleen done!
[1] 4 stomach done!
[1] 5 testis done!
[1] 5 thyroid done!
[1] min2Mb_chr13_All_topCP3_gapBin50_hub1 done!
[1] 21 adipose.tissue done!
[1] 21 adrenal.gland done!
[1] 21 animal.ovary done!
[1] 22 appendix done!
[1] 21 bladder done!
[1] 21 bone.marrow done!
[1] 21 cerebral.cortex done!
[1] 22 colon done!
[1] 23 duodenum done!
[1] 21 endometrium done!
[1] 21 esophagus done!
[1] 21 gall.bladder done!
[1] 21 heart done!
[1] 21 kidney done!
[1] 21 liver done!
[1] 21 lung done!
[1] 21 lymph.node done!
[1] 21 pancreas done!
[1] 21 placenta done!
[1] 21 prostate done!
[1] 21 salivary.gland done!
[1] 22 skin done!
[1] 21 small.intestine done!
[1] 21 spleen done!
[1] 22 stomach done!
[1] 23 testis done!
[1] 21 thyroid done!
[1] min2Mb_chr14_All_topCP3_gapBin50_hub1 done!
[1] 2 adipose.tissue done!
[1] 5 adrenal.gland done!
[1] 5 animal.ovary done!
[1] 4 appendix done!
[1] 4 bladder done!
[1] 2 bone.marrow done!
[1] 5 cerebral.cortex done!
[1] 4 colon done!
[1] 4 duodenum done!
[1] 3 endometrium done!
[1] 4 esophagus done!
[1] 4 gall.bladder done!
[1] 4 heart done!
[1] 4 kidney done!
[1] 2 liver done!
[1] 2 lung done!
[1] 2 lymph.node done!
[1] 3 pancreas done!
[1] 2 placenta done!
[1] 5 prostate done!
[1] 4 salivary.gland done!
[1] 5 skin done!
[1] 4 small.intestine done!
[1] 3 spleen done!
