"","seqnames","start","end","width","strand","axis","ct","red.start","red.end","red.width"
"270","chr20",659,735,77,"*","x","TLC",659,735,77
"277","chr20",659,735,77,"*","y","TLC",659,735,77
"256","chr20",659,735,77,"*","x","Sp",659,735,77
"263","chr20",659,735,77,"*","y","Sp",659,735,77
"242","chr20",659,735,77,"*","x","SB",659,735,77
"249","chr20",659,735,77,"*","y","SB",659,735,77
"229","chr20",659,735,77,"*","x","RV",659,735,77
"235","chr20",659,735,77,"*","y","RV",659,735,77
"216","chr20",659,735,77,"*","x","PM",659,735,77
"223","chr20",659,735,77,"*","y","PM",659,735,77
"202","chr20",659,735,77,"*","x","Pa",659,735,77
"209","chr20",659,735,77,"*","y","Pa",659,735,77
"188","chr20",659,735,77,"*","x","Ov",659,735,77
"195","chr20",659,735,77,"*","y","Ov",659,735,77
"174","chr20",659,735,77,"*","x","NPC",659,735,77
"181","chr20",659,735,77,"*","y","NPC",659,735,77
"161","chr20",659,735,77,"*","x","MSC",659,735,77
"167","chr20",659,735,77,"*","y","MSC",659,735,77
"149","chr20",659,735,77,"*","x","MesC",659,735,77
"155","chr20",659,735,77,"*","y","MesC",659,735,77
"137","chr20",659,735,77,"*","x","LV",659,735,77
"143","chr20",659,735,77,"*","y","LV",659,735,77
"124","chr20",659,735,77,"*","x","Lu",659,735,77
"131","chr20",659,735,77,"*","y","Lu",659,735,77
"111","chr20",659,735,77,"*","x","Li",659,735,77
"117","chr20",659,735,77,"*","y","Li",659,735,77
"98","chr20",659,735,77,"*","x","LC",659,735,77
"105","chr20",659,735,77,"*","y","LC",659,735,77
"84","chr20",659,735,77,"*","x","Hi",659,735,77
"91","chr20",659,735,77,"*","y","Hi",659,735,77
"70","chr20",659,735,77,"*","x","FC",659,735,77
"77","chr20",659,735,77,"*","y","FC",659,735,77
"56","chr20",659,735,77,"*","x","ESC",659,735,77
"63","chr20",659,735,77,"*","y","ESC",659,735,77
"42","chr20",659,735,77,"*","x","Co",659,735,77
"49","chr20",659,735,77,"*","y","Co",659,735,77
"29","chr20",659,735,77,"*","x","Bl",659,735,77
"35","chr20",659,735,77,"*","y","Bl",659,735,77
"17","chr20",659,735,77,"*","x","Ao",659,735,77
"23","chr20",659,735,77,"*","y","Ao",659,735,77
"4","chr20",659,735,77,"*","x","AG",659,735,77
"11","chr20",659,735,77,"*","y","AG",659,735,77
"271","chr20",742,745,4,"*","x","TLC",742,745,4
"278","chr20",742,745,4,"*","y","TLC",742,745,4
"257","chr20",742,745,4,"*","x","Sp",742,745,4
"264","chr20",742,745,4,"*","y","Sp",742,745,4
"243","chr20",742,745,4,"*","x","SB",742,745,4
"250","chr20",742,745,4,"*","y","SB",742,745,4
"230","chr20",742,745,4,"*","x","RV",742,745,4
"236","chr20",742,745,4,"*","y","RV",742,745,4
"217","chr20",742,745,4,"*","x","PM",742,745,4
"224","chr20",742,745,4,"*","y","PM",742,745,4
"203","chr20",742,745,4,"*","x","Pa",742,745,4
"210","chr20",742,745,4,"*","y","Pa",742,745,4
"189","chr20",742,745,4,"*","x","Ov",742,745,4
"196","chr20",742,745,4,"*","y","Ov",742,745,4
"175","chr20",742,745,4,"*","x","NPC",742,745,4
"182","chr20",742,745,4,"*","y","NPC",742,745,4
"162","chr20",742,745,4,"*","x","MSC",742,745,4
"168","chr20",742,745,4,"*","y","MSC",742,745,4
"150","chr20",742,745,4,"*","x","MesC",742,745,4
"156","chr20",742,745,4,"*","y","MesC",742,745,4
"138","chr20",742,745,4,"*","x","LV",742,745,4
"144","chr20",742,745,4,"*","y","LV",742,745,4
"125","chr20",742,745,4,"*","x","Lu",742,745,4
"132","chr20",742,745,4,"*","y","Lu",742,745,4
"112","chr20",742,745,4,"*","x","Li",742,745,4
"118","chr20",742,745,4,"*","y","Li",742,745,4
"99","chr20",742,745,4,"*","x","LC",742,745,4
"106","chr20",742,745,4,"*","y","LC",742,745,4
"85","chr20",742,745,4,"*","x","Hi",742,745,4
"92","chr20",742,745,4,"*","y","Hi",742,745,4
"71","chr20",742,745,4,"*","x","FC",742,745,4
"78","chr20",742,745,4,"*","y","FC",742,745,4
"57","chr20",742,745,4,"*","x","ESC",742,745,4
"64","chr20",742,745,4,"*","y","ESC",742,745,4
"43","chr20",742,745,4,"*","x","Co",742,745,4
"50","chr20",742,745,4,"*","y","Co",742,745,4
"30","chr20",742,745,4,"*","x","Bl",742,745,4
"36","chr20",742,745,4,"*","y","Bl",742,745,4
"18","chr20",742,745,4,"*","x","Ao",742,745,4
"24","chr20",742,745,4,"*","y","Ao",742,745,4
"5","chr20",742,745,4,"*","x","AG",742,745,4
"12","chr20",742,745,4,"*","y","AG",742,745,4
"267","chr20",1,1,1,"*","x","TLC",1,1,1
"268","chr20",645,645,1,"*","x","TLC",645,645,1
"269","chr20",651,651,1,"*","x","TLC",651,651,1
"272","chr20",1528,1528,1,"*","x","TLC",1528,1528,1
"273","chr20",1576,1576,1,"*","x","TLC",1576,1576,1
"274","chr20",1,1,1,"*","y","TLC",1,1,1
"275","chr20",645,645,1,"*","y","TLC",645,645,1
"276","chr20",651,651,1,"*","y","TLC",651,651,1
"279","chr20",1528,1528,1,"*","y","TLC",1528,1528,1
"280","chr20",1576,1576,1,"*","y","TLC",1576,1576,1
"253","chr20",1,1,1,"*","x","Sp",1,1,1
"254","chr20",645,645,1,"*","x","Sp",645,645,1
"255","chr20",651,651,1,"*","x","Sp",651,651,1
"258","chr20",1528,1528,1,"*","x","Sp",1528,1528,1
"259","chr20",1576,1576,1,"*","x","Sp",1576,1576,1
"260","chr20",1,1,1,"*","y","Sp",1,1,1
"261","chr20",645,645,1,"*","y","Sp",645,645,1
"262","chr20",651,651,1,"*","y","Sp",651,651,1
"265","chr20",1528,1528,1,"*","y","Sp",1528,1528,1
"266","chr20",1576,1576,1,"*","y","Sp",1576,1576,1
"239","chr20",1,1,1,"*","x","SB",1,1,1
"240","chr20",645,645,1,"*","x","SB",645,645,1
"241","chr20",651,651,1,"*","x","SB",651,651,1
"244","chr20",1528,1528,1,"*","x","SB",1528,1528,1
"245","chr20",1576,1576,1,"*","x","SB",1576,1576,1
"246","chr20",1,1,1,"*","y","SB",1,1,1
"247","chr20",645,645,1,"*","y","SB",645,645,1
"248","chr20",651,651,1,"*","y","SB",651,651,1
"251","chr20",1528,1528,1,"*","y","SB",1528,1528,1
"252","chr20",1576,1576,1,"*","y","SB",1576,1576,1
"227","chr20",1,1,1,"*","x","RV",1,1,1
"228","chr20",651,651,1,"*","x","RV",651,651,1
"231","chr20",1528,1528,1,"*","x","RV",1528,1528,1
"232","chr20",1576,1576,1,"*","x","RV",1576,1576,1
"233","chr20",1,1,1,"*","y","RV",1,1,1
"234","chr20",651,651,1,"*","y","RV",651,651,1
"237","chr20",1528,1528,1,"*","y","RV",1528,1528,1
"238","chr20",1576,1576,1,"*","y","RV",1576,1576,1
"213","chr20",1,1,1,"*","x","PM",1,1,1
"214","chr20",645,645,1,"*","x","PM",645,645,1
"215","chr20",651,651,1,"*","x","PM",651,651,1
"218","chr20",1528,1528,1,"*","x","PM",1528,1528,1
"219","chr20",1576,1576,1,"*","x","PM",1576,1576,1
"220","chr20",1,1,1,"*","y","PM",1,1,1
