"","seqnames","start","end","width","strand","axis","ct","red.start","red.end","red.width"
"233","chr4",1242,1317,76,"*","x","Sp",1242,1317,76
"239","chr4",1242,1317,76,"*","y","Sp",1242,1317,76
"219","chr4",1242,1317,76,"*","x","SB",1242,1317,76
"226","chr4",1242,1317,76,"*","y","SB",1242,1317,76
"208","chr4",1242,1317,76,"*","x","RV",1242,1317,76
"213","chr4",1242,1317,76,"*","y","RV",1242,1317,76
"196","chr4",1242,1317,76,"*","x","PM",1242,1317,76
"203","chr4",1242,1317,76,"*","y","PM",1242,1317,76
"181","chr4",1242,1317,76,"*","x","Pa",1242,1317,76
"188","chr4",1242,1317,76,"*","y","Pa",1242,1317,76
"169","chr4",1242,1317,76,"*","x","Ov",1242,1317,76
"175","chr4",1242,1317,76,"*","y","Ov",1242,1317,76
"124","chr4",1242,1317,76,"*","x","LV",1242,1317,76
"129","chr4",1242,1317,76,"*","y","LV",1242,1317,76
"111","chr4",1242,1317,76,"*","x","Lu",1242,1317,76
"118","chr4",1242,1317,76,"*","y","Lu",1242,1317,76
"100","chr4",1242,1317,76,"*","x","Li",1242,1317,76
"105","chr4",1242,1317,76,"*","y","Li",1242,1317,76
"5","chr4",1242,1317,76,"*","x","AG",1242,1317,76
"11","chr4",1242,1317,76,"*","y","AG",1242,1317,76
"245","chr4",1242,1316,75,"*","x","TLC",1242,1317,76
"251","chr4",1242,1316,75,"*","y","TLC",1242,1317,76
"157","chr4",1242,1316,75,"*","x","NPC",1242,1317,76
"163","chr4",1242,1316,75,"*","y","NPC",1242,1317,76
"146","chr4",1242,1316,75,"*","x","MSC",1242,1317,76
"151","chr4",1242,1316,75,"*","y","MSC",1242,1317,76
"135","chr4",1242,1316,75,"*","x","MesC",1242,1317,76
"141","chr4",1242,1316,75,"*","y","MesC",1242,1317,76
"89","chr4",1242,1316,75,"*","x","LC",1242,1317,76
"95","chr4",1242,1316,75,"*","y","LC",1242,1317,76
"76","chr4",1242,1316,75,"*","x","Hi",1242,1317,76
"83","chr4",1242,1316,75,"*","y","Hi",1242,1317,76
"63","chr4",1242,1316,75,"*","x","FC",1242,1317,76
"69","chr4",1242,1316,75,"*","y","FC",1242,1317,76
"51","chr4",1242,1316,75,"*","x","ESC",1242,1317,76
"57","chr4",1242,1316,75,"*","y","ESC",1242,1317,76
"38","chr4",1242,1316,75,"*","x","Co",1242,1317,76
"45","chr4",1242,1316,75,"*","y","Co",1242,1317,76
"26","chr4",1242,1316,75,"*","x","Bl",1242,1317,76
"31","chr4",1242,1316,75,"*","y","Bl",1242,1317,76
"16","chr4",1242,1316,75,"*","x","Ao",1242,1317,76
"21","chr4",1242,1316,75,"*","y","Ao",1242,1317,76
"244","chr4",1234,1237,4,"*","x","TLC",1234,1237,4
