"","seqnames","start","end","width","strand","axis","ct","red.start","red.end","red.width"
"325","chr22",1,401,401,"*","x","TLC",1,401,401
"333","chr22",1,401,401,"*","y","TLC",1,401,401
"309","chr22",1,401,401,"*","x","Sp",1,401,401
"317","chr22",1,401,401,"*","y","Sp",1,401,401
"291","chr22",1,401,401,"*","x","SB",1,401,401
"300","chr22",1,401,401,"*","y","SB",1,401,401
"273","chr22",1,401,401,"*","x","RV",1,401,401
"282","chr22",1,401,401,"*","y","RV",1,401,401
"253","chr22",1,401,401,"*","x","PM",1,401,401
"263","chr22",1,401,401,"*","y","PM",1,401,401
"237","chr22",1,401,401,"*","x","Pa",1,401,401
"245","chr22",1,401,401,"*","y","Pa",1,401,401
"219","chr22",1,401,401,"*","x","Ov",1,401,401
"228","chr22",1,401,401,"*","y","Ov",1,401,401
"199","chr22",1,401,401,"*","x","NPC",1,401,401
"209","chr22",1,401,401,"*","y","NPC",1,401,401
"185","chr22",1,401,401,"*","x","MSC",1,401,401
"192","chr22",1,401,401,"*","y","MSC",1,401,401
"171","chr22",1,401,401,"*","x","MesC",1,401,401
"178","chr22",1,401,401,"*","y","MesC",1,401,401
"155","chr22",1,401,401,"*","x","LV",1,401,401
"163","chr22",1,401,401,"*","y","LV",1,401,401
"135","chr22",1,401,401,"*","x","Lu",1,401,401
"145","chr22",1,401,401,"*","y","Lu",1,401,401
"123","chr22",1,401,401,"*","x","Li",1,401,401
"129","chr22",1,401,401,"*","y","Li",1,401,401
"109","chr22",1,401,401,"*","x","LC",1,401,401
"116","chr22",1,401,401,"*","y","LC",1,401,401
"95","chr22",1,401,401,"*","x","Hi",1,401,401
"102","chr22",1,401,401,"*","y","Hi",1,401,401
"79","chr22",1,401,401,"*","x","FC",1,401,401
"87","chr22",1,401,401,"*","y","FC",1,401,401
"63","chr22",1,401,401,"*","x","ESC",1,401,401
"71","chr22",1,401,401,"*","y","ESC",1,401,401
"47","chr22",1,401,401,"*","x","Co",1,401,401
"55","chr22",1,401,401,"*","y","Co",1,401,401
"31","chr22",1,401,401,"*","x","Bl",1,401,401
"39","chr22",1,401,401,"*","y","Bl",1,401,401
"17","chr22",1,401,401,"*","x","Ao",1,401,401
"24","chr22",1,401,401,"*","y","Ao",1,401,401
"1","chr22",1,401,401,"*","x","AG",1,401,401
"9","chr22",1,401,401,"*","y","AG",1,401,401
"295","chr22",510,515,6,"*","x","SB",510,515,6
"304","chr22",510,515,6,"*","y","SB",510,515,6
"139","chr22",511,515,5,"*","x","Lu",510,515,6
"149","chr22",511,515,5,"*","y","Lu",510,515,6
"137","chr22",418,421,4,"*","x","Lu",418,421,4
"147","chr22",418,421,4,"*","y","Lu",418,421,4
"326","chr22",419,421,3,"*","x","TLC",418,421,4
"329","chr22",513,515,3,"*","x","TLC",510,515,6
"334","chr22",419,421,3,"*","y","TLC",418,421,4
"337","chr22",513,515,3,"*","y","TLC",510,515,6
"311","chr22",419,421,3,"*","x","Sp",418,421,4
"313","chr22",513,515,3,"*","x","Sp",510,515,6
"319","chr22",419,421,3,"*","y","Sp",418,421,4
"321","chr22",513,515,3,"*","y","Sp",510,515,6
