"","seqnames","start","end","width","strand","axis","ct","red.start","red.end","red.width"
"2179","chr9",1182,1637,456,"*","x","TLC",1182,1637,456
"2232","chr9",1182,1637,456,"*","y","TLC",1182,1637,456
"1615","chr9",1182,1637,456,"*","x","Pa",1182,1637,456
"1673","chr9",1182,1637,456,"*","y","Pa",1182,1637,456
"1388","chr9",1182,1637,456,"*","x","NPC",1182,1637,456
"1441","chr9",1182,1637,456,"*","y","NPC",1182,1637,456
"1290","chr9",1182,1637,456,"*","x","MSC",1182,1637,456
"1336","chr9",1182,1637,456,"*","y","MSC",1182,1637,456
"1192","chr9",1182,1637,456,"*","x","MesC",1182,1637,456
"1243","chr9",1182,1637,456,"*","y","MesC",1182,1637,456
"968","chr9",1182,1637,456,"*","x","Lu",1182,1637,456
"1027","chr9",1182,1637,456,"*","y","Lu",1182,1637,456
"469","chr9",1182,1637,456,"*","x","ESC",1182,1637,456
"525","chr9",1182,1637,456,"*","y","ESC",1182,1637,456
"2073","chr9",1182,1636,455,"*","x","Sp",1182,1637,456
"2129","chr9",1182,1636,455,"*","y","Sp",1182,1637,456
"1958","chr9",1182,1636,455,"*","x","SB",1182,1637,456
"2016","chr9",1182,1636,455,"*","y","SB",1182,1637,456
"1842","chr9",1182,1636,455,"*","x","RV",1182,1637,456
"1899","chr9",1182,1636,455,"*","y","RV",1182,1637,456
"1730","chr9",1182,1636,455,"*","x","PM",1182,1637,456
"1787","chr9",1182,1636,455,"*","y","PM",1182,1637,456
"1499","chr9",1182,1636,455,"*","x","Ov",1182,1637,456
"1557","chr9",1182,1636,455,"*","y","Ov",1182,1637,456
"1084","chr9",1182,1636,455,"*","x","LV",1182,1637,456
"1141","chr9",1182,1636,455,"*","y","LV",1182,1637,456
"782","chr9",1182,1636,455,"*","x","LC",1182,1637,456
"827","chr9",1182,1636,455,"*","y","LC",1182,1637,456
"673","chr9",1182,1636,455,"*","x","Hi",1182,1637,456
"733","chr9",1182,1636,455,"*","y","Hi",1182,1637,456
"571","chr9",1182,1636,455,"*","x","FC",1182,1637,456
"616","chr9",1182,1636,455,"*","y","FC",1182,1637,456
"356","chr9",1182,1636,455,"*","x","Co",1182,1637,456
"412","chr9",1182,1636,455,"*","y","Co",1182,1637,456
"246","chr9",1182,1636,455,"*","x","Bl",1182,1637,456
"300","chr9",1182,1636,455,"*","y","Bl",1182,1637,456
"144","chr9",1182,1636,455,"*","x","Ao",1182,1637,456
"192","chr9",1182,1636,455,"*","y","Ao",1182,1637,456
"34","chr9",1182,1636,455,"*","x","AG",1182,1637,456
"94","chr9",1182,1636,455,"*","y","AG",1182,1637,456
"871","chr9",1183,1636,454,"*","x","Li",1182,1637,456
"913","chr9",1183,1636,454,"*","y","Li",1182,1637,456
"1610","chr9",1157,1165,9,"*","x","Pa",1157,1167,11
"1668","chr9",1157,1165,9,"*","y","Pa",1157,1167,11
"948","chr9",1064,1072,9,"*","x","Lu",1064,1072,9
"1007","chr9",1064,1072,9,"*","y","Lu",1064,1072,9
"1939","chr9",1064,1071,8,"*","x","SB",1064,1072,9
"1997","chr9",1064,1071,8,"*","y","SB",1064,1072,9
"1596","chr9",1064,1071,8,"*","x","Pa",1064,1072,9
"1654","chr9",1064,1071,8,"*","y","Pa",1064,1072,9
"933","chr9",981,988,8,"*","x","Lu",981,989,9
"992","chr9",981,988,8,"*","y","Lu",981,989,9
"450","chr9",1064,1071,8,"*","x","ESC",1064,1072,9
"506","chr9",1064,1071,8,"*","y","ESC",1064,1072,9
"2165","chr9",1065,1071,7,"*","x","TLC",1064,1072,9
"2218","chr9",1065,1071,7,"*","y","TLC",1064,1072,9
"2055","chr9",1065,1071,7,"*","x","Sp",1064,1072,9
"2111","chr9",1065,1071,7,"*","y","Sp",1064,1072,9
"1372","chr9",1065,1071,7,"*","x","NPC",1064,1072,9
"1425","chr9",1065,1071,7,"*","y","NPC",1064,1072,9
"1277","chr9",1065,1071,7,"*","x","MSC",1064,1072,9
