"","seqnames","start","end","width","strand","axis","ct","red.start","red.end","red.width"
"333","chr8",1097,1171,75,"*","x","TLC",1097,1171,75
"340","chr8",1097,1171,75,"*","y","TLC",1097,1171,75
"317","chr8",1097,1171,75,"*","x","Sp",1097,1171,75
"325","chr8",1097,1171,75,"*","y","Sp",1097,1171,75
"300","chr8",1097,1171,75,"*","x","SB",1097,1171,75
"309","chr8",1097,1171,75,"*","y","SB",1097,1171,75
"282","chr8",1097,1171,75,"*","x","RV",1097,1171,75
"291","chr8",1097,1171,75,"*","y","RV",1097,1171,75
"262","chr8",1097,1171,75,"*","x","PM",1097,1171,75
"272","chr8",1097,1171,75,"*","y","PM",1097,1171,75
"245","chr8",1097,1171,75,"*","x","Pa",1097,1171,75
"253","chr8",1097,1171,75,"*","y","Pa",1097,1171,75
"229","chr8",1097,1171,75,"*","x","Ov",1097,1171,75
"237","chr8",1097,1171,75,"*","y","Ov",1097,1171,75
"213","chr8",1097,1171,75,"*","x","NPC",1097,1171,75
"221","chr8",1097,1171,75,"*","y","NPC",1097,1171,75
"199","chr8",1097,1171,75,"*","x","MSC",1097,1171,75
"206","chr8",1097,1171,75,"*","y","MSC",1097,1171,75
"185","chr8",1097,1171,75,"*","x","MesC",1097,1171,75
"192","chr8",1097,1171,75,"*","y","MesC",1097,1171,75
"169","chr8",1097,1171,75,"*","x","LV",1097,1171,75
"177","chr8",1097,1171,75,"*","y","LV",1097,1171,75
"153","chr8",1097,1171,75,"*","x","Lu",1097,1171,75
"161","chr8",1097,1171,75,"*","y","Lu",1097,1171,75
"136","chr8",1097,1171,75,"*","x","Li",1097,1171,75
"145","chr8",1097,1171,75,"*","y","Li",1097,1171,75
"118","chr8",1097,1171,75,"*","x","LC",1097,1171,75
"127","chr8",1097,1171,75,"*","y","LC",1097,1171,75
"99","chr8",1097,1171,75,"*","x","Hi",1097,1171,75
"108","chr8",1097,1171,75,"*","y","Hi",1097,1171,75
"84","chr8",1097,1171,75,"*","x","FC",1097,1171,75
"91","chr8",1097,1171,75,"*","y","FC",1097,1171,75
"71","chr8",1097,1171,75,"*","x","ESC",1097,1171,75
"78","chr8",1097,1171,75,"*","y","ESC",1097,1171,75
"52","chr8",1097,1171,75,"*","x","Co",1097,1171,75
"62","chr8",1097,1171,75,"*","y","Co",1097,1171,75
"35","chr8",1097,1171,75,"*","x","Bl",1097,1171,75
"43","chr8",1097,1171,75,"*","y","Bl",1097,1171,75
"18","chr8",1097,1171,75,"*","x","Ao",1097,1171,75
"27","chr8",1097,1171,75,"*","y","Ao",1097,1171,75
"2","chr8",1097,1171,75,"*","x","AG",1097,1171,75
"9","chr8",1097,1171,75,"*","y","AG",1097,1171,75
"334","chr8",2166,2171,6,"*","x","TLC",2166,2171,6
"341","chr8",2166,2171,6,"*","y","TLC",2166,2171,6
"246","chr8",2166,2171,6,"*","x","Pa",2166,2171,6
"254","chr8",2166,2171,6,"*","y","Pa",2166,2171,6
"230","chr8",2166,2171,6,"*","x","Ov",2166,2171,6
"238","chr8",2166,2171,6,"*","y","Ov",2166,2171,6
"200","chr8",2166,2171,6,"*","x","MSC",2166,2171,6
"207","chr8",2166,2171,6,"*","y","MSC",2166,2171,6
"186","chr8",2166,2171,6,"*","x","MesC",2166,2171,6
