"","seqnames","start","end","width","strand","axis","ct","red.start","red.end","red.width"
"352","chr17",558,631,74,"*","x","TLC",558,631,74
"360","chr17",558,631,74,"*","y","TLC",558,631,74
"336","chr17",558,631,74,"*","x","Sp",558,631,74
"344","chr17",558,631,74,"*","y","Sp",558,631,74
"317","chr17",558,631,74,"*","x","SB",558,631,74
"327","chr17",558,631,74,"*","y","SB",558,631,74
"300","chr17",558,631,74,"*","x","RV",558,631,74
"308","chr17",558,631,74,"*","y","RV",558,631,74
"281","chr17",558,631,74,"*","x","PM",558,631,74
"291","chr17",558,631,74,"*","y","PM",558,631,74
"261","chr17",558,631,74,"*","x","Pa",558,631,74
"271","chr17",558,631,74,"*","y","Pa",558,631,74
"241","chr17",558,631,74,"*","x","Ov",558,631,74
"251","chr17",558,631,74,"*","y","Ov",558,631,74
"224","chr17",558,631,74,"*","x","NPC",558,631,74
"232","chr17",558,631,74,"*","y","NPC",558,631,74
"208","chr17",558,631,74,"*","x","MSC",558,631,74
"216","chr17",558,631,74,"*","y","MSC",558,631,74
"192","chr17",558,631,74,"*","x","MesC",558,631,74
"200","chr17",558,631,74,"*","y","MesC",558,631,74
"177","chr17",558,631,74,"*","x","LV",558,631,74
"184","chr17",558,631,74,"*","y","LV",558,631,74
"159","chr17",558,631,74,"*","x","Lu",558,631,74
"169","chr17",558,631,74,"*","y","Lu",558,631,74
"142","chr17",558,631,74,"*","x","Li",558,631,74
"150","chr17",558,631,74,"*","y","Li",558,631,74
"126","chr17",558,631,74,"*","x","LC",558,631,74
"134","chr17",558,631,74,"*","y","LC",558,631,74
"109","chr17",558,631,74,"*","x","Hi",558,631,74
"118","chr17",558,631,74,"*","y","Hi",558,631,74
"92","chr17",558,631,74,"*","x","FC",558,631,74
"100","chr17",558,631,74,"*","y","FC",558,631,74
"76","chr17",558,631,74,"*","x","ESC",558,631,74
"84","chr17",558,631,74,"*","y","ESC",558,631,74
"58","chr17",558,631,74,"*","x","Co",558,631,74
"67","chr17",558,631,74,"*","y","Co",558,631,74
"40","chr17",558,631,74,"*","x","Bl",558,631,74
"49","chr17",558,631,74,"*","y","Bl",558,631,74
"24","chr17",558,631,74,"*","x","Ao",558,631,74
"32","chr17",558,631,74,"*","y","Ao",558,631,74
"5","chr17",558,631,74,"*","x","AG",558,631,74
"15","chr17",558,631,74,"*","y","AG",558,631,74
"283","chr17",867,869,3,"*","x","PM",867,869,3
"293","chr17",867,869,3,"*","y","PM",867,869,3
"161","chr17",867,869,3,"*","x","Lu",867,869,3
"171","chr17",867,869,3,"*","y","Lu",867,869,3
"110","chr17",867,869,3,"*","x","Hi",867,869,3
"119","chr17",867,869,3,"*","y","Hi",867,869,3
"60","chr17",867,869,3,"*","x","Co",867,869,3
"69","chr17",867,869,3,"*","y","Co",867,869,3
"42","chr17",867,869,3,"*","x","Bl",867,869,3
"51","chr17",867,869,3,"*","y","Bl",867,869,3
"7","chr17",867,869,3,"*","x","AG",867,869,3
"17","chr17",867,869,3,"*","y","AG",867,869,3
"349","chr17",9,10,2,"*","x","TLC",9,10,2
"353","chr17",868,869,2,"*","x","TLC",867,869,3
"357","chr17",9,10,2,"*","y","TLC",9,10,2
"361","chr17",868,869,2,"*","y","TLC",867,869,3
"333","chr17",9,10,2,"*","x","Sp",9,10,2
"337","chr17",867,868,2,"*","x","Sp",867,869,3
"341","chr17",9,10,2,"*","y","Sp",9,10,2
"345","chr17",867,868,2,"*","y","Sp",867,869,3
"313","chr17",9,10,2,"*","x","SB",9,10,2
"319","chr17",868,869,2,"*","x","SB",867,869,3
"323","chr17",9,10,2,"*","y","SB",9,10,2
"329","chr17",868,869,2,"*","y","SB",867,869,3
"297","chr17",9,10,2,"*","x","RV",9,10,2
"301","chr17",868,869,2,"*","x","RV",867,869,3
"305","chr17",9,10,2,"*","y","RV",9,10,2
"309","chr17",868,869,2,"*","y","RV",867,869,3
"277","chr17",9,10,2,"*","x","PM",9,10,2
"282","chr17",864,865,2,"*","x","PM",864,865,2
"287","chr17",9,10,2,"*","y","PM",9,10,2
"292","chr17",864,865,2,"*","y","PM",864,865,2
"257","chr17",9,10,2,"*","x","Pa",9,10,2
"263","chr17",868,869,2,"*","x","Pa",867,869,3
"267","chr17",9,10,2,"*","y","Pa",9,10,2
"273","chr17",868,869,2,"*","y","Pa",867,869,3
"237","chr17",9,10,2,"*","x","Ov",9,10,2
"239","chr17",477,478,2,"*","x","Ov",477,478,2
"242","chr17",864,865,2,"*","x","Ov",864,865,2
"243","chr17",868,869,2,"*","x","Ov",867,869,3
"247","chr17",9,10,2,"*","y","Ov",9,10,2
"249","chr17",477,478,2,"*","y","Ov",477,478,2
"252","chr17",864,865,2,"*","y","Ov",864,865,2
"253","chr17",868,869,2,"*","y","Ov",867,869,3
"221","chr17",9,10,2,"*","x","NPC",9,10,2
"225","chr17",868,869,2,"*","x","NPC",867,869,3
"229","chr17",9,10,2,"*","y","NPC",9,10,2
"233","chr17",868,869,2,"*","y","NPC",867,869,3
"205","chr17",9,10,2,"*","x","MSC",9,10,2
"213","chr17",9,10,2,"*","y","MSC",9,10,2
"189","chr17",9,10,2,"*","x","MesC",9,10,2
"193","chr17",868,869,2,"*","x","MesC",867,869,3
"197","chr17",9,10,2,"*","y","MesC",9,10,2
"201","chr17",868,869,2,"*","y","MesC",867,869,3
"175","chr17",9,10,2,"*","x","LV",9,10,2
"182","chr17",9,10,2,"*","y","LV",9,10,2
"155","chr17",9,10,2,"*","x","Lu",9,10,2
"160","chr17",864,865,2,"*","x","Lu",864,865,2
"165","chr17",9,10,2,"*","y","Lu",9,10,2
"170","chr17",864,865,2,"*","y","Lu",864,865,2
"139","chr17",9,10,2,"*","x","Li",9,10,2
"147","chr17",9,10,2,"*","y","Li",9,10,2
"123","chr17",9,10,2,"*","x","LC",9,10,2
"131","chr17",9,10,2,"*","y","LC",9,10,2
"105","chr17",9,10,2,"*","x","Hi",9,10,2
"114","chr17",9,10,2,"*","y","Hi",9,10,2
"89","chr17",9,10,2,"*","x","FC",9,10,2
"97","chr17",9,10,2,"*","y","FC",9,10,2
"73","chr17",9,10,2,"*","x","ESC",9,10,2
"77","chr17",868,869,2,"*","x","ESC",867,869,3
"81","chr17",9,10,2,"*","y","ESC",9,10,2
"85","chr17",868,869,2,"*","y","ESC",867,869,3
"55","chr17",9,10,2,"*","x","Co",9,10,2
"64","chr17",9,10,2,"*","y","Co",9,10,2
"37","chr17",9,10,2,"*","x","Bl",9,10,2
"46","chr17",9,10,2,"*","y","Bl",9,10,2
"21","chr17",9,10,2,"*","x","Ao",9,10,2
"29","chr17",9,10,2,"*","y","Ao",9,10,2
"1","chr17",9,10,2,"*","x","AG",9,10,2
"6","chr17",864,865,2,"*","x","AG",864,865,2
"11","chr17",9,10,2,"*","y","AG",9,10,2
"16","chr17",864,865,2,"*","y","AG",864,865,2
"350","chr17",475,475,1,"*","x","TLC",475,475,1
"351","chr17",541,541,1,"*","x","TLC",541,541,1
"354","chr17",932,932,1,"*","x","TLC",932,932,1
"355","chr17",1940,1940,1,"*","x","TLC",1940,1940,1
"356","chr17",2002,2002,1,"*","x","TLC",2002,2002,1
"358","chr17",475,475,1,"*","y","TLC",475,475,1
"359","chr17",541,541,1,"*","y","TLC",541,541,1
"362","chr17",932,932,1,"*","y","TLC",932,932,1
"363","chr17",1940,1940,1,"*","y","TLC",1940,1940,1
"364","chr17",2002,2002,1,"*","y","TLC",2002,2002,1
"334","chr17",475,475,1,"*","x","Sp",475,475,1
"335","chr17",541,541,1,"*","x","Sp",541,541,1
"338","chr17",932,932,1,"*","x","Sp",932,932,1
"339","chr17",1940,1940,1,"*","x","Sp",1940,1940,1
"340","chr17",2002,2002,1,"*","x","Sp",2002,2002,1
"342","chr17",475,475,1,"*","y","Sp",475,475,1
"343","chr17",541,541,1,"*","y","Sp",541,541,1
"346","chr17",932,932,1,"*","y","Sp",932,932,1
"347","chr17",1940,1940,1,"*","y","Sp",1940,1940,1
"348","chr17",2002,2002,1,"*","y","Sp",2002,2002,1
"314","chr17",475,475,1,"*","x","SB",475,475,1
"315","chr17",478,478,1,"*","x","SB",477,478,2
"316","chr17",541,541,1,"*","x","SB",541,541,1
"318","chr17",864,864,1,"*","x","SB",864,865,2
"320","chr17",932,932,1,"*","x","SB",932,932,1
"321","chr17",1940,1940,1,"*","x","SB",1940,1940,1
"322","chr17",2002,2002,1,"*","x","SB",2002,2002,1
"324","chr17",475,475,1,"*","y","SB",475,475,1
"325","chr17",478,478,1,"*","y","SB",477,478,2
"326","chr17",541,541,1,"*","y","SB",541,541,1
"328","chr17",864,864,1,"*","y","SB",864,865,2
"330","chr17",932,932,1,"*","y","SB",932,932,1
"331","chr17",1940,1940,1,"*","y","SB",1940,1940,1
"332","chr17",2002,2002,1,"*","y","SB",2002,2002,1
"298","chr17",475,475,1,"*","x","RV",475,475,1
"299","chr17",541,541,1,"*","x","RV",541,541,1
"302","chr17",932,932,1,"*","x","RV",932,932,1
"303","chr17",1940,1940,1,"*","x","RV",1940,1940,1
"304","chr17",2002,2002,1,"*","x","RV",2002,2002,1
"306","chr17",475,475,1,"*","y","RV",475,475,1
"307","chr17",541,541,1,"*","y","RV",541,541,1
"310","chr17",932,932,1,"*","y","RV",932,932,1
"311","chr17",1940,1940,1,"*","y","RV",1940,1940,1
"312","chr17",2002,2002,1,"*","y","RV",2002,2002,1
"278","chr17",475,475,1,"*","x","PM",475,475,1
"279","chr17",478,478,1,"*","x","PM",477,478,2
"280","chr17",541,541,1,"*","x","PM",541,541,1
"284","chr17",932,932,1,"*","x","PM",932,932,1
"285","chr17",1940,1940,1,"*","x","PM",1940,1940,1
"286","chr17",2002,2002,1,"*","x","PM",2002,2002,1
"288","chr17",475,475,1,"*","y","PM",475,475,1
"289","chr17",478,478,1,"*","y","PM",477,478,2
"290","chr17",541,541,1,"*","y","PM",541,541,1
"294","chr17",932,932,1,"*","y","PM",932,932,1
"295","chr17",1940,1940,1,"*","y","PM",1940,1940,1
