"","AG","Ao","Bl","Co","ESC","FC","Hi","LC","Li","Lu","LV","MesC","MSC","NPC","Ov","Pa","PM","RV","SB","Sp","TLC"
"1",10,24,2,10,19,46,10,71,53,3,22,28,39,12,1,5,2,21,8,8,22
"2",13,56,13,19,34,126,20,134,107,7,38,72,71,16,7,23,6,42,8,32,40
"3",30,92,33,53,99,190,54,254,181,11,73,133,122,32,24,45,18,77,26,49,93
"4",44,188,77,84,157,316,103,388,318,28,156,216,198,70,34,75,22,102,34,73,157
"5",80,288,94,121,239,473,145,544,449,41,185,327,317,100,77,118,49,170,67,123,248
"6",134,380,156,234,377,738,227,799,657,67,328,539,477,165,120,167,90,277,96,186,398
"7",213,649,238,344,608,1014,375,1082,1013,100,477,807,747,254,154,286,131,446,176,260,636
"8",351,983,393,557,892,1502,567,1528,1433,154,718,1173,1116,426,274,408,200,679,265,403,986
"9",513,1415,573,680,1297,1972,787,1963,1863,202,1023,1635,1592,595,380,610,309,934,403,563,1373
"10",785,1957,887,1029,1857,2592,1112,2556,2435,314,1490,2203,2235,880,560,893,438,1320,587,741,1899
"11",1202,2839,1351,1565,2710,3494,1687,3450,3397,489,2151,3145,3109,1303,894,1217,720,1982,920,1064,2726
"12",1697,3775,1927,2192,3632,4447,2307,4374,4347,719,3107,4087,4100,1914,1284,1698,1065,2867,1328,1468,3657
"13",2414,4823,2649,2944,4704,5447,3174,5353,5345,1098,4059,5152,5149,2682,1832,2336,1461,3752,1787,2076,4784
"14",3260,5966,3555,3943,5851,6500,4213,6401,6436,1399,5180,6270,6317,3588,2554,3076,2126,4877,2552,2660,5844
"15",3971,6676,4456,4732,6634,7078,4878,6985,6994,1827,6028,6912,6923,4409,3301,3764,2780,5730,3242,3221,6544
"16",4747,7109,5313,5419,7070,7362,5599,7304,7330,2250,6662,7265,7274,5164,4005,4288,3293,6397,3903,3675,7035
"17",4962,6724,5350,5503,6701,6854,5577,6822,6830,2647,6431,6804,6810,5294,4184,4564,3686,6234,4167,4029,6634
"18",4627,5740,5030,4971,5732,5794,5089,5781,5793,2655,5587,5771,5773,4907,4115,4372,3657,5517,3966,3903,5710
"19",3625,4112,3777,3788,4108,4130,3833,4125,4125,2377,4045,4123,4122,3729,3371,3467,3142,4044,3226,3126,4094
"20",2176,2296,2240,2216,2300,2302,2234,2302,2302,1735,2290,2301,2302,2195,2082,2122,2011,2282,2020,2031,2301
"21",893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893
