#Name (cmd = mergePeaks /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.8/bg.clean.pos /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.8/target.clean..pos -d given -cobound 1 -prefix /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.8/0.328787253777595.2.tmp)	chr	start	end	strand	stat	stat2	/t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.8/target.clean..pos
BG54062-chopped1	chr5	9760002	9800000	+	0.000	0.000	2561
BG42860-chopped1	chr1	238640002	238680000	+	0.000	0.000	6599
BG3417-chopped1	chr10	21320002	21360000	+	0.000	0.000	6307
BG14194-chopped1	chr2	34320002	34360000	+	0.000	0.000	6082
BG22162-chopped1	chr18	38040002	38080000	+	0.000	0.000	8966
BG9818-chopped1	chr7	15360002	15400000	+	0.000	0.000	7310
BG24438-chopped1	chr7	92240002	92280000	+	0.000	0.000	5352
BG1696-chopped1	chr6	56560002	56600000	+	0.000	0.000	769
BG28563-chopped1	chr8	128000002	128040000	+	0.000	0.000	6372
BG53542-chopped1	chr1	165320002	165360000	+	0.000	0.000	6242
BG32406-chopped1	chr1	187080002	187120000	+	0.000	0.000	6602
BG19520-chopped1	chr11	26280002	26320000	+	0.000	0.000	7299
BG38371-chopped1	chr4	172320002	172360000	+	0.000	0.000	2581
BG18555-chopped1	chr3	56400002	56440000	+	0.000	0.000	8482
BG10869-chopped1	chr10	129560002	129600000	+	0.000	0.000	5405
BG28363-chopped1	chr3	56240002	56280000	+	0.000	0.000	7390
BG36331-chopped1	chr10	6800002	6840000	+	0.000	0.000	885
BG19320-chopped1	chr3	5240002	5280000	+	0.000	0.000	663
BG46248-chopped1	chr2	154240002	154280000	+	0.000	0.000	129
BG39045-chopped1	chr7	21320002	21360000	+	0.000	0.000	4982
BG47013-chopped1	chr5	68200002	68240000	+	0.000	0.000	7937
BG7260-chopped1	chr11	21960002	22000000	+	0.000	0.000	6566
BG42569-chopped1	chr1	80560002	80600000	+	0.000	0.000	3972
BG795-chopped1	chr5	39760002	39800000	+	0.000	0.000	10409
BG18800-chopped1	chr13	73320002	73360000	+	0.000	0.000	2874
BG54662-chopped1	chr6	22760002	22800000	+	0.000	0.000	4860
BG16188-chopped1	chr4	22320002	22360000	+	0.000	0.000	6888
BG28281-chopped1	chr9	83560002	83600000	+	0.000	0.000	7884
BG55-chopped1	chr6	105160002	105200000	+	0.000	0.000	6293
BG32570-chopped1	chr6	100600002	100640000	+	0.000	0.000	299
BG56301-chopped1	chr10	129640002	129680000	+	0.000	0.000	1068
BG6295-chopped1	chr9	104720002	104760000	+	0.000	0.000	6129
BG42814-chopped1	chr2	79680002	79720000	+	0.000	0.000	2753
BG26241-chopped1	chr2	50600002	50640000	+	0.000	0.000	6212
BG53060-chopped1	chr3	6480002	6520000	+	0.000	0.000	2124
BG33890-chopped1	chr10	55480002	55520000	+	0.000	0.000	10271
BG55336-chopped1	chr5	162480002	162520000	+	0.000	0.000	10248
BG27561-chopped1	chr9	85640002	85680000	+	0.000	0.000	4084
BG31404-chopped1	chr21	24520002	24560000	+	0.000	0.000	9701
BG42287-chopped1	chr13	52400002	52440000	+	0.000	0.000	1820
BG2861-chopped1	chr8	2720002	2760000	+	0.000	0.000	6253
BG54380-chopped1	chr7	52280002	52320000	+	0.000	0.000	285
BG33244-chopped1	chr8	82600002	82640000	+	0.000	0.000	2708
BG48688-chopped1	chr18	25400002	25440000	+	0.000	0.000	4910
BG24201-chopped1	chr18	24680002	24720000	+	0.000	0.000	7789
BG35084-chopped1	chr6	93040002	93080000	+	0.000	0.000	836
BG51020-chopped1	chr4	58040002	58080000	+	0.000	0.000	8531
BG49453-chopped1	chr14	73320002	73360000	+	0.000	0.000	5992
BG41767-chopped1	chr2	156920002	156960000	+	0.000	0.000	6065
BG6340-chopped1	chr20	9560002	9600000	+	0.000	0.000	5760
BG30439-chopped1	chr15	81640002	81680000	+	0.000	0.000	1555
BG23236-chopped1	chr7	158240002	158280000	+	0.000	0.000	9196
BG19829-chopped1	chr19	32720002	32760000	+	0.000	0.000	6345
BG12472-chopped1	chr12	44440002	44480000	+	0.000	0.000	3939
BG7660-chopped1	chr13	58320002	58360000	+	0.000	0.000	2069
BG14748-chopped1	chr6	163840002	163880000	+	0.000	0.000	9300
BG18873-chopped1	chr2	76040002	76080000	+	0.000	0.000	6792
BG46011-chopped1	chr2	178000002	178040000	+	0.000	0.000	4186
BG32524-chopped1	chr5	93040002	93080000	+	0.000	0.000	7206
BG55936-chopped1	chr4	156560002	156600000	+	0.000	0.000	9736
BG50300-chopped1	chr5	1960002	2000000	+	0.000	0.000	1625
BG37523-chopped1	chr1	222600002	222640000	+	0.000	0.000	8880
BG35238-chopped1	chr13	66720002	66760000	+	0.000	0.000	3281
BG549-chopped1	chr5	81680002	81720000	+	0.000	0.000	9027
BG43206-chopped1	chr6	164120002	164160000	+	0.000	0.000	6215
BG49171-chopped1	chr8	34040002	34080000	+	0.000	0.000	1086
BG50855-chopped1	chr2	155240002	155280000	+	0.000	0.000	6691
BG28035-chopped1	chr10	97320002	97360000	+	0.000	0.000	1209
BG5293-chopped1	chr12	27680002	27720000	+	0.000	0.000	7775
BG5729-chopped1	chr3	73920002	73960000	+	0.000	0.000	8252
BG20240-chopped1	chr8	60880002	60920000	+	0.000	0.000	7531
BG16833-chopped1	chr1	186400002	186440000	+	0.000	0.000	5142
BG17271-chopped1	chr5	162920002	162960000	+	0.000	0.000	8647
BG11752-chopped1	chr7	131120002	131160000	+	0.000	0.000	689
BG47131-chopped1	chr6	127520002	127560000	+	0.000	0.000	972
BG12626-chopped1	chr7	14440002	14480000	+	0.000	0.000	3565
BG9654-chopped1	chr3	26760002	26800000	+	0.000	0.000	10272
BG30402-chopped1	chr10	119720002	119760000	+	0.000	0.000	9703
BG47686-chopped1	chr1	218240002	218280000	+	0.000	0.000	9305
BG42050-chopped1	chr14	61200002	61240000	+	0.000	0.000	2285
BG15786-chopped1	chr3	21160002	21200000	+	0.000	0.000	437
BG50573-chopped1	chr6	122960002	123000000	+	0.000	0.000	8126
BG52849-chopped1	chr5	94360002	94400000	+	0.000	0.000	5419
BG22234-chopped1	chr4	150320002	150360000	+	0.000	0.000	1990
BG43806-chopped1	chr4	132280002	132320000	+	0.000	0.000	7538
BG91-chopped1	chr1	210560002	210600000	+	0.000	0.000	2733
BG40119-chopped1	chr13	36280002	36320000	+	0.000	0.000	3912
BG40565-chopped1	chr11	42320002	42360000	+	0.000	0.000	8182
BG39317-chopped1	chr11	114800002	114840000	+	0.000	0.000	7857
BG44690-chopped1	chr11	25680002	25720000	+	0.000	0.000	9266
BG46966-chopped1	chr1	219640002	219680000	+	0.000	0.000	4424
BG37596-chopped1	chr1	102240002	102280000	+	0.000	0.000	8121
BG6012-chopped1	chr2	17480002	17520000	+	0.000	0.000	3270
BG34236-chopped1	chr12	90960002	91000000	+	0.000	0.000	5018
BG55808-chopped1	chr16	80440002	80480000	+	0.000	0.000	4795
BG48605-chopped1	chr20	8720002	8760000	+	0.000	0.000	5019
BG312-chopped1	chr9	97200002	97240000	+	0.000	0.000	10241
BG11379-chopped1	chr9	23480002	23520000	+	0.000	0.000	410
BG44599-chopped1	chr8	123440002	123480000	+	0.000	0.000	9483
BG35556-chopped1	chr18	24040002	24080000	+	0.000	0.000	8050
BG37396-chopped1	chr12	109960002	110000000	+	0.000	0.000	8193
BG49925-chopped1	chr2	134960002	135000000	+	0.000	0.000	3999
BG36321-chopped1	chrX	147720002	147760000	+	0.000	0.000	3112
BG20667-chopped1	chr4	20640002	20680000	+	0.000	0.000	8714
BG7887-chopped1	chr3	105240002	105280000	+	0.000	0.000	3750
BG11624-chopped1	chr2	169720002	169760000	+	0.000	0.000	990
BG6812-chopped1	chr14	44800002	44840000	+	0.000	0.000	9451
BG4527-chopped1	chr3	152720002	152760000	+	0.000	0.000	2317
BG8652-chopped1	chr1	80640002	80680000	+	0.000	0.000	2879
BG11179-chopped1	chr8	47120002	47160000	+	0.000	0.000	5309
BG40283-chopped1	chr1	145080002	145120000	+	0.000	0.000	6376
BG23272-chopped1	chr6	84360002	84400000	+	0.000	0.000	874
BG31240-chopped1	chr5	11200002	11240000	+	0.000	0.000	4139
BG42559-chopped1	chr1	192000002	192040000	+	0.000	0.000	288
BG35801-chopped1	chr4	178320002	178360000	+	0.000	0.000	7918
BG46684-chopped1	chr3	83960002	84000000	+	0.000	0.000	6962
BG16505-chopped1	chr5	4320002	4360000	+	0.000	0.000	206
BG21987-chopped1	chr5	89520002	89560000	+	0.000	0.000	7524
BG43324-chopped1	chr3	104400002	104440000	+	0.000	0.000	3248
BG26313-chopped1	chr6	139440002	139480000	+	0.000	0.000	6433
BG11097-chopped1	chr13	75720002	75760000	+	0.000	0.000	3567
BG585-chopped1	chr16	5880002	5920000	+	0.000	0.000	6148
BG26231-chopped1	chr2	150000002	150040000	+	0.000	0.000	772
BG10904-chopped1	chr6	13360002	13400000	+	0.000	0.000	1943
BG3807-chopped1	chr5	165320002	165360000	+	0.000	0.000	4473
BG31595-chopped1	chr10	65760002	65800000	+	0.000	0.000	10414
BG7932-chopped1	chr6	101320002	101360000	+	0.000	0.000	6585
BG2405-chopped1	chr6	81320002	81360000	+	0.000	0.000	5777
BG45964-chopped1	chr3	143600002	143640000	+	0.000	0.000	930
BG48123-chopped1	chr1	55560002	55600000	+	0.000	0.000	9920
BG53932-chopped1	chr6	93680002	93720000	+	0.000	0.000	5379
BG8806-chopped1	chr6	119120002	119160000	+	0.000	0.000	9206
BG6085-chopped1	chr4	106680002	106720000	+	0.000	0.000	5161
BG42277-chopped1	chr8	98400002	98440000	+	0.000	0.000	6263
BG46838-chopped1	chr1	44520002	44560000	+	0.000	0.000	2510
BG16223-chopped1	chr13	65560002	65600000	+	0.000	0.000	6869
BG3725-chopped1	chr13	107640002	107680000	+	0.000	0.000	2901
BG10377-chopped1	chr6	72040002	72080000	+	0.000	0.000	5022
BG32714-chopped1	chr19	52400002	52440000	+	0.000	0.000	6317
BG34554-chopped1	chr10	10400002	10440000	+	0.000	0.000	392
BG13418-chopped1	chr9	28040002	28080000	+	0.000	0.000	8209
BG17543-chopped1	chr14	42760002	42800000	+	0.000	0.000	7888
BG40237-chopped1	chr2	176120002	176160000	+	0.000	0.000	6884
BG11697-chopped1	chr9	88800002	88840000	+	0.000	0.000	6452
BG50045-chopped1	chr2	59200002	59240000	+	0.000	0.000	9415
BG54606-chopped1	chr9	108400002	108440000	+	0.000	0.000	954
BG9044-chopped1	chr5	90400002	90440000	+	0.000	0.000	35
BG22270-chopped1	chr3	33960002	34000000	+	0.000	0.000	9941
BG9926-chopped1	chr11	84080002	84120000	+	0.000	0.000	1348
BG15503-chopped1	chr9	9920002	9960000	+	0.000	0.000	10047
BG6239-chopped1	chr10	67080002	67120000	+	0.000	0.000	4452
BG11497-chopped1	chr9	127280002	127320000	+	0.000	0.000	10297
BG23590-chopped1	chr11	26400002	26440000	+	0.000	0.000	9073
BG42877-chopped1	chr6	122320002	122360000	+	0.000	0.000	7183
BG52685-chopped1	chr8	96320002	96360000	+	0.000	0.000	4743
BG22179-chopped1	chr8	33640002	33680000	+	0.000	0.000	1135
BG26631-chopped1	chr3	89960002	90000000	+	0.000	0.000	10080
BG51283-chopped1	chr5	35120002	35160000	+	0.000	0.000	2703
BG53559-chopped1	chr7	53400002	53440000	+	0.000	0.000	5098
BG44516-chopped1	chr7	14600002	14640000	+	0.000	0.000	9215
