,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
chr1,3274281,2533388,1760054,1202426,860119,647736,503254,394565,307494,237103,179993,135993,103157,79533,63126,51164,43522,36904,30676,24295,15986
chr2,3287833,2976897,2282121,1649859,1190967,883698,671316,517350,393717,298083,223589,164956,122084,92346,71711,58584,49385,42490,36951,30630,21308
chr3,1869153,1889174,1584409,1227918,936454,719290,559515,432047,330339,248609,185520,138532,104503,79359,63036,51450,43845,38565,33176,27184,18195
chr4,1637399,1632013,1396823,1121640,881818,697823,551544,433315,337939,258431,195689,148015,113222,87715,70567,57638,49518,42107,35777,28107,16979
chr5,1389569,1456660,1289151,1047723,819785,633226,489709,377282,289173,219764,166428,126423,96919,75732,61044,49881,42018,36269,30939,24764,16720
chr6,1213091,1296931,1155475,941340,743671,583005,460134,362262,281944,214731,160942,120106,90473,68856,55410,45127,38443,33636,28772,23797,15570
chr7,1108960,1108731,959495,765794,591175,454949,355305,280031,219633,169992,130300,98208,74358,57548,45782,37701,31895,26864,23028,18502,11949
chr8,716084,812611,787677,692749,583161,476290,386536,309998,244946,190030,145159,109424,83138,63445,49753,39978,33175,28406,24233,19718,13264
chr9,655360,551085,449044,352580,272695,215218,175939,145693,121706,99031,80716,63674,50217,39797,31823,26266,22231,19764,17231,14409,9757
chr10,623440,724661,709818,619453,505440,397498,304817,234094,177507,132632,100320,75256,57186,44881,35959,29399,24470,21377,18257,14786,10262
chr11,667683,715390,672161,584593,482605,384548,303318,236522,183781,142766,109677,83630,64302,50219,40051,32455,27393,23327,19748,15699,9822
chr12,661052,728272,685855,593173,486208,387061,300715,233624,179876,139131,106991,82128,62912,48856,39467,32243,27218,23253,19843,16093,10405
chr13,190347,275686,320957,327149,304029,268398,225652,184684,146094,112178,86327,65736,50769,39820,32907,27866,24319,21565,18438,14840,9770
chr14,178617,229414,258196,265199,253173,227848,195179,159116,125369,95907,71535,53919,40763,30890,24731,20722,17843,15594,13548,10829,6749
chr15,177313,204503,224313,225911,209682,181139,149824,117725,90167,66798,50056,37671,28346,22476,18349,15434,13377,11570,9974,8246,5651
chr16,272727,244332,208770,171857,138025,111279,90387,73920,60637,49567,40247,32175,25835,20223,16383,13390,11063,9277,8017,6484,4824
chr17,250981,264319,244918,208281,169417,132114,101083,75727,55783,41317,30333,22705,17224,13726,11500,9636,8526,7571,6327,5021,3284
chr18,64028,106130,142763,169298,179823,177223,164589,144468,120896,98676,77540,59754,46112,35072,27616,21894,18365,15604,13129,10861,7432
chr19,138023,129395,113324,94129,76306,60348,47024,36468,28229,21955,17127,13610,10975,9178,7642,6330,5296,4320,3331,2517,1583
chr20,93030,113195,119530,115920,105178,92029,76928,62830,51006,40923,33023,26536,21514,17752,14742,12421,10736,9405,8162,6662,5016
chr21,25008,27161,27855,27937,27710,27177,25669,24222,21950,19683,17766,15396,13446,11414,9986,8734,7487,6484,5448,4107,2766
chr22,28484,31650,34282,35636,34526,32027,27779,23186,19064,15378,11642,9055,6922,5453,4512,3660,3202,2641,2316,1787,1170
chrX,1181103,1199647,988648,733493,524369,371568,264171,188565,134554,96235,69735,52601,40757,32696,26796,22168,18369,14113,10078,5854,2321
chrALL,19703566,19251245,16415639,13174058,10376336,8161492,6430387,5047694,3921804,3008920,2290655,1735503,1325134,1026987,822893,674141,571696,491106,417399,335192,220783
