bin,gene,accession,uniqueID,partner,Nij
3031,NA,NA,NA,NA,1
3032,EMBP1,NR_003955,3023,NA,1
3033,EMBP1,NR_003955,3023,NA,1
3601,NA,NA,NA,NA,13
5148,SLC26A9;SLC26A9,NM_052934;NM_134325,4241;4243,NA,1
5153,NA,NA,NA,NA,1
5156,C1orf186;AVPR1B,NM_001007544;NM_000707,4246;4247,NA,1
5157,C1orf186,NM_001007544,4246,NA,1
5158,C1orf186;CTSE;CTSE,NM_001007544;NM_001910;NM_148964,4246;4248;4249,NA,1
5163,SRGAP2C;SRGAP2B;SRGAP2;SRGAP2,NM_001271872;NM_001271870;NM_015326;NM_001170637,179;180;184;185,NA,1
5165,SRGAP2D;SRGAP2C;SRGAP2B;SRGAP2;SRGAP2,NM_001271887;NM_001271872;NM_001271870;NM_015326;NM_001170637,178;179;180;184;185,NA,1
5166,SRGAP2;SRGAP2,NM_015326;NM_001170637,184;185,NA,1
5170,RASSF5;RASSF5;EIF2D;EIF2D;RASSF5,NM_182664;NM_182663;NM_006893;NM_001201478;NM_182665,1115;1116;4254;4256;4257,NA,1
5172,MAPKAPK2;MAPKAPK2,NM_032960;NM_004759,4259;4261,NA,1
