bin,gene,accession,uniqueID,partner,Nij
1252,DCC,NM_005215,40209,NA,1
1362,WDR7;WDR7,NM_015285;NM_052834,40255;40256,NA,1
1373,NA,NA,NA,NA,1
1445,NA,NA,NA,NA,22
1497,PIGN;PIGN;KIAA1468,NM_012327;NM_176787;NM_020854,40259;40261;40450,NA,1
1499,KIAA1468,NM_020854,40450,NA,1
1500,TNFRSF11A;TNFRSF11A;TNFRSF11A;TNFRSF11A;KIAA1468;TNFRSF11A,NM_003839;NM_001278268;NM_001270951;NM_001270950;NM_020854;NM_001270949,40446;40447;40448;40449;40450;40451,NA,1
1501,TNFRSF11A;TNFRSF11A;TNFRSF11A;TNFRSF11A;TNFRSF11A,NM_003839;NM_001278268;NM_001270951;NM_001270950;NM_001270949,40446;40447;40448;40449;40451,NA,1
1522,BCL2,NM_000633,40260,NA,1
1527,VPS4B,NM_004869,40453,NA,1
1532,SERPINB13,NM_012397,40807,NA,1
1536,SERPINB7,NM_001040147,40810,NA,1
1537,SERPINB7;SERPINB7;SERPINB7;SERPINB7,NM_001040147;NM_001261831;NM_001261830;NM_003784,40810;40812;40813;40814,NA,1
1549,RP11-146N18.1;RP11-909B2.1,NR_033881;NR_033983,40258;40824,NA,1
1553,RP11-146N18.1,NR_033881,40258,NA,1
1563,NA,NA,NA,NA,1
1568,NA,NA,NA,NA,1
1576,NA,NA,NA,NA,1
1580,NA,NA,NA,NA,1
1606,CDH19;CDH19;CDH19,NM_021153;NR_073130;NM_001271028,40456;40457;40458,NA,1
1613,NA,NA,NA,NA,1
1617,NA,NA,NA,NA,1
1650,NA,NA,NA,NA,1
