bin,gene,accession,uniqueID,partner,Nij
1950,NA,NA,NA,NA,1
2016,OTOGL,NM_173591,29539,NA,1
2033,LIN7A,NM_004664,29978,NA,1
2038,ACSS3,NM_024560,29976,NA,1
2069,METTL25;CCDC59;CCDC59,NM_032230;NM_014167;NR_033192,29532;31231;31232,NA,1
2072,METTL25,NM_032230,29532,NA,1
2073,NA,NA,NA,NA,1
2077,NA,NA,NA,NA,1
2089,TMTC2,NM_152588,29979,NA,1
2091,NA,NA,NA,NA,1
2092,NA,NA,NA,NA,1
2095,NA,NA,NA,NA,1
2098,NA,NA,NA,NA,1
2149,NA,NA,NA,NA,55
2200,NA,NA,NA,NA,1
2202,NA,NA,NA,NA,1
2203,NA,NA,NA,NA,1
2204,NA,NA,NA,NA,1
2205,MKRN9P,NR_033410,31241,NA,1
2206,NA,NA,NA,NA,1
2207,NA,NA,NA,NA,1
2208,NA,NA,NA,NA,1
2209,NA,NA,NA,NA,1
2210,C12orf50,NM_152589,31243,NA,1
2211,C12orf29;C12orf50,NM_001009894;NM_152589,31242;31243,NA,1
2212,CEP290;C12orf29,NM_025114;NM_001009894,29981;31242,NA,1
2214,CEP290;TMTC3,NM_025114;NM_181783,29981;31244,NA,1
2216,NA,NA,NA,NA,1
2218,NA,NA,NA,NA,1
2220,NA,NA,NA,NA,1
2222,NA,NA,NA,NA,1
2225,KITLG;KITLG,NM_000899;NM_003994,31245;31246,NA,1
2226,NA,NA,NA,NA,1
2230,NA,NA,NA,NA,1
2231,NA,NA,NA,NA,1
2233,NA,NA,NA,NA,1
2234,NA,NA,NA,NA,1
2238,NA,NA,NA,NA,1
2241,NA,NA,NA,NA,1
2243,NA,NA,NA,NA,1
2248,POC1B;POC1B-GALNT4;POC1B-GALNT4;POC1B;POC1B;GALNT4;POC1B,NR_037659;NM_001199781;NM_001199782;NM_001199777;NR_037660;NM_003774;NM_172240,29982;29984;29985;29986;29987;29988;29989,NA,1
2250,ATP2B1;ATP2B1,NM_001682;NM_001001323,29983;29990,NA,1
2255,NA,NA,NA,NA,1
2259,NA,NA,NA,NA,1
2261,NA,NA,NA,NA,1
2264,NA,NA,NA,NA,1
2271,NA,NA,NA,NA,1
2273,NA,NA,NA,NA,1
2280,NA,NA,NA,NA,1
2281,NA,NA,NA,NA,1
2290,DCN;DCN;DCN;DCN;DCN;DCN,NM_133504;NM_133503;NM_133506;NM_133505;NM_001920;NM_133507,31256;31257;31258;31259;31260;31261,NA,1
2301,NA,NA,NA,NA,1
2486,ANKS1B;ANKS1B;ANKS1B;ANKS1B;ANKS1B;ANKS1B;ANKS1B;ANKS1B,NM_152788;NM_001204068;NM_001204070;NM_001204069;NM_001204067;NM_001204066;NM_020140;NM_181670,29541;30017;30025;30026;30027;30028;30030;30032,NA,1
2509,ANKS1B,NM_152788,29541,NA,1
2523,NR1H4;NR1H4;NR1H4;NR1H4;NR1H4;NR1H4,NM_001206977;NM_001206978;NM_001206979;NM_001206993;NM_005123;NM_001206992,30036;30037;30038;30039;30043;30046,NA,1
2569,NA,NA,NA,NA,1
