bin,gene,accession,uniqueID,partner,Nij
1225,CDC14C,NR_003595,17495,NA,1
1259,IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1,NM_001220776;NM_001220775;NM_001220774;NM_001220773;NM_001220772;NM_001220771;NM_001220770;NM_001220769;NM_001220768;NM_001220767;NM_001220766;NM_001220765;NM_006060,16705;16706;16707;16708;16709;16710;16711;16712;16713;16714;16715;16716;16723,NA,1
1291,NA,NA,NA,NA,1
1317,NA,NA,NA,NA,1
1319,NA,NA,NA,NA,1
1320,NA,NA,NA,NA,1
1334,NA,NA,NA,NA,1
1351,NA,NA,NA,NA,1
1357,HPVC1,NR_004422,17506,NA,1
1359,NA,NA,NA,NA,1
1361,NA,NA,NA,NA,1
1363,NA,NA,NA,NA,1
1366,GS1-18A18.1;VSTM2A,NR_038994;NM_182546,17507;17508,NA,1
1367,NA,NA,NA,NA,1
1368,NA,NA,NA,NA,1
1378,EGFR;EGFR;EGFR;EGFR,NM_201284;NM_005228;NM_201283;NM_201282,16728;16730;16731;16732,NA,1
1393,NA,NA,NA,NA,1
1406,NA,NA,NA,NA,1
1413,LOC650226,NR_029420,16734,NA,1
1415,DKFZp434L192,NR_026929,17536,NA,1
1416,LOC101928401,NR_108099,17538,NA,1
1417,NA,NA,NA,NA,1
1418,NA,NA,NA,NA,1
1419,NA,NA,NA,NA,1
1431,GUSBP10;ZNF479,NR_030766;NM_033273,17542;17543,NA,1
1432,GUSBP10,NR_030766,17542,NA,1
1433,NA,NA,NA,NA,1
1434,NA,NA,NA,NA,1
1435,NA,NA,NA,NA,1
1436,NA,NA,NA,NA,1
1437,MIR3147,NR_036102,17545,NA,1
1438,ZNF716,NM_001159279,17544,NA,1
1441,NA,NA,NA,NA,1
1443,NA,NA,NA,NA,1
1444,NA,NA,NA,NA,1
1447,NA,NA,NA,NA,1
1451,NA,NA,NA,NA,1
1452,NA,NA,NA,NA,1
1539,NA,NA,NA,NA,41
1596,ZNF736,NM_001170905,17555,NA,1
1597,NA,NA,NA,NA,1
1606,NA,NA,NA,NA,1
