bin,gene,accession,uniqueID,partner,Nij
1224,NA,NA,NA,NA,1
1238,NA,NA,NA,NA,1
1291,NA,NA,NA,NA,1
1294,NA,NA,NA,NA,1
1295,NA,NA,NA,NA,1
1296,NA,NA,NA,NA,1
1302,NA,NA,NA,NA,1
1308,NA,NA,NA,NA,1
1315,NA,NA,NA,NA,1
1319,NA,NA,NA,NA,1
1324,NA,NA,NA,NA,1
1326,NA,NA,NA,NA,1
1329,NA,NA,NA,NA,1
1335,NA,NA,NA,NA,1
1342,NA,NA,NA,NA,1
1347,FLJ45974,NR_038371,16727,NA,1
1354,NA,NA,NA,NA,1
1355,NA,NA,NA,NA,1
1357,HPVC1,NR_004422,17506,NA,1
1359,NA,NA,NA,NA,1
1363,NA,NA,NA,NA,1
1364,NA,NA,NA,NA,1
1366,GS1-18A18.1;VSTM2A,NR_038994;NM_182546,17507;17508,NA,1
1367,NA,NA,NA,NA,1
1368,NA,NA,NA,NA,1
1369,NA,NA,NA,NA,1
1371,SEC61G;SEC61G;RP11-745C15.2,NM_001012456;NM_014302;NR_110040,17509;17510;17511,NA,1
1382,EGFR;EGFR-AS1,NM_005228;NR_047551,16730;17512,NA,1
1390,VOPP1;VOPP1;VOPP1;VOPP1,NM_030796;NM_001284283;NM_001284282;NM_001284284,16395;16399;16400;16401,NA,1
1398,SEPT14,NM_207366,17517,NA,1
1400,ZNF713,NM_182633,17521,NA,1
1408,NA,NA,NA,NA,1
1409,NA,NA,NA,NA,1
1410,NA,NA,NA,NA,1
1412,NA,NA,NA,NA,1
1413,LOC650226,NR_029420,16734,NA,1
1414,LOC100240728,NR_108095,17537,NA,1
1416,LOC101928401,NR_108099,17538,NA,1
1417,NA,NA,NA,NA,1
1418,NA,NA,NA,NA,1
1419,NA,NA,NA,NA,1
1421,NA,NA,NA,NA,1
1432,GUSBP10,NR_030766,17542,NA,1
1433,NA,NA,NA,NA,1
1434,NA,NA,NA,NA,1
1435,NA,NA,NA,NA,1
1436,NA,NA,NA,NA,1
1437,MIR3147,NR_036102,17545,NA,1
1438,ZNF716,NM_001159279,17544,NA,1
1439,ZNF716,NM_001159279,17544,NA,1
1440,NA,NA,NA,NA,1
1442,NA,NA,NA,NA,1
1443,NA,NA,NA,NA,1
1444,NA,NA,NA,NA,1
1445,NA,NA,NA,NA,1
1446,NA,NA,NA,NA,1
1447,NA,NA,NA,NA,1
1449,NA,NA,NA,NA,1
1450,NA,NA,NA,NA,1
1451,NA,NA,NA,NA,1
1452,NA,NA,NA,NA,1
1548,NA,NA,NA,NA,66
1600,ZNF680;ZNF680,NM_001130022;NM_178558,17558;17560,NA,1
1611,ZNF117,NM_015852,17577,NA,1
2133,NA,NA,NA,NA,1
2433,NA,NA,NA,NA,1
3635,NA,NA,NA,NA,1
