#Name (cmd = mergePeaks /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.9/bg.clean.pos /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.9/target.clean..pos -d given -cobound 1 -prefix /t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.9/0.312443173098476.2.tmp)	chr	start	end	strand	stat	stat2	/t1-data/user/ltamon/DPhil/GenomicContactDynamics/15_Motif/out_motif/chrALL_uniquebins_targCp21_bgrCp1_seed845_sampsize0.9/target.clean..pos
BG54062-chopped1	chr5	9760002	9800000	+	0.000	0.000	10412
BG58623-chopped1	chr3	159320002	159360000	+	0.000	0.000	3653
BG42860-chopped1	chr1	238640002	238680000	+	0.000	0.000	1464
BG3417-chopped1	chr10	21320002	21360000	+	0.000	0.000	1588
BG14194-chopped1	chr2	34320002	34360000	+	0.000	0.000	73
BG22162-chopped1	chr18	38040002	38080000	+	0.000	0.000	6169
BG57103-chopped1	chr11	27160002	27200000	+	0.000	0.000	8249
BG9818-chopped1	chr7	15360002	15400000	+	0.000	0.000	10319
BG24438-chopped1	chr7	92240002	92280000	+	0.000	0.000	9721
BG28563-chopped1	chr8	128000002	128040000	+	0.000	0.000	6282
BG53542-chopped1	chr1	165320002	165360000	+	0.000	0.000	8534
BG43289-chopped1	chr10	65840002	65880000	+	0.000	0.000	1705
BG51257-chopped1	chr15	27960002	28000000	+	0.000	0.000	4015
BG19520-chopped1	chr11	26280002	26320000	+	0.000	0.000	3376
BG38371-chopped1	chr4	172320002	172360000	+	0.000	0.000	11416
BG61065-chopped1	chr2	3640002	3680000	+	0.000	0.000	2510
BG60545-chopped1	chr3	22640002	22680000	+	0.000	0.000	3552
BG39691-chopped1	chr6	101440002	101480000	+	0.000	0.000	8983
BG18555-chopped1	chr3	56400002	56440000	+	0.000	0.000	2330
BG62385-chopped1	chr2	39720002	39760000	+	0.000	0.000	7907
BG10869-chopped1	chr10	129560002	129600000	+	0.000	0.000	5466
BG28363-chopped1	chr3	56240002	56280000	+	0.000	0.000	6961
BG53342-chopped1	chr12	81080002	81120000	+	0.000	0.000	5057
BG36331-chopped1	chr10	6800002	6840000	+	0.000	0.000	3401
BG8216-chopped1	chr12	127880002	127920000	+	0.000	0.000	11134
BG57903-chopped1	chr4	172520002	172560000	+	0.000	0.000	711
BG19320-chopped1	chr3	5240002	5280000	+	0.000	0.000	4632
BG60991-chopped1	chr4	187520002	187560000	+	0.000	0.000	8423
BG46248-chopped1	chr2	154240002	154280000	+	0.000	0.000	772
BG56056-chopped1	chr8	94160002	94200000	+	0.000	0.000	6822
BG39045-chopped1	chr7	21320002	21360000	+	0.000	0.000	3509
BG23282-chopped1	chr4	137560002	137600000	+	0.000	0.000	10374
BG47013-chopped1	chr5	68200002	68240000	+	0.000	0.000	1269
BG7260-chopped1	chr11	21960002	22000000	+	0.000	0.000	11063
