,NonHiC_Allbin,HiCAll_Allbin,1_HiCAll,2_HiCAll,3_HiCAll,4_HiCAll,5_HiCAll,6_HiCAll,7_HiCAll,8_HiCAll,9_HiCAll,10_HiCAll,11_HiCAll,12_HiCAll,13_HiCAll,14_HiCAll,15_HiCAll,16_HiCAll,17_HiCAll,18_HiCAll,19_HiCAll,20_HiCAll,21_HiCAll,21_1,1_21
Co,5167,70751,68697,70264,70292,70200,70012,69835,69673,69418,69163,68821,68346,67669,66827,65616,63918,61144,57082,50850,41414,28511,13049,12498,12498
Hi,5157,70761,69160,70348,70318,70197,70042,69867,69702,69451,69195,68825,68376,67778,66959,65743,64019,61254,57322,51004,41502,28551,13049,12610,12610
Lu,5263,70655,63650,68637,69650,69711,69604,69413,69124,68671,68195,67512,66774,65591,64338,62365,60054,56770,52103,45760,37079,26120,13049,11476,11476
LV,5113,70805,69875,70551,70461,70306,70173,70005,69823,69617,69409,69049,68672,68106,67334,66145,64527,61951,57993,51696,42087,28866,13049,12771,12771
RV,5124,70794,69714,70506,70436,70306,70174,69994,69808,69570,69330,69022,68601,67990,67244,66038,64397,61794,57812,51557,41986,28793,13049,12729,12729
Ao,5086,70832,70526,70634,70510,70365,70233,70066,69886,69693,69472,69172,68812,68280,67586,66458,64841,62285,58370,52021,42296,28943,13049,12949,12949
PM,5210,70708,66040,69575,70029,70005,69844,69627,69379,69057,68650,68188,67547,66721,65572,64053,62015,58976,54763,48563,39560,27532,13049,11892,11892
Pa,5189,70729,68205,70078,70220,70135,69999,69809,69632,69399,69099,68749,68265,67614,66692,65369,63523,60624,56478,50182,40727,28131,13049,12378,12378
Sp,5148,70770,68508,70172,70265,70195,70029,69890,69677,69434,69175,68780,68250,67595,66654,65175,63216,60256,55912,49451,40042,27743,13049,12431,12431
Li,5064,70854,70684,70676,70532,70404,70253,70125,69944,69753,69543,69281,68906,68414,67706,66596,65006,62462,58521,52170,42401,28973,13049,12997,12997
SB,5193,70725,67806,69990,70200,70047,69914,69713,69465,69173,68821,68375,67781,67034,65986,64618,62695,59829,55509,49165,40199,27787,13049,12365,12365
AG,5182,70736,67832,70048,70220,70135,69946,69787,69531,69270,68917,68495,67972,67304,66411,65133,63300,60523,56479,50260,40936,28326,13049,12362,12362
Ov,5185,70733,67590,69991,70202,70065,69921,69707,69452,69148,68764,68238,67583,66784,65868,64347,62419,59576,55335,49224,40097,27914,13049,12311,12311
Bl,5142,70776,69073,70343,70376,70239,70058,69887,69682,69427,69208,68830,68298,67718,66811,65534,63767,61070,57067,50797,41379,28506,13049,12576,12576
MesC,5131,70787,69997,70577,70461,70329,70201,70072,69875,69683,69453,69198,68833,68264,67561,66427,64864,62299,58367,52043,42345,28958,13049,12792,12792
MSC,5111,70807,70250,70637,70513,70377,70240,70093,69889,69727,69506,69219,68830,68313,67596,66484,64910,62377,58473,52106,42357,28972,13049,12890,12890
NPC,5162,70756,68188,70107,70285,70170,69968,69827,69564,69326,69049,68584,67982,67300,66336,64906,63075,60287,56263,50020,40877,28246,13049,12407,12407
TLC,5144,70774,69660,70482,70442,70293,70143,70008,69823,69620,69375,69082,68733,68173,67446,66272,64684,62125,58237,51893,42229,28914,13049,12737,12737
ESC,5162,70756,68455,70304,70404,70282,70118,69956,69778,69578,69324,69042,68657,68072,67305,66165,64548,62001,58135,51833,42245,28918,13049,12423,12423
FC,5086,70832,70767,70676,70539,70425,70266,70139,69962,69786,69572,69290,68938,68432,67747,66617,65068,62519,58559,52187,42410,28978,13049,13024,13024
LC,5094,70824,70713,70680,70529,70392,70262,70124,69949,69768,69576,69304,68926,68435,67737,66615,65048,62466,58526,52142,42373,28960,13049,13007,13007
allCT,5001,70917,70917,70781,70615,70490,70352,70212,70034,69849,69639,69365,69011,68507,67816,66694,65121,62571,58609,52223,42423,28980,13049,13049,13049
