Annotation Cluster 1	Enrichment Score: 8.337731467559315
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR023795:Protease inhibitor I4, serpin, conserved site	6	75.0	2.710762150222245E-13	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	33	18559	421.79545454545456	4.608979864428875E-12	3.24749959312514E-12	3.24749959312514E-12
INTERPRO	IPR000215:Serpin family	6	75.0	5.730881634926717E-13	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	38	18559	366.2960526315789	9.742651130295599E-12	3.24749959312514E-12	3.24749959312514E-12
INTERPRO	IPR023796:Serpin domain	6	75.0	5.730881634926717E-13	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	38	18559	366.2960526315789	9.742651130295599E-12	3.24749959312514E-12	3.24749959312514E-12
UP_SEQ_FEATURE	site:Reactive bond	6	75.0	9.444863513172337E-13	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	45	20063	334.3833333333333	3.3056335446701723E-11	3.4001508647420414E-11	3.4001508647420414E-11
SMART	SM00093:SERPIN	6	75.0	1.0630832677383193E-11	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	37	10057	203.8581081081081	5.315414774997862E-11	5.3154163386915965E-11	5.3154163386915965E-11
UP_KEYWORDS	Serine protease inhibitor	6	75.0	2.362285111780003E-11	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	86	20581	179.48546511627904	5.433262728615773E-10	5.433255757094007E-10	5.433255757094007E-10
GOTERM_MF_DIRECT	GO:0004867~serine-type endopeptidase inhibitor activity	6	75.0	3.3714548599120896E-11	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	7	97	16881	149.16936671575846	2.3600210674601385E-10	2.3600184019384625E-10	2.3600184019384625E-10
UP_KEYWORDS	Protease inhibitor	6	75.0	1.5224920268906604E-10	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	124	20581	124.48185483870967	3.5017319044428064E-9	1.7508658309242596E-9	1.7508658309242596E-9
GOTERM_BP_DIRECT	GO:0010951~negative regulation of endopeptidase activity	6	75.0	3.711346033045201E-10	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	121	16792	104.08264462809917	9.649498755592845E-9	9.649499685917523E-9	9.649499685917523E-9
GOTERM_CC_DIRECT	GO:0005615~extracellular space	6	75.0	4.0539470205454873E-5	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	1347	18224	10.146993318485523	4.458437935764836E-4	4.459341722600036E-4	4.459341722600036E-4
UP_KEYWORDS	Cytoplasm	6	75.0	0.009552286085014345	SERPINB11, SERPINB12, SERPINB13, SERPINB2, SERPINB7, SERPINB8	8	4816	20581	3.2050975913621262	0.19808979520983672	0.07323419331844332	0.07323419331844332
UP_KEYWORDS	Polymorphism	7	87.5	0.14001919291797155	SERPINB11, SERPINB12, SERPINB13, SERPINB2, DCC, SERPINB7, SERPINB8	8	12043	20581	1.4953396163746575	0.9688655317169512	0.8051103592783364	0.8051103592783364
UP_SEQ_FEATURE	sequence variant	7	87.5	0.18654540898222338	SERPINB11, SERPINB12, SERPINB13, SERPINB2, DCC, SERPINB7, SERPINB8	8	12443	20063	1.4108434461142811	0.9992727796711638	1.0	1.0

