Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	splice variant	23	50.0	0.005281627134326297	ASAH2, PARG, LRRC18, COL13A1, SGMS1, CHAT, FRMPD2, NCOA4, PCDH15, DNAJC12, ARID5B, A1CF, ARHGAP22, MAPK8, CXCL12, C10ORF71, RASGEF1A, C10ORF128, C10ORF53, VSTM4, WDFY4, PRKG1, MSMB	37	7760	20063	1.6071642518807465	0.6623018966214711	1.0	1.0
GOTERM_BP_DIRECT	GO:0035264~multicellular organism growth	3	6.521739130434782	0.0072829446863540755	PCDH15, ARID5B, ERCC6	28	80	16792	22.489285714285714	0.7829668806640887	1.0	1.0
GOTERM_BP_DIRECT	GO:0001764~neuron migration	3	6.521739130434782	0.012277470628292821	CXCL12, PRKG1, DRGX	28	105	16792	17.13469387755102	0.9243678204855921	1.0	1.0
UP_KEYWORDS	Alternative splicing	26	56.52173913043478	0.021916333463984247	ASAH2, PARG, COL13A1, SGMS1, LRRC18, CHAT, FRMPD2, PCDH15, OGDHL, ARHGAP22, MAPK8, C10ORF71, RASGEF1A, C10ORF128, C10ORF53, VSTM4, PRKG1, MSMB, ZNF485, NCOA4, DNAJC12, ARID5B, ANK3, A1CF, CXCL12, WDFY4	37	10587	20581	1.3660455581679725	0.9126303263651724	1.0	1.0
GOTERM_BP_DIRECT	GO:0007411~axon guidance	3	6.521739130434782	0.02678543038171508	CXCL12, ANK3, DRGX	28	159	16792	11.315363881401616	0.9965676006580814	1.0	1.0
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	3	6.521739130434782	0.027321516977426626	MAPK8, ASAH2, SGMS1	16	120	6879	10.748437500000001	0.8781943402709538	1.0	1.0
KEGG_PATHWAY	hsa05200:Pathways in cancer	4	8.695652173913043	0.050429460087828774	MAPK8, CXCL12, NCOA4, CCDC6	16	393	6879	4.375954198473282	0.980408411216365	1.0	1.0
UP_KEYWORDS	Polymorphism	27	58.69565217391305	0.06439816282216984	ASAH2, COL13A1, LRRC18, NPY4R, CHAT, FRMPD2, PCDH15, OGDHL, ARHGAP22, MAPK8, PGBD3, C10ORF71, C10ORF128, BMS1, VSTM4, PRKG1, SLC18A3, MSMB, ZNF485, NCOA4, DNAJC12, ANK3, A1CF, ZNF33B, CCDC6, ERCC6, WDFY4	37	12043	20581	1.2470785989842703	0.9993392803050702	1.0	1.0
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	3	6.521739130434782	0.06593894272166273	MAPK8, SGMS1, ANK3	28	262	16792	6.866957470010905	0.9999993566747792	1.0	1.0
GOTERM_BP_DIRECT	GO:0007165~signal transduction	5	10.869565217391305	0.1125306173455483	ARHGAP22, ASAH2, CXCL12, ANK3, PRKG1	28	1161	16792	2.582748861818629	0.99999999998541	1.0	1.0
INTERPRO	IPR011993:Pleckstrin homology-like domain	3	6.521739130434782	0.1672990121014704	ARHGAP22, FRMPD2, WDFY4	33	427	18559	3.9512454758356403	0.9999999596833508	1.0	1.0
UP_SEQ_FEATURE	compositionally biased region:Poly-Pro	3	6.521739130434782	0.17425213234239714	PCDH15, CCDC6, ANK3	37	421	20063	3.8639661038710917	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005622~intracellular	5	10.869565217391305	0.2030946390742453	ZNF485, MAPK8, RASGEF1A, CSTF2T, ZNF33B	33	1332	18224	2.072982072982073	0.9999998745495022	1.0	1.0
