bin,gene,accession,uniqueID,partner,Nij
612,NA,NA,NA,NA,1
666,NA,NA,NA,NA,1
682,NA,NA,NA,NA,1
713,NA,NA,NA,NA,1
724,LSP1P3,NR_033961,12791,NA,1
757,NA,NA,NA,NA,1
769,NA,NA,NA,NA,1
970,CTD-2127H9.1,NR_109951,11965,NA,1
1038,PLCXD3,NM_001005473,12147,NA,1
1039,NA,NA,NA,NA,1
1044,OXCT1,NM_000436,12149,NA,1
1058,NA,NA,NA,NA,1
1064,GHR;GHR;GHR;GHR;GHR;GHR;GHR;GHR,NM_000163;NM_001242404;NM_001242403;NM_001242402;NM_001242401;NM_001242405;NM_001242399;NM_001242400,12151;12155;12156;12157;12158;12159;12160;12161,NA,1
1095,NA,NA,NA,NA,1
1096,NA,NA,NA,NA,1
1097,NA,NA,NA,NA,1
1098,NA,NA,NA,NA,1
1150,NA,NA,NA,NA,19
1239,NA,NA,NA,NA,1
1242,NA,NA,NA,NA,1
