bin,gene,accession,uniqueID,partner,Nij
746,NA,NA,NA,NA,1
964,NA,NA,NA,NA,1
982,NA,NA,NA,NA,1
987,NA,NA,NA,NA,1
1002,NA,NA,NA,NA,1
1087,TTC17,NM_018259,26992,NA,1
1205,PTPRJ,NM_002843,27037,NA,1
1206,OR4B1,NM_001005470,28058,NA,1
1208,OR4X1,NM_001004726,28060,NA,1
1209,OR4S1;OR4C3,NM_001004725;NM_001004702,28061;28062,NA,1
1210,OR4C45,NM_001005513,28063,NA,1
1213,OR4A47,NM_001005512,28064,NA,1
1265,NA,NA,NA,NA,30
1371,NA,NA,NA,NA,1
1372,NA,NA,NA,NA,1
1373,NA,NA,NA,NA,1
1374,NA,NA,NA,NA,1
1375,NA,NA,NA,NA,1
1378,OR4A16,NM_001005274,28081,NA,1
1379,OR4A15,NM_001005275,28080,NA,1
1381,NA,NA,NA,NA,1
1386,OR4P4;OR4C6;OR4S2,NM_001004124;NM_001004704;NM_001004059,28082;28083;28086,NA,1
1389,OR5D13,NM_001001967,28089,NA,1
1390,OR5D14;OR5L2;OR5L1;OR5D18,NM_001004735;NM_001004739;NM_001004738;NM_001001952,28088;28093;28094;28096,NA,1
1391,OR5D16,NM_001005496,28090,NA,1
1396,NA,NA,NA,NA,1
1397,OR8H2;OR8I2,NM_001005200;NM_001003750,28103;28106,NA,1
1403,OR8K3;OR8K1,NM_001005202;NM_001002907,28108;28116,NA,1
1405,OR5R1,NM_001004744,28115,NA,1
1410,OR5M1,NM_001004740,28125,NA,1
1418,NA,NA,NA,NA,1
